年份,火灾直接经济损失,特大火灾直接经济损失,重大火灾直接经济损失,较大火灾直接经济损失,一般火灾直接经济损失
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,217716.3,,2698.8,19806.3,195211.1
2011,205743.4,,11560.2,15775.3,178407.9
2010,195945.2,,11384.6,11773.3,172787.3
2009,162390.7,15072.2,305.5,824.9,146188.1
2008,182202.522,30027.12,9359.4077,10775.9812,132040.0131
2007,112515.8246,30.1338,1513.352,4752.4452,106219.8936
2006,78446.8,9541.5,8143.4,,60761.9
2005,136288.0,7790.0,10866.0,,117632.0
2004,167197.3,29550.0,10367.0,,127280.3
2003,159088.6,11928.6,13286.9,,133873.1
2002,154446.0,12188.0,13960.0,,128298.0
2001,140326.1,8288.3,12673.1,,119364.7
2000,152217.3,20013.9,16664.9,,115538.5
