年份,火灾发生数,特大火灾发生数,重大火灾发生数,较大火灾发生数,一般火灾发生数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,152157.0,,2.0,60.0,152095.0
2011,125417.0,,7.0,80.0,125330.0
2010,132497.0,,4.0,77.0,132416.0
2009,129381.0,1.0,4.0,59.0,129317.0
2008,136835.0,2.0,4.0,77.0,136752.0
2007,163521.0,1.0,8.0,66.0,163446.0
2006,222702.0,20.0,181.0,,222501.0
2005,235941.0,33.0,250.0,,235658.0
2004,252704.0,27.0,259.0,,252418.0
2003,253932.0,37.0,305.0,,253590.0
2002,258315.0,25.0,344.0,,257946.0
2001,216784.0,35.0,327.0,,216422.0
2000,189185.0,61.0,384.0,,188740.0
