年份,火灾死亡人数,特大火灾死亡人数,重大火灾死亡人数,较大火灾死亡人数,一般火灾死亡人数
2019,,,,,
2018,,,,,
2017,,,,,
2016,,,,,
2015,,,,,
2014,,,,,
2013,,,,,
2012,1028.0,,24.0,199.0,805.0
2011,1108.0,,82.0,287.0,739.0
2010,1205.0,,43.0,272.0,890.0
2009,1236.0,1.0,49.0,222.0,964.0
2008,1521.0,49.0,37.0,304.0,1131.0
2007,1617.0,37.0,105.0,263.0,1212.0
2006,1517.0,39.0,288.0,,1190.0
2005,2496.0,160.0,341.0,,1995.0
2004,2558.0,131.0,390.0,,2037.0
2003,2482.0,94.0,419.0,,1969.0
2002,2393.0,70.0,477.0,,1846.0
2001,2334.0,61.0,494.0,,1779.0
2000,3021.0,529.0,497.0,,1995.0
