年份,农村居民家庭平均每人纯收入,农村居民家庭平均每人工资性纯收入,农村居民家庭平均每人家庭经营纯收入,农村居民家庭平均每人农业纯收入,农村居民家庭平均每人林业纯收入,农村居民家庭平均每人牧业纯收入,农村居民家庭平均每人渔业纯收入,农村居民家庭平均每人工业纯收入,农村居民家庭平均每人建筑业纯收入,农村居民家庭平均每人交通运输业、邮电业纯收入,农村居民家庭平均每人批发、零售贸易及餐饮业纯收入,农村居民家庭平均每人社会服务业纯收入,农村居民家庭平均每人文教卫生业纯收入,农村居民家庭平均每人其他纯收入,农村居民家庭平均每人财产性纯收入,农村居民家庭平均每人转移性纯收入
2019,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,
2012,7916.58,3447.463656,3533.366279,2106.830869,103.7460726,440.9746216,70.65204423,118.2210646,95.50328294,180.0974385,290.7231671,67.38448096,26.51912834,32.71410846,249.054319,686.6962367
2011,6977.29,2963.43,3221.98,1896.67114,99.49001207,462.537612,61.21319792,104.7329983,87.91003421,153.0470275,244.0886894,56.96727169,22.5616838,32.76165804,228.57,563.32
2010,5919.01,2431.05,2832.8,1723.49387,87.675266,355.5629187,64.27984837,93.32168171,88.74926805,125.3990739,186.4329562,50.87838078,21.56279804,35.44221203,202.25,452.92
2009,5153.17,2061.25,2526.78,1497.93,69.63,360.36,60.25,86.99,77.5,111.55,161.57,45.88,18.95,36.18,167.2,397.95
2008,4760.62,1853.73,2435.56,1426.96,66.18,397.52,55.19,81.59,67.41,103.82,142.09,41.88,16.89,36.04,148.08,323.24
2007,4140.4,1596.22,2193.67,1303.76,59.19,335.06,47.11,76.92,60.66,94.47,128.8,38.84,14.34,34.53,128.22,222.25
2006,3587.0,1374.8,1930.962096,1159.556405,54.97421279,265.5839862,41.18849025,68.48820229,53.17999199,88.21051514,118.1506523,35.14173001,12.49528824,33.99262213,100.5036473,180.7763141
2005,3254.9,1174.53,1844.53,1097.71,45.77,283.6,42.52,61.13,47.12,84.19,108.55,32.61,10.13,31.19,88.45,147.42
2004,2936.4,998.46,1745.79,1056.5,34.13,271.08,36.34,58.65,49.56,72.9,94.07,31.26,8.35,32.94,76.61,115.54
2003,2622.2,918.38,1541.28,885.71,29.28,245.68,34.92,60.49,48.12,68.9,89.05,30.97,8.76,39.39,65.75,96.83
2002,2475.6,840.22,1486.54,866.67,25.53,210.62,32.17,63.29,45.28,69.4,85.56,31.36,7.99,48.68,50.68,98.19
2001,2366.4,771.9,1459.63,863.6,22.1,212.0,28.9,54.6,45.4,63.2,78.8,30.1,7.6,53.4,46.97,87.9
2000,2253.4,702.3,1427.27,833.93,22.44,207.35,26.95,52.67135678,46.73,63.63,78.54,28.09,6.86,60.08,45.04,78.81
