年份,农村居民家庭平均每百户洗衣机拥有量,农村居民家庭平均每百户电冰箱拥有量,农村居民家庭平均每百户空调机拥有量,农村居民家庭平均每百户抽油烟机拥有量,农村居民家庭平均每百户自行车拥有量,农村居民家庭平均每百户摩托车拥有量,农村居民家庭平均每百户固定电话拥有量,农村居民家庭平均每百户移动电话拥有量,农村居民家庭平均每百户黑白电视机拥有量,农村居民家庭平均每百户彩色电视机拥有量,农村居民家庭平均每百户照相机拥有量,农村居民家庭平均每百户计算机拥有量
2019,,,,,,,,,,,,
2018,,,,,,,,,,,,
2017,,,,,,,,,,,,
2016,,,,,,,,,,,,
2015,,,,,,,,,,,,
2014,,,,,,,,,,,,
2013,,,,,,,,,,,,
2012,67.22080699,67.3214391,25.36144227,14.68692419,78.97152593,62.19706815,42.23915211,197.7950779,1.437708699,116.8969733,5.177499732,21.36412123
2011,62.57,61.54,22.58,13.22977719,77.11326114,60.85192528,43.11363026,179.7371229,1.657676793,115.4607671,4.547092309,17.9630503
2010,57.32,45.19,16.0,11.11,95.98,59.02,60.76,136.54,6.38,111.79,5.17,10.37
2009,53.14,37.11,12.23,9.75,96.45,56.64,62.68,115.24,7.65,108.94,4.76,7.46
2008,49.11,30.19,9.82,8.51,97.58,52.45,67.01,96.13,9.88,99.22,4.43,5.36
2007,45.94,26.12,8.54,8.143422789,97.73867136,48.52,68.36,77.84,12.13814342,94.38,4.3,3.68
2006,42.98,22.48,7.28,7.027423376,98.74321748,44.59,64.09,62.05,17.44537322,89.43,4.180964951,2.7
2005,40.2,20.1,6.4,5.977416043,98.37087549,40.7,58.37,50.24,21.76858777,84.08,4.047514298,2.1
2004,37.32,17.75,4.7,4.81,118.15,36.15,54.54,34.72,37.92,75.1,3.68,1.9
2003,34.27,15.89,3.45,4.11,118.5,31.8,49.06,23.68,42.8,67.8,3.36,1.4
2002,31.8,14.83,2.29,3.58,121.32,28.07,40.77,13.67,48.14,60.45,3.34,1.1
2001,29.94,13.59,1.7,3.15,120.83,24.71,34.11,8.06,50.74,54.41,3.23,0.69
2000,28.58,12.31,1.32,2.75,120.48,21.94,26.38,4.32,52.97,48.74,3.12,0.47
