年份,城乡居民人民币储蓄存款年底余额,城乡居民人民币定期储蓄存款年底余额,城乡居民人民币活期储蓄存款年底余额,城乡居民人民币储蓄存款年增加额,城乡居民人民币定期储蓄存款年增加额,城乡居民人民币活期储蓄存款年增加额
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,485261.3,,,37659.74,,
2013,447601.574349389,,,48050.56,,
2012,399551.0,,,55915.2,,
2011,343635.890089214,,,40333.39,,
2010,303302.490013144,178413.9,124888.6,42530.84,18183.52,24347.32
2009,260771.66,160230.38,100541.28,42886.31,20930.22,21956.09
2008,217885.35,139300.16,78585.19,45351.16,34365.71,10985.45
2007,172534.19,104934.45,67599.74,10946.9,1923.1,9023.8
2006,161587.3,103011.38,58575.92,20544.0,10777.3,9766.7
2005,141050.99,92263.54,48787.45,21495.6,14124.68,7370.92
2004,119555.39,78138.86,41416.53,15937.74,9640.19,6297.55
2003,103617.65,68498.67,35118.98,16707.0,9709.73,6997.27
2002,86910.65,58788.94,28121.71,13148.22,7354.08,5794.14
2001,73762.43,51434.86,22327.57,9430.05,5293.2,4136.85
2000,64332.38,46141.66,18190.72,4710.55,1186.55,3524.0
