年份,农村居民家庭平均每人现金消费支出,农村居民家庭平均每人食品现金消费支出,农村居民家庭平均每人衣着现金消费支出,农村居民家庭平均每人居住现金消费支出,农村居民家庭平均每人家庭设备及用品现金消费支出,农村居民家庭平均每人交通通信现金消费支出,农村居民家庭平均每人文教娱乐现金消费支出,农村居民家庭平均每人医疗保健现金消费支出,农村居民家庭平均每人其他现金消费支出
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,,,,,,,,,
2012,5414.468013,1863.109729,396.14071,1054.167419,341.4154139,652.7902738,445.4937327,513.8092388,147.5414953
2011,4733.35,1651.29,341.07,930.24,308.64,547.03,396.36,436.75,121.98
2010,3859.329082,1313.18,263.37,801.38,233.55,461.1,366.72,326.04,94.01
2009,3504.84,1180.69,231.9,772.64,204.49,402.91,340.56,287.54,84.1
2008,3159.4,1135.17,211.05,642.25,173.57,360.18,314.53,245.97,76.67
2007,2767.12353,967.59,192.58,540.06,148.72,328.4,305.66,210.24,73.89
2006,2415.468556,835.48,167.34,438.31,126.07,288.76,305.13,191.51,62.87
2005,2134.581102,770.6915545,147.9400454,342.3318925,110.9238051,244.9840333,295.480156,168.0880201,54.1415954
2004,1754.46,629.8802737,119.5503007,297.1563931,88.97737274,192.6334449,247.6280224,130.5624603,48.07271776
2003,1576.64,551.21,109.51,278.07,81.28,162.53,235.68,115.75,42.61
2002,1467.62,510.96,104.54,271.5,80.17,128.53,210.31,103.94,57.66
2001,1364.08,484.4702761,97.94976397,249.8404155,76.17281435,109.98,192.6431964,96.610872,56.41519933
2000,1284.74,464.2644271,95.17512458,231.056136,74.36607586,93.13144303,186.7152662,87.56514142,52.46265402
