年份,勘察设计机构单位数,勘察设计机构年底职工人数,勘察设计机构高级职称职工人数,勘察设计机构中级职称职工人数,勘察设计机构初级职称职工人数,勘察设计机构其他人员数,勘察设计单位营业收入,勘察设计单位工程勘察收入,勘察设计单位工程设计收入,勘察设计单位工程承包收入,勘察设计单位其他收入
2019,23739,4631001,427776,720412,576672,,642008586.704,,,,
2018,23183,4472817,400485,676946,559094,,519152163.0,,,,
2017,24754,4285600,384330,650793,552006,,433913301.0,,,,
2016,21983,3202295,352053,579762,479159,,333374563.0,,,,
2015,20480,3042570,321204,514204,414378,,270890368.0,,,,
2014,19262,2502794,303264,484861,402541,,271515354.0,,,,
2013,19231,2444232,305167,486530,421410,,214098129.0,,,,
2012,18280,2123379,291700,454920,386726,,161706306.55,,,,
2011,16482,1728497,270904,408898,319449,729246.0,129147304.32,6539831.67,26674754.01,78861342.26,17071376.38
2010,14622,1422995,255300,363378,269603,534714.0,95467626.0,5303439.0,21514277.0,56340241.0,12309670.0
2009,14264,1272963,243500,338350,250723,440390.0,68529028.13,4092137.36,16552363.35,38832817.16,9051710.26
2008,14667,1249062,247795,341978,254933,404356.0,59683309.86,3373862.3,13995600.14,32183281.66,10130565.76
2007,14151,1175258,243432,328735,240579,362512.0,46843207.63,2762379.29,11815053.57,23634957.27,8630817.50000001
2006,14264,1120719,240919,321386,229002,329412.0,37144204.04,2502299.94,9588389.75,18069379.73,6984134.62
2005,14245,1077785,231619,317120,220094,308952.0,29726384.12,2160221.55,7966429.37,13493933.56,6105799.64
2004,,,,,,,,,,,
2003,,,,,,,,,,,
2002,,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
