年份,资产合计,流动资产,固定资产,无形及递延资产
2019,256629.50334,200772.66023,20799.79676,
2018,234002.45864,182666.17237,21627.59915,
2017,204664.12805,161978.21585,14278.01011,
2016,182482.06575,144471.3557,13650.23938,
2015,164226.33632,130592.85015,14436.58826,
2014,148372.78725,117374.55642,13621.944,
2013,,,,
2012,111692.15194,86959.28512,11785.21779,
2011,93859.85583,71995.02973,10527.52869,
2010,75221.766,57945.2469,9776.2623,1494.042
2009,62164.38775,47478.99851,8918.35844,1292.49674
2008,51711.92963,38943.77465,7779.31443,1146.67722
2007,43029.27362,32010.31111,6916.70624,958.35631
2006,36008.7811,26598.48714,6306.24664,736.04091
2005,31485.73082,22826.80683,5787.67305,650.89569
2004,,,,
2003,23541.9044,16603.4099,5144.7123,583.2396
2002,20390.1075,14315.3123,4518.3333,521.9417
2001,16967.61427,12140.58905,3571.63157,386.95071
2000,14578.36857,10587.51908,2969.77724,228.15824
