年份,劳务分包建筑业企业单位数,劳务分包建筑业企业从业人数,劳务分包建筑业企业营业收入,劳务分包建筑业企业主营业务收入,劳务分包建筑业企业税金,劳务分包建筑业企业利润总额,劳务分包建筑业企业从业人员劳动报酬
2019,,,,,,,
2018,,,,,,,
2017,,,,,,,
2016,,,,,,,
2015,,,,,,,
2014,,,,,,,
2013,,,,,,,
2012,6606.0,2680307.0,16376552.0,16150428.1,588103.7,318013.6,
2011,6443.0,2446940.0,12974100.5,12880878.1,470164.7,300347.9,
2010,6835.0,2571402.0,9410455.0,9350526.0,329432.0,249365.0,5078280.0
2009,6756.0,2152904.0,7428736.4,7390918.9,253118.5,205687.8,3920349.0
2008,6837.0,1895875.0,6209880.4,6138676.2,188406.6,203167.9,3151758.8
2007,4357.0,1478604.0,3789836.3,3740105.4,117449.7,80971.1,2175533.3
2006,3748.0,1122421.0,2537630.1,2494581.0,80382.1,63085.5,1370682.0
2005,3101.0,868165.0,1885213.4,1827362.2,58730.1,60645.4,1006214.3
2004,,,,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
