年份,建筑业企业签订合同总额,建筑业企业上年结转合同额,建筑业企业本年新签合同额,建筑业企业直接从建设单位承揽工程完成的产值,建筑业企业自行完成施工产值,建筑业企业分包出去工程的产值,建筑业企业从建设单位以外承揽工程完成的产值
2019,5450347735.8,2558024971.8,2892322764.0,2448791736.4,2361840126.2,86951610.2,122592581.1
2018,4878440100.0,2199156000.0,2679284100.0,2311232002.9,2240856981.0,70375021.9,109998296.9
2017,4394612389.7,1848416542.9,2546195846.8,2107480219.6,2051366947.9,56113271.7,88068642.0
2016,3721583188.4,1606615203.6,2114967984.8,1912295458.0,1860406462.2,51888995.8,75261311.4
2015,3378358687.0,1534972849.0,1843385837.0,1787473919.5,1742488273.9,44985645.6,65086461.8
2014,3234861107.0,1388587459.0,1846273648.0,1750457057.4,1701813853.7,48643203.7,65322058.0
2013,2894232580.8,1144658872.8,1749573708.0,1577008128.8,1536784470.9,40223657.9,56345035.2
2012,2473395161.0,1005546475.0,1467848686.0,1357267257.5,1321455191.9,35812065.6,50723388.2
2011,2101173541.0,813230005.0,1287943536.0,1154001376.4,1120657221.9,33344154.5,43975984.8
2010,1726040000.0,622450000.0,1103590000.0,948279432.0,921283151.0,26996281.0,39028187.0
2009,1335290000.0,482810000.0,852480000.0,758794516.5,736165746.9,22628769.6,31911669.5
2008,1042412852.2,378724529.4,663688322.8,611543547.5,594871380.2,16672167.3,25496680.6
2007,834123033.3,299176474.6,534946558.7,503646353.4,490273943.7,13372409.7,20163198.2
2006,671939746.6,244281113.2,427658633.4,409983272.6,398544500.7,11438771.9,17027079.2
2005,559466764.1,195876587.7,363590176.4,341333798.2,331718759.2,9615039.0,13802209.2
2004,461990000.0,160570000.0,301430000.0,,,,
2003,,,,,,,
2002,,,,,,,
2001,,,,,,,
2000,,,,,,,
