年份,建筑业企业自有施工机械设备年末总台数,建筑业企业自有施工机械设备年末总功率,建筑业企业自有施工机械设备年末净值,建筑业企业技术装备率,建筑业企业动力装备率
2019,9833258,25117.801,58450114.4,10770.1,4.6
2018,10923709.0,25757.6541,62464586.3,11774.1,4.9
2017,10225555.0,25500.6,54818436.5,9913.57429648281,4.61162537360746
2016,9579327,25365.25,56021121.4,10805.4143724989,4.9
2015,9643725,26736.7925,56619984.2,11115.761282226,5.2490265951436
2014,12030587.0,29602.1706551259,56797668.0627024,12518.8488733934,6.52465344786359
2013,11467280.0,25423.9766,60941735.6,13457.8084655949,5.61439552300128
2012,10157280.0,24275.3077,57070803.7,13374.165567635,5.6887578820813
2011,10054231.0,21822.409,46327126.9,12025.2947372796,5.66451920640177
2010,11209484.0,19386.387,39719872.0,9547.04141953522,4.65969879419901
2009,9734910,19022.5552,37049783.7,10088.0,5.2
2008,9448056,18195.3677,32869150.6,9915.0,5.5
2007,9487515,15579.3935,28856330.6,9208.35554873652,4.97154667966254
2006,8973042,14156.2931,26217542.3,9109.13587091138,4.91852347564803
2005,8798527,13765.5574,25037702.0,9273.48090311697,5.09849640632597
2004,8466386,14584.05,23245244.3,9297.0,5.8
2003,8001782,11712.38,24039576.0,9957.0,4.85
2002,7540011,11022.52,21722927.0,9675.0,4.91
2001,7022174,10251.72,15062491.0,7136.0,4.86
2000,6259885,9228.1,12572317.0,6304.0,4.6
