年份,建筑业企业总收入,建筑业企业主营业务收入,建筑业企业主营业务成本,建筑业企业主营业务利润,建筑业企业其他业务收入,建筑业企业其他业务利润
2019,232616.2361,229166.79635,209645.44016,7911.00698,3449.43975,224.79933
2018,211991.70415,209338.83104,190247.23257,7788.58802,2652.87311,185.03989
2017,194164.58296,191749.32166,172671.57345,7245.76257,2415.2613,167.85076
2016,181770.75039,179421.32107,160040.27821,6745.07795,2349.42932,155.97503
2015,170705.38965,168392.17824,148559.36023,6183.54878,2313.21140999999,187.99479
2014,165675.24609,164015.69665,144604.53831,6133.23586,1659.54944000001,191.91976
2013,,,,,,
2012,130182.93133,128761.70756,113751.97977,4495.27106,1421.22377,192.13017
2011,112002.78653,110703.99286,98394.70837,3799.17947,1298.79367,305.16511
2010,93636.5784,92196.4199,81929.4791,6515.0138,1440.1586,262.4058
2009,75478.19811,74431.07306,66244.14974,5217.894,1047.12505,204.52953
2008,60736.44292,59717.93718,52714.55895,4490.68805,1018.50574,197.70844
2007,49414.75466,48509.30238,43228.67828,3365.72837,905.45228,168.57725
2006,40155.0152,39409.5866,35047.96111,2809.89933,745.42855,127.42412
2005,33198.49127,32510.53806,28856.43605,2372.61361,687.95321,110.26049
2004,,,,,,
2003,22037.2689,21493.5842,19099.2216,1674.0685,543.6847,95.4564
2002,17744.7777,17209.2117,15247.4083,1395.0478,535.566,85.6237
2001,14574.3354,14126.2655,12494.2995,1159.6329,448.0699,71.48393
2000,11506.8245,11003.0241,9697.271,943.5591,503.8004,68.32346
