年份,专业承包建筑业企业单位数,专业承包建筑业企业从业人员,专业承包建筑业企业建筑业总产值,一级专业承包建筑业企业建筑业专业产值,二级专业承包建筑业企业建筑业专业产值,三级及以下专业承包建筑业企业建筑业专业产值,专业承包建筑业企业利税专业额,按专业承包建筑业企业总产值计算的劳动生产率
2019,,,,,,,,
2018,,,,,,,,
2017,,,,,,,,
2016,,,,,,,,
2015,,,,,,,,
2014,,,,,,,,
2013,33415.0,463.5512,168791164.2,81783530.7,40325952.1,46681681.4,,327802.79105285
2012,32249.0,439.4225,147442872.2,70964519.8,36237152.1,40241200.3,1180.47209,300817.8114788
2011,31800.0,409.1058,126993832.2,61165175.8,32110459.7,33718196.7,1061.48125,217579.48067595
2010,32433.0,444.7359,108764057.0,49111398.0,29097728.0,30554930.0,927.1244,202938.0
2009,32442.0,409.1865,88431532.6,37248913.4,25202575.8,25980043.4,756.76791,180390.93
2008,32883.0,391.2793,78099961.3,31498897.1,22898324.5,23702739.7,683.08962,165155.3
2007,28003.0,377.6976,66243785.6,27045522.8,19533830.8,19664432.0,500.7729,156670.96
2006,26991.0,351.6753,55238809.5,22109309.8,16798015.2,16331484.5,414.6739,141404.69
2005,26361.0,354.0645,47180114.5,17668325.9,14693426.4,14818362.2,354.63964,123045.96
2004,,,,,,,,
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
