年份,建筑业企业资产,内资建筑业企业资产,国有建筑业企业资产,集体建筑业企业资产,港澳台商投资建筑业企业资产,港澳台商独资建筑业企业资产,外商投资建筑业企业资产,外商独资建筑业企业资产
2019,256629.50334,253868.94361,45131.18923,2149.61819,1365.4258,385.498,1395.13393,1041.60207
2018,234002.45864,231442.64287,39224.47377,2230.94434,1358.99239,394.83333,1200.82338,824.26915
2017,204664.12805,202085.56547,35858.1186,2546.79892,1501.44251,390.98587,1077.12007,688.41706
2016,182482.06575,180384.55879,31197.09379,2685.30054,1191.72144,356.25305,905.78552,625.6709
2015,164226.33632,162295.94122,27646.24746,2593.54451,1137.9782,328.68365,792.4169,511.92812
2014,148372.78725,146560.16434,24630.99029,2603.67156,986.70482,197.96109,825.91809,512.3768
2013,,,,,,,,
2012,111692.15194,110414.35353,22437.68434,3073.44726,686.90292,116.37569,590.89549,345.65362
2011,93859.85583,92483.54508,19153.60884,2766.06949,643.08155,175.2387,733.2292,287.71101
2010,75221.766,74275.5868,15832.311,2428.1783,485.5586,79.1661,460.6205,201.6203
2009,62164.38775,61347.77575,14302.9064,2310.8149,388.41154,76.38175,428.20046,157.12628
2008,51711.92963,50979.14104,12477.59509,2284.91774,324.6505,72.99581,408.13809,169.14481
2007,43029.27362,42394.72412,11344.00064,2335.05132,264.39098,56.51577,370.15852,124.25209
2006,36008.7811,35472.79838,9607.28229,2330.82066,248.26383,33.52965,287.71889,105.32132
2005,31485.73082,31019.24886,9402.44556,2456.19215,200.87939,23.57272,265.60257,54.0475
2004,,,,,,,,
2003,23541.9044,23236.0971,7845.6638,3041.2613,166.3245,8.905,139.4828,5.2043
2002,20390.1075,20113.6379,7606.1185,3300.4503,174.7731,20.8185,101.6965,4.9017
2001,16967.61427,16728.9507,7299.2735,3080.0485,154.9461,19.9136,83.7174,3.5239
2000,14578.36857,14355.8293,7034.1056,3504.0183,142.6338,17.4697,79.9054,4.4783
