年份,建筑业企业税金总额,内资建筑业企业税金总额,国有建筑业企业税金总额,集体建筑业企业税金总额,港澳台商投资建筑业企业税金总额,港澳台商独资建筑业企业税金总额,外商投资建筑业企业税金总额,外商独资建筑业企业税金总额
2019,7163.09883,7129.07497,617.19069,198.68154,16.86385,3.56789,17.16001,9.98679
2018,7502.85099,7468.20993,700.77255,220.41957,15.88734,3.84472,18.75372,9.03114
2017,6367.31715,6334.4334,644.2882,203.93791,21.18513,5.0642,11.69862,5.35529
2016,5977.44942,5942.7436,665.6393,194.88795,20.5082,4.73683,14.19762,5.48765
2015,5673.4089999999,5637.7017799999,661.37119,156.96821,21.89018,3.38417,13.81704,6.82464
2014,5547.12279,5513.23142,640.73178,164.17441,18.02291,2.53679,15.86846,6.96698
2013,,,,,,,,
2012,4388.8841400001,4356.5120200001,712.67881,178.7142,18.32159,2.56774,14.05053,5.89875
2011,3864.41075,3825.3152,674.63732,159.76858,17.09593,2.97863,21.99962,5.93978
2010,3351.3129,3324.9747,635.0844,147.8368,12.7744,2.4353,13.5637,4.8959
2009,2653.68569,2631.33124,552.10057,123.50477,10.02011,2.0815,12.33434,3.45866
2008,2264.98334,2243.75999,473.45856,124.38357,9.61576,2.2183,11.60759,4.37115
2007,1714.27481,1694.70411,366.61302,110.62004,7.76648,1.43778,11.80422,3.49457
2006,1401.49,1386.42,323.77,98.66,6.77,1.02,8.3,2.64
2005,1159.79,1147.53,295.66,99.66,4.97,0.58,7.29,1.21
2004,,,,,,,,
2003,,,,,,,,
2002,,,,,,,,
2001,,,,,,,,
2000,,,,,,,,
