年份,建筑业总产值,房屋和土木工程建筑业建筑业总产值,房屋工程建筑建筑业总产值,土木工程建筑建筑业总产值,建筑安装业建筑业总产值,建筑装饰业建筑业总产值,其他建筑业建筑业总产值
2019,248443.27073,,154197.59404,68608.20501,13339.51553,,
2018,225816.86,,148829.53173,63416.53108,11952.87173,,
2017,213943.55899,,135703.52523,56807.5827,11607.72611,,
2016,193566.77736,,123537.39601,50465.85175,10517.90842,,
2015,180757.47357,,115958.21869,46263.2275,9850.51684,,
2014,176713.41618,,113880.09079,44135.57392,9776.53086,,
2013,160366.06329,,102285.92344,39739.96212,9044.81448,,
2012,137217.858,121917.91516,87133.83859,34784.07657,8062.7676,5310.18719,1926.98806
2011,116463.32067,102291.5208,71075.94992,31214.22355,8149.05283,4256.94553,1765.80149
2010,96031.1338,84073.7371,56117.7625,27955.9747,7226.7981,3231.6931,1498.9055
2009,76807.74164,67268.36912,44308.66507,22959.70405,5818.7414,2621.20607,1099.42505
2008,62036.80608,53760.84195,36720.73667,17040.10528,5146.05588,2190.87816,939.03009
2007,51043.71,44251.26786,30660.94435,13590.32351,4171.7938,1846.73952,773.913009999995
2006,41557.16,36105.26661,24997.75874,11107.50787,3327.8489,1523.75922,600.28326
2005,34552.1,29882.79828,20540.35435,9342.44393,2927.23346,1236.90959,505.155509999996
2004,29021.45,,,,,,
2003,23083.87,20138.5904,14316.8458,5821.7446,1840.2815,809.1824,295.812
2002,18527.18,,11657.0088,16035.9745,969.8861,663.6234,
2001,15361.56,,10086.0111,13485.9471,,495.1786,
2000,12497.6,10977.8964,8330.6321,,1091.4629,428.2368,
