年份,按建筑业总产值计算的建筑业企业劳动生产率,按建筑业总产值计算的国有建筑业企业劳动生产率,按建筑业总产值计算的集体建筑业企业劳动生产率
2019,399673.87,587122.1128,303656.11
2018,373193.0,531442.07,277452.93
2017,347962.571843342,484733.812004359,256788.0726252
2016,336991.122415869,466055.998397561,242965.18293753
2015,324025.820697924,445787.045492573,245267.944409477
2014,317632.690140319,413400.822813702,234669.466081221
2013,324842.0,439212.06157677,246678.55278622
2012,296424.4266311,388406.19930582,222006.18268226
2011,233104.04851128,339049.06241047,158153.09473092
2010,203962.0,271857.0,138580.0
2009,185087.231133373,244192.693116554,124254.659248167
2008,161804.731227174,202553.474488841,110989.501587667
2007,148100.556180994,189149.816711062,97716.2202066029
2006,131800.29,170373.24,85662.84
2005,117317.44,154435.59,75922.2
2004,101938.64541414,,
2003,86666.0,100409.0,62670.0
2002,76171.0,92844.0,55670.0
2001,67275.0,82899.0,47664.0
2000,59585.0,73302.0,44142.0
