年份,建筑业企业利润总额,内资建筑业企业利润总额,国有建筑业企业利润总额,集体建筑业企业利润总额,港澳台商投资建筑业企业利润总额,港澳台商独资建筑业企业利润总额,外商投资建筑业企业利润总额,外商独资建筑业企业利润总额
2019,8279.54651,8180.37069,907.8995,108.65111,48.69467,13.90117,50.48115,36.64684
2018,7974.8233,7888.85523,813.46387,133.43514,37.51321,13.26328,48.45486,32.71165
2017,7491.77778,7419.45219,713.43417,152.20388,41.87463,7.95639,30.45096,20.67125
2016,6986.04669,6919.05919,620.24574,171.82765,35.20079,10.19956,31.78671,25.95996
2015,6451.2324899999,6387.4099299999,633.30633,170.10865,30.71066,7.00922,33.1119,22.78484
2014,6407.12991,6344.67164,564.81079,184.42809,22.99142,4.54797,39.46685,29.03192
2013,5575.0,,,,,,,
2012,4776.1415499999,4717.8249599999,537.6582,188.90809,31.75528,8.00977,26.56131,15.97678
2011,4168.32736,4112.30784,473.00236,171.41243,26.13695,5.49685,29.88257,14.36624
2010,3409.07409,3356.6815,444.4172,146.0362,25.6507,6.3565,26.7419,14.0422
2009,2718.75516,2677.76865,365.62468,136.29336,18.45969,5.18349,22.52682,8.11106
2008,2201.83887,2166.47305,335.39612,140.57726,13.2644,2.95926,22.10142,11.24596
2007,1561.12248,1524.39265,231.32623,98.40215,8.86786,1.33193,27.86197,17.11779
2006,1193.0744,1164.09093,176.5849,82.8666,6.25549,0.52322,22.72801,17.30288
2005,906.6623,891.33737,141.42859,80.70378,3.6242,1.00141,11.70068,2.32676
2004,719.24681,,,,,,,
2003,519.8716,514.0731,54.0339,78.5771,2.8756,0.1617,2.9229,0.11
2002,370.3532,365.2414,45.5858,75.7413,2.4171,-0.167,2.6947,0.0728
2001,294.3904,288.2973,32.7049,78.7341,3.7556,0.3489,2.3375,0.114
2000,192.0635,189.7695,21.5894,75.633,0.9856,0.2702,1.3084,0.0341
