年份,建筑业企业单位数,国有建筑业企业单位数,集体建筑业企业单位数,港澳台商投资建筑业企业单位数,外商投资建筑业企业单位数,其他建筑业企业单位数,建筑业企业从业人员数,国有建筑业企业从业人员数,集体建筑业企业从业人员数,港澳台商投资建筑业企业从业人员数,外商投资建筑业企业从业人员数,其他建筑业企业从业人员数,建筑业总产值,国有企业建筑业总产值,集体企业建筑业总产值,港澳台商投资企业建筑业总产值,外商投资企业建筑业总产值,其他建筑业企业建筑业总产值
2019,103805,3309,2324,245,190,97737,5427.0769,406.0812,115.0865,14.3191,6.7506,4884.84,248443.27073,30662.35253,3690.94265,750.79943,593.89464,212745.29
2018,96544,3358,2546,266,203,90171,5305.23,438.51,123.23,17.62,7.58,4718.4,225816.86,28273.22,3615.37,743.74,639.04,192545.49
2017,88074,3453,2873,334,218,81196,5529.6339000004,428.4259,158.6786,19.0321,7.7144,4915.7829000003,213943.55899,26414.37664,4317.91712,799.36158,547.30171,181864.60194
2016,83017,3593,3154,326,222,75722,5184.5,438.1,168.2,16.1,8.7,4553.4,193566.77736,23849.01755,4388.7457,683.98977,525.21008,164119.81426
2015,80911,3603,3318,343,249,73398,5093.6668000002,417.565,169.0392,17.8663,9.2164,4479.9799000002,180757.47357,21767.07263,4364.39591,693.34387,606.24162,153326.41954
2014,81141,3753,3589,369,261,73169,4536.9721,371.1511,175.033,15.4415,8.6264,3966.7201,176713.41618,22069.4484,4681.79665,661.67484,643.2032,148657.29309
2013,78919,3847,3728,390,272,70682,4528.3551,387.6584,187.0576,16.4604,10.1422,3927.0365,160366.06329,20739.01633,4524.67653,621.96191,607.72487,133872.68365
2012,75280,4602,4640,385,295,65358,4267.2422,457.7807,216.2418,12.9682,10.2824,3569.9691000002,137217.858,22930.18531,4919.00209,649.74199,476.98842,108241.9402
2011,72280,4642,4847,393,303,62095,3852.4733000001,444.9354,220.3973,11.3056,9.8685,3165.9665000001,116463.32067,20436.8109700001,4306.48746,612.67906,658.16801,90449.17517
2010,71863,4810,5026,416,331,61280,4160.4378,576.8711,246.528,12.1647,9.795,3315.079,96031.1338,18148.58517,3655.26802,443.95782,439.67882,73343.64397
2009,70817,5009,5352,444,351,59661,3672.5571,518.9247,246.7903,10.8563,10.2379,2885.7479,76807.74164,15190.05043,3281.74572,334.58979,415.16992,57586.18578
2008,71095,5315,5843,474,363,59100,3314.9503,472.106,266.779,10.478,9.2142,2556.4,62036.80608,12231.65743,3216.43358,321.0668,387.13523,45880.52
2007,62074,5319,6614,482,365,49294,3133.71,470.12,316.99,9.81,11.43,2325.36,51043.71,10630.9,3153.65,281.95,396.32,36580.89
2006,60166,5555,7051,479,370,46711,2878.16,467.6,332.0,8.9,8.1,2061.55,41557.16,9218.56,2904.48,240.52,274.87,28918.73
2005,58750,6007,8090,516,388,43749,2699.92,480.0,361.6,8.6,10.8,1838.92,34552.1,8432.03,2815.2,172.54,249.03,22883.3
2004,59018,6513,8959,511,386,42649,2500.3,467.36,386.4,6.8,8.1,1631.64,29021.45,7325.61,2756.12,137.03,202.46,18600.23
2003,48688,6638,10425,535,287,30803,2414.27,524.32,505.57,7.04,6.04,1371.3,23083.87,6060.23,3270.73,123.71,129.39,13499.81
2002,47820,7536,13177,632,279,26196,2245.19,543.75,579.18,7.41,4.5,1110.35,18527.18,5582.86,3338.5,113.87,91.38,9400.57
2001,45893,8264,19096,622,274,17637,2110.66,590.65,739.94,7.68,4.3,768.09,15361.56,5362.81,3775.89,102.55,73.06,6047.25
2000,47518,9030,24756,635,319,12778,1994.3,635.6,887.5,8.22,4.4,458.58,12497.6,5053.79,4035.84,99.18,67.49,3241.3
