年份,建筑业企业工程结算利润,内资建筑业企业工程结算利润,国有建筑业企业工程结算利润,集体建筑业企业工程结算利润,港澳台商投资建筑业企业工程结算利润,港澳台商独资建筑业企业工程结算利润,外商投资建筑业企业工程结算利润,外商独资建筑业企业工程结算利润
2019,7911.00698,7814.15333,843.03378,104.81771,45.4142,13.02719,51.43945,37.19138
2018,7788.58802,7705.66226,769.48231,128.04257,33.84339,11.11359,49.08237,33.73699
2017,7245.76257,7178.52725,660.68585,145.9726,37.7529,4.89872,29.48242,20.29834
2016,6745.07795,6688.22234,567.1457,164.28967,27.19909,6.50549,29.65652,24.54762
2015,6183.54878,6125.52928,573.01179,164.1,26.15466,5.77482,31.86484,22.49017
2014,6133.23586,6073.05158,498.3498,176.75678,21.45873,4.62472,38.72555,29.23948
2013,,,,,,,,
2012,4495.27106,4441.84791,463.78005,180.04251,28.44251,7.16321,24.98064,15.51411
2011,3799.17947,3747.65895,402.88334,156.3283,23.19303,4.88367,28.32749,15.03163
2010,6515.0138,6428.0206,1051.7176,288.0022,41.6671,6.7986,45.3262,21.6436
2009,5217.894,5141.18733,922.95383,268.99014,33.13287,7.16685,43.5738,16.85084
2008,4490.68805,4414.88252,838.76222,267.55412,29.83224,7.5701,45.97329,21.69908
2007,3365.72837,3291.95092,643.11936,224.77436,22.31989,4.48545,51.45756,23.84725
2006,2809.89933,2758.84718,579.55437,203.85254,18.27349,2.50659,32.77866,15.3665
2005,2372.61361,2326.34128,574.44476,199.0331,15.44271,2.62057,30.82962,5.69754
2004,,,,,,,,
2003,1674.0685,1647.9606,441.6532,231.6727,12.8671,0.6733,13.2408,0.4219
2002,1395.0478,1372.467,440.6364,235.6879,13.1299,0.6494,9.4509,0.62
2001,1159.6329,1139.7553,422.9005,236.653,12.647,1.0686,7.2306,0.2343
2000,943.5591,927.4695,415.0534,248.9144,9.8615,0.975,6.2281,0.2891
