年份,总承包建筑业企业单位数,总承包建筑业企业从业人员,总承包建筑业企业建筑业总产值,特级总承包建筑业企业建筑业总产值,一级总承包建筑业企业建筑业总产值,二级总承包建筑业企业建筑业总产值,三级及以下总承包建筑业企业建筑业总产值,总承包建筑业企业利税总额,按总承包建筑业企业总产值计算的劳动生产率
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,,,,,,,,,
2015,,,,,,,,,
2014,,,,,,,,,
2013,46113.0,4035.7603,1424338341.9,257771653.0,646077056.4,320010603.0,200479029.5,,324864.65448542
2012,43031.0,3827.8197,1224735707.9,228138267.4,556869587.4,279237492.4,160490360.7,7984.5536,295904.15736723
2011,40480.0,3443.3675,1037639374.5,202422280.0,466877273.9,233406073.9,134933746.5,6971.13086,233802.064612904
2010,39430.0,3715.7019,851547282.0,172028794.0,370707247.0,193207763.0,115603478.0,5833.2626,204094.0
2009,38375.0,3263.3706,679645883.8,136282282.8,288739525.7,157403793.4,97220281.9,4615.67294,185716.32
2008,38212.0,2923.671,542268099.5,105051434.8,222305064.2,131634967.9,83276632.6,3783.73259,161333.33
2007,34071.0,2756.014,444193356.3,87010720.8,174388361.6,107617422.5,75176851.4,2774.62439,146902.12
2006,33175.0,2526.4838,360332770.4,63534569.2,142527857.7,89941215.2,64329128.3,2179.88819,130441.9
2005,32389.0,2345.8604,298340853.9,41200398.4,125971632.7,74720380.6,56448442.2,1711.81752,116459.98
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
