年份,专业承包建筑业企业利润总额,一级专业承包建筑业企业利润总额,二级专业承包建筑业企业利润总额,三级及以下专业承包建筑业企业利润总额
2019,,,,
2018,,,,
2017,,,,
2016,,,,
2015,,,,
2014,,,,
2013,,,,
2012,6973816.6,2967068.5,1767225.9,2239522.2
2011,6253581.7,2394586.9,1612085.2,2246909.6
2010,5482209.0,1878683.0,1438061.0,2165465.0
2009,4497215.6,1314431.8,1298912.4,1883871.4
2008,3985411.4,1175856.8,1193959.7,1615594.9
2007,2821976.0,897507.8,871200.1,1053268.1
2006,2310109.4,672954.9,706953.4,930201.1
2005,1957145.1,537449.2,603980.4,815715.5
2004,,,,
2003,,,,
2002,,,,
2001,,,,
2000,,,,
