年份,建筑业企业利税总额合计,建筑业企业利润总额,建筑业企业主营业务税金及附加,建筑业企业管理费用中的税金,建筑业企业产值利税率,建筑业企业资产利税率
2019,15442.64534,8279.54651,,,6.216,6.01748635251051
2018,15477.67429,7974.8233,,,6.58384813816486,6.61
2017,13859.09493,7491.77778,,,6.47792109069654,6.77162874708273
2016,12963.49611,6986.04669,,,6.69716998278594,7.10398364722589
2015,12124.64149,6451.2324899999,5425.2034699999,248.20553000005,6.70768475047557,7.38288496333181
2014,11954.2527,6407.12991,5325.48236,221.64043,6.76476804030538,8.05690377700982
2013,,5575.0,,,,
2012,9165.02569,4776.1415499999,4190.4796200002,198.40452000003,6.68,8.21
2011,8032.61211,4168.32736,3697.53184,166.87891,6.86198198165333,8.55809125101231
2010,6760.38694,3409.07409,3192.7331,158.5797,7.0,9.0
2009,5372.44085,2718.75516,2524.60441,129.08128,6.99466061009941,8.64231281679437
2008,4466.82221,2201.83887,2147.63752,117.34582,7.20027753240516,8.63789505044622
2007,3275.39729,1561.12248,1634.808,79.46681,6.41684748450708,7.61202087426732
2006,2594.5621,1193.0744,1335.41,66.07385,6.22356447142597,7.18251615576068
2005,2066.4572,906.6623,1101.4,58.4,5.98067845369746,6.56315450263384
2004,1655.43838,719.24681,894.1,42.09,5.7,
2003,1278.526,519.8716,720.29,38.36,5.5,5.4
2002,969.7797,370.3532,566.76,32.67,5.2,4.8
2001,793.4252,294.3904,472.33,26.7,5.2,4.676
2000,579.2206,192.0635,362.19,24.96,4.6,4.0
