年份,建筑业企业实收资本,内资建筑业企业实收资本,国有建筑业企业实收资本,集体建筑业企业实收资本,港澳台商投资建筑业企业实收资本,港澳台商独资建筑业企业实收资本,外商投资建筑业企业实收资本,外商独资建筑业企业实收资本
2019,40614.86851,40318.01751,4844.05643,429.27334,169.04464,67.9912,127.80636,80.22284
2018,39083.17293,38785.48808,4413.14948,474.41967,164.05676,70.96476,133.62809,78.031
2017,36441.88844,36135.86019,4329.60069,516.72647,177.93634,63.27853,128.09191,79.86313
2016,32602.50477,32320.18379,3696.21511,553.12692,160.26723,61.55649,122.05375,74.42469
2015,28500.33748,28259.92248,3225.48085,543.53401,158.64559,62.81178,81.76941,36.0168
2014,27243.46667,27030.87317,3061.30788,560.98479,126.93319,29.98253,85.66031,35.65545
2013,,,,,,,,
2012,21800.20731,21612.1448,2827.02686,700.10899,105.56276,24.32692,82.49975,40.93267
2011,18020.70962,17822.48658,2561.28772,674.67816,99.01083,28.63302,99.21221,37.2166
2010,15391.4416,15211.4089,2207.5073,627.3441,99.8,19.9681,80.2327,30.5565
2009,13284.28765,13106.8115,2178.26729,635.47962,93.61143,19.47115,83.86472,27.24449
2008,11887.22257,11721.2846,2020.0507,638.07513,89.07196,21.37012,76.86601,24.0443
2007,9982.09647,9832.16472,2061.76471,675.00865,74.681,14.67035,75.25075,18.91991
2006,9032.55127,8899.79256,1984.81963,690.74288,68.98971,10.50823,63.769,15.30803
2005,8171.3763,8039.89466,1974.58213,755.13873,67.62708,9.04018,63.85456,10.99106
2004,,,,,,,,
2003,6540.7983,6438.4557,1741.5883,995.9581,60.4163,3.2617,41.9263,1.4125
2002,5855.5713,5757.5609,1783.8846,1096.3904,63.3724,4.8093,34.638,1.4899
2001,4518.6143,4437.4143,1585.8301,965.7091,52.6139,4.2843,28.5861,1.5443
2000,3219.839,3147.3298,1259.2585,944.646,45.7444,4.4947,26.7649,1.3655
