年份,借方储备资产,借方货币黄金储备资产,借方特别提款权储备资产,借方在基金组织的储备头寸储备资产,借方外汇储备资产,借方其它债权储备资产
2019,,,,,,
2018,,,,,,
2017,,,,,,
2016,,,,,,
2015,,,,,,
2014,14900802.1301453,,7816.39034369586,35736.739801632,14857249.0,
2013,43269968.6863,0.0,363.686299999911,0.0,43269605.0,0.0
2012,11010259.79406,0.0,18928.79406,0.0,10991331.0,0.0
2011,38881789.0467064,0.0,0.0,400031.046706402,38481758.0,0.0
2010,47173902.7211056,0.0,10710.3177216,207558.403384,46955634.0,0.0
2009,40048518.9786937,487562.614773669,1111776.4779,244031.88602,38205148.0,0.0
2008,47964407.48127,0.0,6641.60505,123599.87622,47834166.0,0.0
2007,46118318.55168,0.0,10912.47975,20896.07193,46086510.0,0.0
2006,28542243.6,0.0,15500.0,0.0,28526743.6,0.0
2005,25259289.7,0.0,1999.99999999999,0.0,25257289.7,0.0
2004,19054700.0,0.0,16100.0,900.000000000058,19037700.0,0.0
2003,10641430.6,0.0,17100.0,27400.0,10596930.6,0.0
2002,7569131.95212658,0.0,14316.952126572,130600.0,7424215.0,0.0
2001,4732512.97227289,0.0,5370.6,71725.924399466,4659104.0,0.0
2000,1112840.0,0.0,5700.0,17300.0,1089840.0,0.0
