年份,借方资本和金融项目,借方资本项目,借方金融项目,借方直接投资金融项目,借方金融项目我国在外直接投资,借方金融项目外国在华直接投资,借方金融项目的证券投资,借方金融项目中证券投资资产,借方金融项目中证券投资的股本证券资产,借方金融项目中证券投资的债务证券资产,借方金融项目中证券投资的中长期债务证券资产,借方金融项目中证券投资的货币市场工具债务证券资产,借方金融项目中证券投资负债,借方金融项目中证券投资的股本证券负债,借方金融项目中证券投资的债务证券负债,借方金融项目中证券投资的中长期债务证券负债,借方金融项目中证券投资的货币市场工具债务证券负债,借方金融项目中其它投资,借方金融项目中其它投资的资产,借方金融项目中其它投资的贸易信贷资产,借方金融项目中其它投资的长期贸易信贷资产,借方金融项目中其它投资的短期贸易信贷资产,借方金融项目中其它投资贷款资产,借方金融项目中其它投资长期贷款资产,借方金融项目中其它投资短期贷款资产,借方金融项目中其它投资货币和存款资产,借方金融项目中其它投资其它资产,借方金融项目中其它投资的长期其它资产,借方金融项目中其它投资的短期其它资产,借方金融项目其它投资中负债,借方金融项目其它投资的贸易信贷负债,借方金融项目的其它投资长期贸易信贷负债,借方金融项目其它投资的短期贸易信贷负债,借方金融项目中其它投资贷款负债,借方金融项目其它投资的长期贷款负债,借方金融项目其它投资中短期贷款负债,借方金融项目中其它投资货币和存款负债,借方金融项目其它投资中其它负债,借方金融项目其它投资长期其它负债,借方金融项目其它投资短期其它负债
2019,,-54532.521219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,-86540.879765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,-31897.001184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,-66234.769825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,-19616.408946,-9360763.33441311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,253474756.121041,-197224.587064,253277531.533976,22655158.902101,13594783.618438,9060375.283663,8401664.5150305,4014104.42705214,1843680.133153,2170424.29389914,2150528.67759914,19895.6163,4387560.08797837,2575759.72056624,1811800.36741213,875395.003236293,936405.364175835,222220708.116845,40247426.9692535,9696190.4469,193923.808938,9502266.637962,9149175.1713093,4554769.85491605,4594405.31639326,21110354.1890115,291707.162032633,,291707.162032633,181973281.147592,1743760.89,30515.815575,1713245.074425,178074232.801204,5687346.885714,172386885.91549,1802632.62421581,352654.832171795,61910.7790627955,290744.053109
2013,140665200.0,-140019.5951,140525200.0,16260400.0,10964564.701526,5323119.310109,5292600.0,3111304.6102747,1609400.009534,1501904.6007407,1501705.2654407,199.3353,1248780.8512524,808935.744452402,439845.1068,439845.1068,,118972200.0,28041814.7258993,6674614.56,133492.2912,6541122.2688,6933941.12867169,5215052.00401944,1718889.12465225,9104273.32247688,5328985.71475073,,5328985.71475073,91260038.8561823,,,,85582195.4978339,3751361.33350654,81830834.1643273,4499800.04228345,1178043.31606495,133166.439292949,1044876.876772
2012,139513821.48104,-27750.8808,139486070.60024,11676667.866983,8570890.206925,3105777.660058,3516220.62576008,3005950.60118128,995476.761804,2010473.83937728,1587690.8708323,422782.968544983,510270.024578795,494381.814578795,15888.21,15873.0,15.21,124293182.107497,37176845.0400834,6222200.0,124444.0,6097756.0,8971688.45943515,5683646.36587593,3288042.09355922,20736809.0584242,1246147.52222403,1000000.0,246147.522224028,87116337.0674134,797399.999999999,13954.5,783445.499999999,66476577.0343,4402427.27,62074149.7643,19331722.3195519,510637.713561506,6785.37356150544,503852.34
2011,118400386.033202,17424.5995,118382961.433702,9994013.26519275,6582808.59206476,3411204.673128,3230784.62650913,1924619.67729913,1012481.613268,912138.064031131,875010.307194559,37127.7568365715,1306164.94921,988710.73921,317454.21,317454.21,0.0,105158163.542,28368320.9141287,7095781.0,141915.62,6953865.38,5134621.73829412,4408774.95813171,725846.780162403,15695083.7266346,442834.4492,0.0,442834.4492,76789842.6278711,740000.0,12950.0,727050.0,62924787.8327,4082555.91,58842231.9227,12366244.791993,758810.003178145,390961.283178145,367848.72
2010,87978721.548781,18493.5457432149,87960228.0030378,8723672.70816272,6556042.0750357,2167630.63312703,3954611.66723785,3446693.145122,1989867.722285,1456825.422837,1095818.634837,361006.788,507918.522115853,317071.022115853,190847.5,190847.5,0.0,75281943.6276372,19122788.7053254,6209963.62615497,434697.453830848,5775266.17232412,4074188.43024999,2766737.8874725,1307450.54277749,8833423.27982043,5213.3691,0.0,5213.3691,56159154.9223118,875413.250282322,61278.9275197625,814134.32276256,50687998.9,1631751.62,49056247.28,4347380.82,248361.952029489,248361.952029489,202900.55
