年份,借方经常项目,借方经常项目中货物和服务,借方经常项目中货物,借方经常项目中服务,借方经常项目中运输服务,借方经常项目中旅游服务,借方经常项目中通讯服务,借方经常项目中建筑服务,借方经常项目中保险服务,借方经常项目中金融服务,借方经常项目中计算机和信息服务,借方经常项目中专有权利使用费和特许费服务,借方经常项目中咨询服务,借方经常项目中广告、宣传服务,借方经常项目中电影、音像服务,借方经常项目中其它商业服务,借方经常项目中别处未提及的政府服务,借方经常项目中收益,借方经常项目中职工报酬,借方经常项目中投资收益,借方经常项目中经常转移,借方经常项目中各级政府经常转移,借方经常项目中其它部门经常转移
2019,-276375880.937341,-247925493.962291,-197374675.342134,-50550818.6201573,-10515422.3611077,-25462057.8222498,,-933136.441189,-1102307.1839,-239884.223771807,-2695567.927725,,,,,-4979707.085766,-368103.282019,,-1115663.171219,-25696776.0738931,,,
2018,-290021366.188431,-254800745.371703,-202227228.697376,-52573516.6743268,-10920649.6540143,-27726451.7863892,,-861748.398859,-1155166.04136967,-209099.184627623,-2353305.400623,,,,,-4703260.361862,-447211.061544,,-994641.929914,-31179442.1091889,,,
2017,-254989873.618703,-221226745.627144,-174027238.490077,-47199507.1370673,-9326942.91336,-25787509.1917521,,-864144.503901,-1146319.363186,-161710.110988154,-1936714.267535,,,,,-4237925.894564,-345506.262826,,-676163.43643,-29058713.6637554,,,
2016,-225243700.0,-194218500.0,-150063600.0,-44155000.0,-8058022.281355,-25011200.0,,-850389.251773,-1291269.297333,-203348.749654979,-1273760.72153,,,,,-4324417.009789,-318499.253148,,-621089.095557,-26340558.7369214,,,
2015,-231512593.47863,-200228168.802783,-156656234.408659,-43571934.394124,-8533975.191787,-24983054.3904995,,-1019729.448877,-879419.275996,-264472.364606511,-1140868.741142,,,,,-3954211.409955,-256566.39923,,-571819.107259,-25838040.0060076,,,
2014,-250735444.205606,-224160278.371384,-180871965.719509,-43288312.6518751,-9615779.809991,-22734373.2950071,228614.156467,-486964.13024,-2245409.107553,-494016.036189725,-1074826.846073,2261380.078152,2648227.86677071,380319.782648547,87348.992506,-4073933.49890826,-202707.487554,24707107.6171015,-415530.205229,-22191577.4118725,7136146.93369276,457123.603298599,6679023.33039416
2013,-244452558.920979,-212021517.619399,-178960763.736956,-33060753.882443,-9432376.6852,-12857639.4742557,163874.2321,-389027.2982,-2209269.6296,-369123.982561079,598523.7644,2103307.8371,2360372.99864048,313887.94105077,78273.9755,-4732529.11101825,-118878.0576,26241500.0,-171420.2599,-26070108.6041774,6189512.43750247,423695.749868173,5765816.68763429
2012,-217790443.882943,-194324713.562837,-166194665.966931,-28130047.5959055,-8586159.9518,-10197658.2284,164718.5767,-361870.3858,-2060013.1609,-192574.563554412,384317.7448,1774898.3437,2001971.69032408,277341.193618041,56448.7793,-4235356.81356612,-104018.5364,20258091.6808847,-178805.8506,-18513581.6219847,4773342.8475219,396111.920126383,4377230.92739552
2011,215357053.246005,190792585.168479,166027165.299313,24765419.8691662,8044471.0015,7258505.311,119057.3365,372843.5521,1973777.6691,74683.2090036758,384413.7653,1470610.8691,1858154.38690333,277328.053959156,39956.1543,2785145.1364,106473.424,21458515.533027,161814.7148,21296700.818227,3105952.54449851,335338.774585115,2770613.76991339
2010,169771736.725831,152055868.293231,132723758.459267,19332109.8339636,6325671.2806,5488003.12,113712.6597,507184.1491,1575459.5076,138730.401802148,296537.7615,1303954.6459,1509381.76306706,204029.626919421,37081.9729,1717624.954075,114737.9908,16832381.3645358,145545.5375,16686835.8270358,883487.068064599,266522.813188384,616964.254876215
2009,124091309.06398,111314318.28982,95428735.183851,15885583.1059685,4657395.0086,4370167.2774,120954.809,586763.7104,1130896.3727,64255.3790487922,323256.945,1106527.1082,1341019.23583486,195336.026474889,27844.6148,1877186.64261,83979.9759,11678345.682633,205165.6434,11473180.039233,1098645.09152718,266287.064239459,832358.027287722
2008,132559228.248786,123297581.822049,107405223.233016,15892358.5890338,5032873.51145981,3615700.0,151007.886926136,436301.279509909,1274284.37776527,56561.4841269297,316513.120969694,1031946.63561387,1353555.08927111,194065.580974531,25462.1516858864,2312079.83281607,92007.6379145568,8320721.59201839,273639.079137784,8047082.5128806,940924.834718723,236793.124637656,704131.710081067
2007,111520601.851626,103423076.802133,90411463.898047,13011612.9040862,4327574.35707439,2978604.67426667,108166.543108398,290981.69870692,1066412.66122141,55692.3808256898,220807.22711925,819206.740232591,1085636.97598313,133691.816152168,15371.5638970341,1823806.38939114,85659.8761074205,7543180.93459818,249305.814524102,7293875.12007408,554344.114894841,185765.239701247,368578.875193594
2006,91598609.6402213,85276939.6931899,75193624.7058535,10083314.9873364,3436902.57395837,2432170.4308,76407.3351401591,204972.064653655,883109.419183737,89146.7205291414,173885.095903696,663408.102003558,838920.837875014,95495.9590482073,12147.9584908655,1126110.63742115,50637.8523288527,5970657.06649701,232999.281257431,5737657.78523958,351012.880534462,135718.55519446,215294.325340002
2005,77151702.645796,71226103.3634775,62829463.7618618,8396639.60161564,2845364.98102246,2175907.017034,60340.42682098,161938.16389947,719955.91073206,15947.57483767,161993.93347361,532125.38633468,618354.01489956,71520.76834571,15395.4347062,955512.40884203,62283.58066721,5538663.66597285,181741.36897668,5356922.29699617,386935.61634562,117191.79169159,269743.82465403
2004,63424825.9428621,60713104.0739767,53441023.6101683,7272080.46380839,2454375.89425538,1973740.285,47219.86616337,133882.61550457,612357.40349566,13809.61796424,125274.67326728,449660.47955981,473430.93414979,69833.53817822,17583.05670513,847813.5346953,53098.56486964,2568907.24253352,138216.76562439,2430690.47690913,142814.62635192,18659.2,124155.42635192
2003,47655488.12545,44920816.5494319,39390189.5913568,5530626.95807512,1823283.29037886,1518727.2,42738.37983142,118323.86385827,456421.62864025,23251.90846872,103581.24360739,354812.67515953,344953.69773693,45788.13655326,6953.51468351,646383.65002162,45407.76913536,2631318.12470728,112023.2887298,2519294.83597748,103353.4513108,10573.6,92779.8513108
2002,35211300.2414844,32801265.6631429,28148424.8424127,4652840.82073016,1361190.32823995,1539841.64,47041.88276998,96386.0885904,324573.77393701,8984.17004685,113285.44269174,311400.40406535,263052.66025398,39444.67803217,9602.39048203,493197.37644792,44839.98517278,2328941.75532909,95032.69448096,2233909.06084813,81092.82301243,16014.2,65078.62301243
2001,30051918.9551724,27132395.3027766,23205780.4713401,3926614.83143648,1132413.65108999,1390882.62,32597.85198412,84700.89733138,271101.42031937,7741.38704609,34470.57952653,193805.96643996,150211.6650739,25805.97769199,5021.95576118,574357.04992667,23503.8092453,2856283.8667348,85163.47832258,2771120.38841222,63239.78566107,20467.2,42772.58566107
2000,27845356.5411478,25068764.0045478,21465703.1799478,3603060.8246,1039611.464,1311368.68,24197.0,99444.4,247142.166,9744.1033,26501.3,137834.2,63973.2,23421.3,3742.4,611721.4113,17275.7,2721639.5366,67936.1,2653703.4366,54953.0,9384.5,45568.5
