年份,发明、实用新型专利国际标准分类申请量,A部(人类生活需要)专利申请受理量,农、林、牧、渔专利申请受理量,烘烤、食用面团专利申请受理量,屠宰、加工专利申请受理量,食品、食物及处理专利申请受理量,烟类及用品专利申请受理量,服装专利申请受理量,帽类制品专利申请受理量,鞋类专利申请受理量,男用服饰用品、珠宝专利申请受理量,手携及旅行用品专利申请受理量,刷类用品专利申请受理量,家具、家庭日用品或设备专利申请受理量,医学、兽医学、卫生学专利申请受理量,救生、消防专利申请受理量,体育、游戏、娱乐活动专利申请受理量,本部其他类目中不包括的技术主题专利申请受理量,B部(作业、运输)专利申请受理量,物理或化学的方法或装置专利申请受理量,破碎、研磨、粉碎专利申请受理量,分选、分离专利申请受理量,离心装置、离心机专利申请受理量,喷射、雾化专利申请受理量,机械振动的产生和传递专利申请受理量,固体分离、分选专利申请受理量,清洁专利申请受理量,固体废料的处理专利申请受理量,金属加工、冲裁专利申请受理量,铸造、粉末冶金专利申请受理量,机床、其他金属加工专利申请受理量,磨削、抛光专利申请受理量,简单工具专利申请受理量,手工、切割工具、切断专利申请受理量,木材加工、保存、钉钉机专利申请受理量,加工水泥、粘土和石料专利申请受理量,塑料制品的加工专利申请受理量,压力机专利申请受理量,纸品制作、纸的加工专利申请受理量,叠层产品专利申请受理量,印刷、打字机、印刷机专利申请受理量,装订、图册、文件夹专利申请受理量,绘图具、办公附属用品专利申请受理量,装饰艺术专利申请受理量,一般车辆专利申请受理量,铁路专利申请受理量,无轨陆用车牌专利申请受理量,船舶、船只、有关设备专利申请受理量,飞行器、航空、宇宙航行专利申请受理量,输送、包装、存贮、搬运专利申请受理量,卷扬、提升、牵引专利申请受理量,液体的贮运专利申请受理量,鞍具、室内装璜专利申请受理量,微观结构技术专利申请受理量,超微观技术专利申请受理量,C部(化学、冶金)专利申请受理量,无机化学专利申请受理量,水、废污水、泥浆的处理专利申请受理量,玻璃、石棉和渣棉专利申请受理量,水泥、陶瓷等、隔音材料专利申请受理量,肥料及制造专利申请受理量,炸药、火柴专利申请受理量,有机化学专利申请受理量,有机高分子化合物专利申请受理量,染料、涂料、抛光剂等专利申请受理量,石油、煤气及炼焦工业专利申请受理量,动植物油、脂类专利申请受理量,生化、酒、醋、酶、专利申请受理量,糖或淀粉工业专利申请受理量,大小原皮、毛皮、皮革专利申请受理量,黑色冶金专利申请受理量,冶金学、合金或有色合金专利申请受理量,金属加工涂料、防腐防锈专利申请受理量,电解电泳方法及设备专利申请受理量,晶体生长专利申请受理量,组合技术专利申请受理量,D部(纺织、造纸)专利申请受理量,线、纤维、纺纱专利申请受理量,纺纱、整经或络经专利申请受理量,织造专利申请受理量,编带、花边、针织、整理专利申请受理量,缝纫、绣花、簇绒专利申请受理量,织物等的处理、洗涤专利申请受理量,绳、除电缆外的缆绳专利申请受理量,造纸、纤维素的生产专利申请受理量,E部(固定建筑物)专利申请受理量,道路、铁路和桥梁的建筑专利申请受理量,水利工程、基础、运土专利申请受理量,给水、排水专利申请受理量,建筑物专利申请受理量,锁、钥匙、门窗、保险箱专利申请受理量,一般门、窗、百叶窗、梯子专利申请受理量,钻井、采矿专利申请受理量,F部(机械工程)专利申请受理量,一般机器、发动机、蒸汽机专利申请受理量,内燃机等专利申请受理量,液力机械和其他发动机专利申请受理量,液体变容机械、泵专利申请受理量,液压调节器、液压技术专利申请受理量,工程元件或部件专利申请受理量,气体或液体的贮藏或分配专利申请受理量,照明专利申请受理量,蒸汽的生产专利申请受理量,燃烧设备、燃烧技术专利申请受理量,采暖、炉灶、通风专利申请受理量,制冷气体的液化和固化专利申请受理量,干燥专利申请受理量,炉、窑、灶、罐专利申请受理量,一般热交换专利申请受理量,武器专利申请受理量,弹药、爆破专利申请受理量,G部(物理)专利申请受理量,测量、测试专利申请受理量,光学技术专利申请受理量,照相术、电影术、电刻术专利申请受理量,测时技术专利申请受理量,控制、调节技术专利申请受理量,计算、推算、计数技术专利申请受理量,核算装置专利申请受理量,信号装置专利申请受理量,教育、密码、显示、广告等专利申请受理量,乐器、声学专利申请受理量,信息的存储专利申请受理量,仪器的零部件专利申请受理量,核物理、核工程专利申请受理量,其他的技术主题专利申请受理量,H部(电学)专利申请受理量,基本电器元件专利申请受理量,电力的发电、变电或配电专利申请受理量,基本电子电路专利申请受理量,电信技术专利申请受理量,其他类不包括的电技术专利申请受理量
2019,3756203,558501,108711,4718,2751,38617,8374,13621,2152,6738,4382,15325,2358,107602,202615,10074,28259,2204,1116352,139365,27941,6130,2721,28411,467,22557,32297,5987,52575,19183,119248,38279,50097,24240,10973,23123,64142,6465,7157,16974,18184,4416,7065,5854,79857,8772,36260,11006,15431,186739,36829,6526,231,706,96,277127,13785,52708,8307,13766,6038,579,30396,32683,23197,10167,4163,36892,313,1175,9298,11763,12059,7461,2264,113,57816,8771,2720,3723,5080,5930,25703,818,5071,260999,40184,36697,16967,92864,18820,19785,35682,382432,10725,12970,7294,31896,6943,118655,6489,44451,3448,14681,56691,17295,21703,10742,11850,3526,3073,643058,253591,31865,9416,2395,29507,212570,17686,19009,45178,8832,3935,280,2180,6614,459918,171158,114377,8744,124562,41077
2018,3999807,711105,144741,7055,3725,67945,7581,15856,2454,8884,4761,19188,3434,138098,236533,10967,34034,5849,1141489,143153,32909,6148,2750,28837,411,22395,34375,6071,50151,20678,119124,38510,50770,24733,14652,22757,62124,7199,6817,16855,18081,5315,10704,6897,81411,8086,40849,10984,15879,182795,41390,6687,232,626,111,321152,14779,57895,9393,17541,12948,632,31783,38168,28896,12241,6756,40173,331,1679,9315,15440,12802,7877,2411,92,64345,9246,2772,4455,5691,5445,29764,781,6191,257112,40344,33763,18602,90048,19558,20520,34277,409461,12648,13358,8705,32628,7957,126115,6089,52151,3476,14673,62929,17621,24274,9646,10536,3618,3037,613278,240719,34576,10421,2863,35829,174387,21523,22363,52197,7862,3544,280,2222,4492,481865,175304,122716,7641,134031,42173
2017,2816449,557259,107283,5204,2374,58499,4887,11859,1985,6353,3640,14417,2297,96919,163102,8290,24220,45930,725483,94623,18887,4463,1871,16696,293,12817,19219,4178,32704,13574,75081,21221,32099,14776,7917,14445,38913,4474,3432,12137,12592,3059,7978,4512,56639,5404,28951,7545,10853,111813,27050,4487,160,505,115,247300,11142,39263,6825,14595,12429,410,25796,33390,23542,9520,5948,30429,334,981,6145,10644,8491,5476,1852,88,42301,6878,1703,2906,3721,4241,18144,614,4094,172549,26142,23174,13037,61100,12961,13957,22178,278992,8773,10114,6041,21237,5047,78030,3983,39648,2659,11290,46393,13286,14267,6455,7614,2183,1972,444803,165265,25726,7663,2461,28737,137429,16184,17174,34326,5214,2643,245,77,1659,347762,119016,85770,6725,107620,28631
2016,2562594,500407,89046,6084,1814,60170,4545,13022,1898,8167,3897,15453,2658,97490,160013,6801,20244,9105,640714,74928,14972,4209,1632,15468,284,9395,14141,3353,29266,13281,67395,17892,29691,12301,7353,11075,31669,3799,2735,14913,10519,2987,8338,4354,52694,5139,27094,6911,8959,101498,27351,4341,111,529,137,221354,9494,34712,5269,12258,9471,356,23357,30236,21482,9217,4854,26992,212,811,6048,10968,8347,5349,1828,93,41389,6876,1705,3383,3560,3570,17329,574,4392,159376,21302,21461,11969,55970,12381,13562,22731,270880,9909,11371,6460,22884,6044,81382,3579,33970,2682,10807,40737,12380,11190,5808,7543,2320,1814,387013,144885,22324,6650,2311,28861,111059,13370,19059,29337,4790,2646,221,1500,,341461,119545,83772,6640,104547,26957
2015,2242370,428559,73958,5001,1398,54744,4486,11844,1687,5878,3087,12209,2033,74904,153744,5662,16819,1105,561274,64023,11663,4256,1608,11467,307,7794,10748,2494,30013,12525,66938,13799,23990,10811,6084,9042,27657,3449,2512,10068,9635,2339,7558,3191,47530,5130,24339,6303,6320,87555,25733,3643,99,535,116,223573,10351,27851,5759,13957,10534,391,26230,29318,22115,10173,5291,27889,241,826,6645,10327,8257,5161,2148,109,35645,6443,1680,2872,2890,3240,14517,556,3447,132169,15489,16695,9107,43545,12288,12151,22894,250474,9344,11513,6263,20206,5814,77647,3369,30873,2550,9538,36834,12024,8514,6099,6478,1942,1466,321069,122124,19371,5969,2267,27117,88849,9904,15973,21278,3374,3267,209,1367,,289607,102065,72905,7302,84615,22720
2014,1669527,321367,52120,4826,1073,47227,3537,10643,1129,5281,2136,9903,1645,55738,109146,4172,11664,1127,383766,41517,6340,3211,1135,8769,234,5135,7084,1672,21760,9818,44314,9792,14520,7228,3761,5941,19833,2650,1987,8953,7332,1965,6152,2347,33392,3567,17092,4563,3418,58122,16839,2608,135,469,111,167784,3,17339,4655,9213,7096,348,20119,24820,18150,7374,3807,19903,172,515,5392,8808,6651,3718,1546,53,29063,5605,1272,2899,2678,2667,10716,394,2832,93499,10412,11926,6693,30593,8108,8407,17360,184984,7019,9192,4799,14802,4583,56917,2796,24046,1729,6721,26282,8248,4979,4617,5402,1686,1166,251162,99102,15647,5393,1812,17849,70335,7067,11102,15908,2752,2962,157,1076,,237902,85682,58981,6331,69904,17004
2013,1679337,309870,46390,3376,869,31502,3479,11567,1657,5796,2297,13679,2327,68475,100729,3993,12892,842,381891,40586,6165,2558,1241,7861,227,4575,6692,1627,20889,9523,41570,9081,15782,7011,3432,5711,18223,2752,1732,8544,7058,2717,9731,2980,36280,3862,17411,4345,3337,58780,16236,2662,136,501,73,154289,8544,16004,4198,7586,4761,419,20958,20369,15790,7229,3661,18434,166,497,5475,7682,6511,4097,1843,65,30820,5445,1369,3727,2972,2442,11241,638,2986,98501,10369,11561,7381,32025,8928,9934,18303,199911,7281,9930,5282,16657,4511,62900,2489,29272,1769,6555,26958,8555,4412,4891,5606,1400,1443,260213,98417,15176,5374,2715,18416,75109,7893,12455,16357,3177,3682,218,1224,,243842,88855,54991,6631,73664,19701
2012,1469014,268150,38268,2154,847,26144,2987,10155,1253,6265,1899,12421,2481,62093,85737,3134,11363,949,336615,35359,5012,2336,1098,6488,300,3242,4998,1381,19842,7763,37365,7749,12152,5617,3185,5518,15492,2302,1644,8230,7427,2700,9078,2784,32392,3720,15517,4037,2830,51431,14444,2459,107,535,81,142587,9112,13873,4721,7991,4474,427,19971,19743,11926,7121,2789,17014,158,455,5123,6337,5673,3623,1992,64,26752,5113,1085,3008,3151,2263,8630,453,3049,88635,9816,10174,6414,27736,8507,8799,17189,184576,6626,9798,5920,15828,3910,56665,2065,26979,1647,6235,24589,7623,3757,5164,5336,1187,1247,204154,82830,14274,5732,1735,13800,49678,5700,9039,13812,2409,4008,204,933,,217545,85265,45120,5767,63407,17986
2011,1008844,185675,24178,1459,572,17281,1819,6267,993,3812,1388,8795,1707,43766,60922,2462,8995,1259,218086,21671,3422,1530,666,4852,145,2203,2954,826,12910,5745,24541,6243,7818,3826,2042,3742,10485,1852,907,5191,5250,2039,7457,1936,20197,2704,9645,2654,1514,29811,9130,1638,70,377,93,92943,5656,9344,2761,4099,2369,244,15235,10784,6996,4184,1459,12339,81,233,3661,4811,4225,2762,1675,25,18415,3250,670,2547,2082,1535,5725,467,2139,59276,6387,6187,4522,18710,5699,5241,12530,125077,4437,6931,4865,11059,2414,36457,1565,20512,1236,4174,15840,5158,2163,3199,3299,818,950,141502,52013,11722,5240,1432,7913,37097,3556,5874,10698,1762,3296,150,749,,167870,66426,32639,4252,51894,12659
2010,754702,141661,16412,865,321,12198,1636,4366,689,3184,1087,6625,1653,33751,50121,1822,6601,330,149971,15317,2237,1036,529,3601,108,1369,1989,595,8065,4429,15895,3021,5453,2678,1425,2330,6894,1043,521,1810,2913,1719,6144,1330,15646,1814,8361,2045,1149,20200,6613,1091,44,298,259,77742,4636,7789,2243,3578,1665,204,12532,9603,6146,4194,1356,10075,100,209,3033,3716,3539,2170,935,19,13381,2518,531,1583,1359,1245,4420,304,1421,44871,4808,4717,3933,13916,5005,4004,8488,93959,3743,5488,3803,8307,1662,25489,1099,13446,988,3498,14478,3939,1549,2384,2727,727,632,105432,36968,8055,4002,1140,5429,28983,2816,4356,8336,1537,3208,167,435,,127685,45581,24577,3396,44601,9530
