年份,国有控股工业企业所有者权益合计,煤炭开采和洗选业国有控股工业企业所有者权益合计,石油和天然气开采业国有控股工业企业所有者权益合计,黑色金属矿采选业国有控股工业企业所有者权益合计,有色金属矿采选业国有控股工业企业所有者权益合计,非金属矿采选业国有控股工业企业所有者权益合计,开采辅助活动国有控股工业企业所有者权益合计,其他采矿业国有控股工业企业所有者权益合计,农副食品加工业国有控股工业企业所有者权益合计,食品制造业国有控股工业企业所有者权益合计,酒、饮料和精制茶制造业国有控股工业企业所有者权益合计,烟草制品业国有控股工业企业所有者权益合计,纺织业国有控股工业企业所有者权益合计,纺织服装、服饰业国有控股工业企业所有者权益合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业所有者权益合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业所有者权益合计,家具制造业国有控股工业企业所有者权益合计,造纸和纸制品业国有控股工业企业所有者权益合计,印刷和记录媒介复制业国有控股工业企业所有者权益合计,文教、工美、体育和娱乐用品制造业国有控股工业企业所有者权益合计,石油加工、炼焦和核燃料加工业国有控股工业企业所有者权益合计,化学原料和化学制品制造业国有控股工业企业所有者权益合计,医药制造业国有控股工业企业所有者权益合计,化学纤维制造业国有控股工业企业所有者权益合计,橡胶和塑料制品业国有控股工业企业所有者权益合计,非金属矿物制品业国有控股工业企业所有者权益合计,黑色金属冶炼和压延加工业国有控股工业企业所有者权益合计,有色金属冶炼和压延加工业国有控股工业企业所有者权益合计,金属制品业国有控股工业企业所有者权益合计,通用设备制造业国有控股工业企业所有者权益合计,专用设备制造业国有控股工业企业所有者权益合计,汽车制造业国有控股工业企业所有者权益合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业所有者权益合计,电气机械和器材制造业国有控股工业企业所有者权益合计,计算机、通信和其他电子设备制造业国有控股工业企业所有者权益合计,仪器仪表制造业国有控股工业企业所有者权益合计,其他制造业国有控股工业企业所有者权益合计,废弃资源综合利用业国有控股工业企业所有者权益合计,金属制品、机械和设备修理业国有控股工业企业所有者权益合计,电力、热力生产和供应业国有控股工业企业所有者权益合计,燃气生产和供应业国有控股工业企业所有者权益合计,水的生产和供应业国有控股工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,173298.45,12578.12,9831.9,2356.15,1431.66,464.75,1040.25,,643.97,617.47,3492.26,7966.98,526.73,192.46,52.03,88.76,51.6,634.49,513.14,96.5,6387.2,7898.49,2751.05,469.94,637.82,3539.05,10822.41,4865.21,1382.64,3182.88,3312.15,14094.41,4689.38,2863.66,7307.61,698.08,383.4,60.03,548.75,47903.77,2212.17,4707.88
2016,160022.43,11164.41,10463.55,2042.4,1143.93,606.97,1202.0,,842.89,537.7,2872.2,7542.46,500.15,152.11,45.59,92.78,38.51,619.31,489.96,132.32,5227.67,6864.41,2627.82,380.06,572.51,3502.81,9739.53,4210.66,1105.56,3332.59,2886.65,13022.41,4146.44,2625.52,6273.54,650.09,322.34,53.5,502.41,45293.07,1907.7,4284.65
2015,151107.6,11769.94,10644.12,2031.35,1118.06,666.45,1073.28,1.12,767.92,524.14,2615.93,6785.47,455.11,150.67,44.18,103.06,40.07,559.12,501.65,117.87,4867.67,6379.87,2195.96,316.59,703.73,3213.31,9647.03,4192.18,1154.35,3326.11,3332.38,11465.25,3983.11,2397.73,5132.47,606.29,299.2,45.45,329.07,41906.62,1761.77,3881.98
2014,141476.81,12192.54,10585.0,1958.15,1003.92,609.45,1018.75,0.94,783.51,535.61,2363.56,6580.42,442.67,132.13,28.66,69.56,37.98,543.22,465.94,107.3,5013.78,6214.3,1882.52,278.95,617.85,3215.57,10551.07,4447.15,1252.0,3140.29,3037.27,10539.38,4152.9,2223.83,4166.19,557.87,274.61,42.11,236.29,35631.88,1542.34,2999.34
2013,128655.24,11984.47,9769.9,1857.63,923.5,461.9,1091.23,0.79,642.17,497.32,2058.63,5912.09,391.63,111.24,28.38,63.05,35.71,531.63,436.94,92.12,4883.96,6070.02,1712.41,266.53,569.46,2880.85,9818.92,4293.13,1143.03,2977.51,3252.16,9354.98,3510.08,2185.61,3508.34,517.77,263.26,40.65,253.32,30515.89,1085.03,2661.98
2012,120336.83,12381.03114,9115.49078,1790.17862,882.7973,410.34113,1027.20421,0.61161,539.129,395.88149,1900.68515,5285.69107,380.98476,78.48912,35.05271,69.51075,35.39322,602.76691,385.2005,74.72101,4661.87126,5882.76619,1595.30626,248.69699,503.13192,2672.91311,9277.56805,4060.33494,1040.44213,2673.29435,3045.3265,8602.95814,3259.44391,1894.16181,3554.70113,498.8586,208.88884,31.40526,216.07862,27620.45889,1041.99405,2355.07228
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
