年份,国有控股工业企业主营业务成本,煤炭开采和洗选业国有控股工业企业主营业务成本,石油和天然气开采业国有控股工业企业主营业务成本,黑色金属矿采选业国有控股工业企业主营业务成本,有色金属矿采选业国有控股工业企业主营业务成本,非金属矿采选业国有控股工业企业主营业务成本,开采辅助活动国有控股工业企业主营业务成本,其他采矿业国有控股工业企业主营业务成本,农副食品加工业国有控股工业企业主营业务成本,食品制造业国有控股工业企业主营业务成本,酒、饮料和精制茶制造业国有控股工业企业主营业务成本,烟草制品业国有控股工业企业主营业务成本,纺织业国有控股工业企业主营业务成本,纺织服装、服饰业国有控股工业企业主营业务成本,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业主营业务成本,木材加工和木、竹、藤、棕、草制品业国有控股工业企业主营业务成本,家具制造业国有控股工业企业主营业务成本,造纸和纸制品业国有控股工业企业主营业务成本,印刷和记录媒介复制业国有控股工业企业主营业务成本,文教、工美、体育和娱乐用品制造业国有控股工业企业主营业务成本,石油加工、炼焦和核燃料加工业国有控股工业企业主营业务成本,化学原料和化学制品制造业国有控股工业企业主营业务成本,医药制造业国有控股工业企业主营业务成本,化学纤维制造业国有控股工业企业主营业务成本,橡胶和塑料制品业国有控股工业企业主营业务成本,非金属矿物制品业国有控股工业企业主营业务成本,黑色金属冶炼和压延加工业国有控股工业企业主营业务成本,有色金属冶炼和压延加工业国有控股工业企业主营业务成本,金属制品业国有控股工业企业主营业务成本,通用设备制造业国有控股工业企业主营业务成本,专用设备制造业国有控股工业企业主营业务成本,汽车制造业国有控股工业企业主营业务成本,铁路、船舶、航空航天和其他运输设备国有控股工业企业主营业务成本,电气机械和器材制造业国有控股工业企业主营业务成本,计算机、通信和其他电子设备制造业国有控股工业企业主营业务成本,仪器仪表制造业国有控股工业企业主营业务成本,其他制造业国有控股工业企业主营业务成本,废弃资源综合利用业国有控股工业企业主营业务成本,金属制品、机械和设备修理业国有控股工业企业主营业务成本,电力、热力生产和供应业国有控股工业企业主营业务成本,燃气生产和供应业国有控股工业企业主营业务成本,水的生产和供应业国有控股工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,216186.13,10981.42,4780.16,971.94,1532.05,278.17,1291.71,,2713.18,1055.73,1681.92,2510.14,753.23,149.15,87.65,184.42,171.39,550.62,405.71,488.29,16260.99,12135.04,1394.15,803.8,1028.14,4074.62,19244.31,17687.03,2175.02,3722.55,3800.0,30466.67,6025.94,5297.01,7842.32,676.81,392.24,161.11,433.59,47944.71,2754.31,1278.3
2016,196284.81,10369.66,4605.46,862.38,1840.19,431.29,1354.06,,3368.73,914.38,1634.63,2440.16,801.47,142.59,103.98,175.61,98.36,603.06,379.2,521.71,12713.33,11064.13,1563.72,644.48,766.73,3975.68,15231.68,15277.75,1767.36,3933.22,3529.8,26666.0,6283.14,4799.32,7024.2,743.12,311.09,166.62,504.64,45093.77,2457.8,1119.7
2015,199927.31,11771.51,4504.92,950.47,1800.41,418.39,1370.98,0.51,3164.67,898.23,1573.71,2502.18,822.53,144.23,96.09,186.49,77.93,626.36,406.66,503.94,15070.45,10818.17,1563.35,516.56,802.56,3780.43,17092.48,15951.17,1954.09,3864.79,3852.67,23819.13,6603.28,4557.28,6643.11,616.79,364.45,154.8,347.34,46105.38,2628.53,1000.29
2014,217409.68,14812.29,4659.66,1232.06,1555.51,387.74,1670.91,0.58,3353.2,947.99,1643.46,2351.58,814.05,141.74,76.39,184.45,61.3,643.98,383.17,454.98,23470.36,11824.84,1568.44,394.29,1086.35,4090.41,21630.43,15823.96,1961.54,4125.44,4262.49,23589.7,6209.53,4470.5,5916.37,645.85,349.42,174.64,243.18,47027.74,2265.3,903.86
2013,213204.73,15231.44,4545.22,1367.71,1492.13,380.69,1634.54,0.59,3175.68,845.54,1604.52,2088.38,827.39,162.95,92.82,169.39,66.65,634.54,390.55,472.42,23831.49,11615.84,1593.93,409.33,1092.48,3942.85,23227.24,14964.9,1977.85,4143.22,4745.36,20942.18,5568.48,4288.67,5354.54,636.38,367.56,221.44,262.2,46346.92,1673.67,815.06
2012,202600.35,15398.49379,4301.43529,1258.86965,1242.35126,326.57543,1499.14765,0.43779,2724.14286,731.39045,1591.53362,1934.2343,787.73008,167.9662,101.51968,162.25303,73.39126,813.95141,365.78219,401.50773,23997.48146,11011.15034,1536.80467,394.76993,1136.03097,3403.68786,22852.9428,13113.43472,1875.71403,3922.49993,4673.25317,18462.93596,5262.81553,3875.14615,5010.55426,611.756,343.24445,178.97626,250.71952,44614.38605,1478.30805,711.027
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
