年份,国有控股工业企业负债合计,煤炭开采和洗选业国有控股工业企业负债合计,石油和天然气开采业国有控股工业企业负债合计,黑色金属矿采选业国有控股工业企业负债合计,有色金属矿采选业国有控股工业企业负债合计,非金属矿采选业国有控股工业企业负债合计,开采辅助活动国有控股工业企业负债合计,其他采矿业国有控股工业企业负债合计,农副食品加工业国有控股工业企业负债合计,食品制造业国有控股工业企业负债合计,酒、饮料和精制茶制造业国有控股工业企业负债合计,烟草制品业国有控股工业企业负债合计,纺织业国有控股工业企业负债合计,纺织服装、服饰业国有控股工业企业负债合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业负债合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业负债合计,家具制造业国有控股工业企业负债合计,造纸和纸制品业国有控股工业企业负债合计,印刷和记录媒介复制业国有控股工业企业负债合计,文教、工美、体育和娱乐用品制造业国有控股工业企业负债合计,石油加工、炼焦和核燃料加工业国有控股工业企业负债合计,化学原料和化学制品制造业国有控股工业企业负债合计,医药制造业国有控股工业企业负债合计,化学纤维制造业国有控股工业企业负债合计,橡胶和塑料制品业国有控股工业企业负债合计,非金属矿物制品业国有控股工业企业负债合计,黑色金属冶炼和压延加工业国有控股工业企业负债合计,有色金属冶炼和压延加工业国有控股工业企业负债合计,金属制品业国有控股工业企业负债合计,通用设备制造业国有控股工业企业负债合计,专用设备制造业国有控股工业企业负债合计,汽车制造业国有控股工业企业负债合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业负债合计,电气机械和器材制造业国有控股工业企业负债合计,计算机、通信和其他电子设备制造业国有控股工业企业负债合计,仪器仪表制造业国有控股工业企业负债合计,其他制造业国有控股工业企业负债合计,废弃资源综合利用业国有控股工业企业负债合计,金属制品、机械和设备修理业国有控股工业企业负债合计,电力、热力生产和供应业国有控股工业企业负债合计,燃气生产和供应业国有控股工业企业负债合计,水的生产和供应业国有控股工业企业负债合计
2019,271603.01,26247.28,8913.37,3783.22,1659.77,769.24,1586.19,,1443.23,757.55,2186.78,2293.89,545.09,140.34,46.25,213.21,109.7,650.32,261.3,174.36,9266.56,13599.58,2057.59,828.5,986.79,5843.4,19158.38,11170,2836.32,5497.61,5374.94,21797.09,9622.92,4867.51,9630.09,897.76,730.84,201.82,762.67,82283.53,3892,8513.48
2018,268477.85,27837.1,7429.7,4027.9,1758.4,493.8,1107.3,,1369.4,698.5,1971.8,2563.6,680.2,141.3,34.7,193.6,109.5,1039.2,239.9,151.9,8270.4,13665.8,2061.9,783.5,994.0,5344.9,20708.0,10398.8,1878.7,5218.3,6597.7,21713.0,4927.6,6115.6,9072.1,609.5,170.7,149.9,679.2,77132.7,3396.7,6507.7
2017,266097.89,27879.1,8151.92,3358.04,1734.8,486.5,1089.27,,1372.65,705.63,1834.14,2450.26,708.94,140.29,32.36,196.04,130.6,1070.54,242.99,147.84,8240.72,14701.74,1870.63,698.91,1049.13,5599.97,23279.85,11152.44,2467.98,5374.72,6490.32,21834.9,9344.77,6527.7,8214.02,1027.2,798.43,180.62,672.09,75954.08,2916.98,5967.76
2016,257235.38,28789.38,8431.47,3065.19,1761.0,530.92,1231.28,,1729.51,600.17,1593.46,2579.28,729.27,123.36,29.75,189.38,87.1,1126.59,248.96,185.43,8192.99,14421.56,1861.34,542.72,800.75,5762.65,23977.25,10134.22,1797.74,5962.23,6022.3,18957.09,8769.0,6062.81,7213.51,752.51,653.67,147.81,1185.13,73309.78,2392.59,5283.0
2015,246147.12,28023.9,8782.71,2902.29,1596.9,559.8,1265.68,1.24,1679.54,589.57,1368.41,2293.88,659.32,124.24,30.65,188.43,78.16,1392.72,253.38,145.08,7852.26,13765.32,1691.71,387.21,820.53,5495.17,24773.74,10236.05,2080.12,5711.5,6201.25,15896.14,8697.82,5495.19,6676.8,741.58,667.81,100.8,504.35,69464.34,2069.29,4882.23
2014,230132.08,24888.75,8477.93,2753.1,1374.19,540.68,1252.93,1.14,1745.92,694.63,1285.73,1784.24,674.65,139.93,25.07,167.76,59.35,1115.11,242.51,154.81,8367.06,13066.63,1614.55,394.04,918.16,5559.93,23167.46,9619.48,1939.46,5687.05,5803.81,14282.01,7979.81,5258.34,5995.41,693.94,592.94,93.67,378.49,65368.75,1902.05,4070.63
2013,214230.57,22436.52,8054.71,2558.63,1119.68,523.15,1373.15,1.16,1599.16,626.3,1299.39,1988.99,663.28,139.95,25.87,151.89,50.21,1097.79,249.91,133.23,7849.77,11414.96,1494.87,402.93,897.73,4935.42,22681.75,8982.86,1779.7,5232.64,5678.62,13038.9,7856.31,4852.15,5243.87,643.25,647.17,93.2,448.69,60975.91,1541.42,3445.47
2012,191349.97,18997.19919,7499.8602,2171.61266,932.57637,415.39903,1208.54141,1.31226,1429.11641,543.56186,1330.81553,1742.15417,628.07351,131.43289,28.84094,138.29698,46.20053,1130.08655,236.43965,121.19134,7273.92425,10000.04217,1374.44884,380.75796,826.40436,4311.78738,20483.08417,7919.1915,1671.57724,4685.63598,5102.45378,10651.0833,7365.66662,4319.37905,4885.71068,616.46865,455.95339,75.61036,429.29264,55412.39365,1498.56619,2877.82408
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
