年份,国有控股工业企业流动资产合计,煤炭开采和洗选业国有控股工业企业流动资产合计,石油和天然气开采业国有控股工业企业流动资产合计,黑色金属矿采选业国有控股工业企业流动资产合计,有色金属矿采选业国有控股工业企业流动资产合计,非金属矿采选业国有控股工业企业流动资产合计,开采辅助活动国有控股工业企业流动资产合计,其他采矿业国有控股工业企业流动资产合计,农副食品加工业国有控股工业企业流动资产合计,食品制造业国有控股工业企业流动资产合计,酒、饮料和精制茶制造业国有控股工业企业流动资产合计,烟草制品业国有控股工业企业流动资产合计,纺织业国有控股工业企业流动资产合计,纺织服装、服饰业国有控股工业企业流动资产合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业流动资产合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业流动资产合计,家具制造业国有控股工业企业流动资产合计,造纸和纸制品业国有控股工业企业流动资产合计,印刷和记录媒介复制业国有控股工业企业流动资产合计,文教、工美、体育和娱乐用品制造业国有控股工业企业流动资产合计,石油加工、炼焦和核燃料加工业国有控股工业企业流动资产合计,化学原料和化学制品制造业国有控股工业企业流动资产合计,医药制造业国有控股工业企业流动资产合计,化学纤维制造业国有控股工业企业流动资产合计,橡胶和塑料制品业国有控股工业企业流动资产合计,非金属矿物制品业国有控股工业企业流动资产合计,黑色金属冶炼和压延加工业国有控股工业企业流动资产合计,有色金属冶炼和压延加工业国有控股工业企业流动资产合计,金属制品业国有控股工业企业流动资产合计,通用设备制造业国有控股工业企业流动资产合计,专用设备制造业国有控股工业企业流动资产合计,汽车制造业国有控股工业企业流动资产合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业流动资产合计,电气机械和器材制造业国有控股工业企业流动资产合计,计算机、通信和其他电子设备制造业国有控股工业企业流动资产合计,仪器仪表制造业国有控股工业企业流动资产合计,其他制造业国有控股工业企业流动资产合计,废弃资源综合利用业国有控股工业企业流动资产合计,金属制品、机械和设备修理业国有控股工业企业流动资产合计,电力、热力生产和供应业国有控股工业企业流动资产合计,燃气生产和供应业国有控股工业企业流动资产合计,水的生产和供应业国有控股工业企业流动资产合计
2019,165149.67,13809.43,2599.08,1379.63,870.79,665.71,1294.31,,1197.74,679.05,4671,7217.98,504.26,224.66,69.04,164.76,116.47,491.16,497.33,214.99,6298.35,6822.09,2740.16,565.94,854.58,4577.82,10746.75,7243.68,2752.2,6134.13,5607.41,20711.98,9950.64,5223.55,9905.21,1206.77,627.7,181.03,734.67,19063.75,1935.33,4595.97
2018,166575.96,14734.3,2817.8,1456.1,905.6,456.1,1121.7,,1146.0,619.0,4245.5,7690.0,611.4,227.5,60.6,145.7,111.4,747.7,467.3,192.2,6125.9,7111.4,2625.6,551.4,815.3,4006.1,11697.2,6846.6,1790.8,5710.1,6521.7,21563.1,5018.5,6678.8,9229.5,858.3,75.7,108.6,648.4,17087.6,1777.2,3636.4
2017,160206.5,13903.54,2562.28,1212.18,876.09,441.74,1147.64,,1175.4,630.57,3631.85,7427.25,622.07,218.84,60.6,135.35,127.79,812.29,444.36,188.73,5640.72,7137.68,2369.02,490.05,843.62,4129.21,11917.03,7111.48,2331.38,5861.79,6438.95,21550.85,9279.77,6869.88,8914.69,1082.4,699.35,127.63,625.36,16455.79,1585.51,3125.35
2016,147311.79,13372.33,2790.12,1574.65,799.97,501.17,1213.1,,1579.08,538.1,2853.72,7110.27,629.93,183.02,44.39,131.86,82.44,856.9,416.23,232.53,4801.0,6473.88,2295.61,362.88,668.26,3922.01,11382.62,6120.56,1710.75,6057.69,5953.88,18447.69,8440.69,6348.62,7805.64,965.53,560.58,90.11,996.19,14975.03,1203.52,2818.68
2015,138438.19,13484.09,2504.28,1599.89,828.85,494.72,1197.07,0.54,1490.31,533.63,2450.59,6671.11,536.39,181.42,43.42,132.73,75.09,1045.7,406.79,189.96,3952.85,6051.62,1976.69,296.8,695.03,3557.0,11198.65,6413.89,1933.49,5976.1,6432.16,15216.21,8255.13,5596.36,7080.96,917.95,564.27,74.38,519.1,14035.86,1148.89,2678.22
2014,131827.32,12349.95,2457.92,1502.22,697.77,461.82,1152.1,0.35,1665.43,601.72,2249.19,5755.75,559.95,190.31,34.06,114.35,58.52,730.81,377.84,194.48,4505.5,5857.99,1848.05,267.18,798.93,3687.74,11916.63,6407.0,1831.88,5843.78,6016.02,14075.6,7446.54,5425.68,6127.6,865.88,512.99,76.31,346.49,13551.66,1069.25,2194.08
2013,124529.35,11243.43,2492.8,1421.93,650.85,403.68,1264.84,0.39,1527.89,583.49,2130.47,5554.79,524.47,175.3,36.93,99.77,52.72,684.76,349.46,168.16,4890.99,5525.52,1696.39,277.22,790.3,3102.74,11891.13,6111.01,1684.87,5561.86,6110.66,12828.47,7210.12,5109.21,5312.2,792.07,507.79,73.32,409.68,12556.17,897.69,1823.8
2012,115385.64,11500.65569,2821.03404,1288.69142,650.07055,328.36796,1188.02084,0.49828,1349.79146,439.41469,1942.68311,4881.47214,491.93677,142.46701,45.07048,95.67199,55.48649,715.54173,308.366,153.15762,5150.63211,5334.68624,1599.02744,257.39293,721.89795,2845.70573,11056.3706,5635.06897,1577.783,5031.93561,5594.69851,10724.72275,6640.25965,4384.17889,4914.52542,769.98703,352.89641,60.96474,372.32327,11694.34007,820.89776,1446.94296
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
