年份,国有控股工业企业固定资产原价合计,煤炭开采和洗选业国有控股工业企业固定资产原价合计,石油和天然气开采业国有控股工业企业固定资产原价合计,黑色金属矿采选业国有控股工业企业固定资产原价合计,有色金属矿采选业国有控股工业企业固定资产原价合计,非金属矿采选业国有控股工业企业固定资产原价合计,开采辅助活动国有控股工业企业固定资产原价合计,其他采矿业国有控股工业企业固定资产原价合计,农副食品加工业国有控股工业企业固定资产原价合计,食品制造业国有控股工业企业固定资产原价合计,酒、饮料和精制茶制造业国有控股工业企业固定资产原价合计,烟草制品业国有控股工业企业固定资产原价合计,纺织业国有控股工业企业固定资产原价合计,纺织服装、服饰业国有控股工业企业固定资产原价合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业固定资产原价合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业固定资产原价合计,家具制造业国有控股工业企业固定资产原价合计,造纸和纸制品业国有控股工业企业固定资产原价合计,印刷和记录媒介复制业国有控股工业企业固定资产原价合计,文教、工美、体育和娱乐用品制造业国有控股工业企业固定资产原价合计,石油加工、炼焦和核燃料加工业国有控股工业企业固定资产原价合计,化学原料和化学制品制造业国有控股工业企业固定资产原价合计,医药制造业国有控股工业企业固定资产原价合计,化学纤维制造业国有控股工业企业固定资产原价合计,橡胶和塑料制品业国有控股工业企业固定资产原价合计,非金属矿物制品业国有控股工业企业固定资产原价合计,黑色金属冶炼和压延加工业国有控股工业企业固定资产原价合计,有色金属冶炼和压延加工业国有控股工业企业固定资产原价合计,金属制品业国有控股工业企业固定资产原价合计,通用设备制造业国有控股工业企业固定资产原价合计,专用设备制造业国有控股工业企业固定资产原价合计,汽车制造业国有控股工业企业固定资产原价合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业固定资产原价合计,电气机械和器材制造业国有控股工业企业固定资产原价合计,计算机、通信和其他电子设备制造业国有控股工业企业固定资产原价合计,仪器仪表制造业国有控股工业企业固定资产原价合计,其他制造业国有控股工业企业固定资产原价合计,废弃资源综合利用业国有控股工业企业固定资产原价合计,金属制品、机械和设备修理业国有控股工业企业固定资产原价合计,电力、热力生产和供应业国有控股工业企业固定资产原价合计,燃气生产和供应业国有控股工业企业固定资产原价合计,水的生产和供应业国有控股工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,309410.36,21695.58,30953.43,2047.26,1747.82,376.1,1680.33,,877.87,654.07,1615.49,2874.58,531.84,132.99,26.83,163.2,39.14,892.11,601.46,44.49,12502.37,17108.05,1622.31,917.87,777.38,5743.73,23160.13,8463.52,1461.21,2324.56,2728.39,11620.16,4212.23,1838.05,4902.37,357.38,444.41,107.36,465.39,131694.05,3165.05,6838.23
2016,293838.46,20971.85,29156.04,1774.69,1575.71,471.07,1875.0,,1039.79,704.39,1342.66,2737.93,558.64,116.01,26.0,128.13,21.85,918.48,574.52,65.79,11960.49,16191.95,1614.85,801.71,753.95,5875.82,23501.81,7976.78,1135.19,2527.89,2668.06,10887.07,3918.88,1857.47,4583.75,367.98,454.57,90.63,563.85,123116.98,2627.12,6301.61
2015,272563.1,20271.39,26311.11,1726.23,1381.9,448.84,1589.98,1.38,1041.94,668.17,1266.1,2612.1,571.54,108.68,21.8,167.56,22.14,996.79,582.07,57.13,11370.34,14882.61,1440.61,613.23,700.11,5438.69,22843.2,7723.57,1240.1,2491.52,2783.46,9657.89,3671.75,1958.39,4198.48,350.33,438.16,58.09,315.61,112641.48,2243.62,5655.02
2014,255218.27,19455.87,26908.84,1628.54,1192.79,450.35,1865.22,1.12,989.87,538.96,1170.57,2470.49,584.32,93.91,21.36,167.36,17.33,1069.88,551.79,53.06,11244.98,13763.89,1314.58,509.72,754.88,5208.24,22122.36,7296.94,1195.81,2415.87,2409.59,8488.27,3556.87,1804.77,3725.22,332.98,396.57,40.27,278.09,102193.3,2000.15,4933.28
2013,226435.38,17930.14,20941.68,1449.24,936.95,395.75,1509.96,0.93,919.85,492.73,1093.02,2271.16,610.49,89.06,17.47,162.15,17.87,1006.2,533.08,50.94,10006.79,12546.62,1179.33,488.6,695.22,4780.45,20918.9,6583.53,1079.82,2187.22,2477.75,7375.88,3544.54,1841.09,3085.23,339.74,381.07,41.66,285.86,90169.75,1523.78,4473.89
2012,204603.11868,15665.41705,19381.07312,1238.98044,798.08764,336.07605,1260.67422,0.77646,765.95787,462.98676,1021.67424,2099.34339,677.987,69.85802,20.22204,132.02321,24.93165,1055.18199,496.24021,46.06574,9333.77888,10790.83462,1104.13601,454.16884,625.2448,4542.63663,19267.04084,5905.22467,1021.62761,2038.32897,2235.29204,6337.64578,3549.60721,1580.15717,2839.14911,318.02818,312.13589,32.83151,260.71978,80998.95982,1486.49038,4015.52284
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
