年份,国有控股工业企业流动负债合计,煤炭开采和洗选业国有控股工业企业流动负债合计,石油和天然气开采业国有控股工业企业流动负债合计,黑色金属矿采选业国有控股工业企业流动负债合计,有色金属矿采选业国有控股工业企业流动负债合计,非金属矿采选业国有控股工业企业流动负债合计,开采辅助活动国有控股工业企业流动负债合计,其他采矿业国有控股工业企业流动负债合计,农副食品加工业国有控股工业企业流动负债合计,食品制造业国有控股工业企业流动负债合计,酒、饮料和精制茶制造业国有控股工业企业流动负债合计,烟草制品业国有控股工业企业流动负债合计,纺织业国有控股工业企业流动负债合计,纺织服装、服饰业国有控股工业企业流动负债合计,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业流动负债合计,木材加工和木、竹、藤、棕、草制品业国有控股工业企业流动负债合计,家具制造业国有控股工业企业流动负债合计,造纸和纸制品业国有控股工业企业流动负债合计,印刷和记录媒介复制业国有控股工业企业流动负债合计,文教、工美、体育和娱乐用品制造业国有控股工业企业流动负债合计,石油加工、炼焦和核燃料加工业国有控股工业企业流动负债合计,化学原料和化学制品制造业国有控股工业企业流动负债合计,医药制造业国有控股工业企业流动负债合计,化学纤维制造业国有控股工业企业流动负债合计,橡胶和塑料制品业国有控股工业企业流动负债合计,非金属矿物制品业国有控股工业企业流动负债合计,黑色金属冶炼和压延加工业国有控股工业企业流动负债合计,有色金属冶炼和压延加工业国有控股工业企业流动负债合计,金属制品业国有控股工业企业流动负债合计,通用设备制造业国有控股工业企业流动负债合计,专用设备制造业国有控股工业企业流动负债合计,汽车制造业国有控股工业企业流动负债合计,铁路、船舶、航空航天和其他运输设备国有控股工业企业流动负债合计,电气机械和器材制造业国有控股工业企业流动负债合计,计算机、通信和其他电子设备制造业国有控股工业企业流动负债合计,仪器仪表制造业国有控股工业企业流动负债合计,其他制造业国有控股工业企业流动负债合计,废弃资源综合利用业国有控股工业企业流动负债合计,金属制品、机械和设备修理业国有控股工业企业流动负债合计,电力、热力生产和供应业国有控股工业企业流动负债合计,燃气生产和供应业国有控股工业企业流动负债合计,水的生产和供应业国有控股工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,181380.57,17971.61,3888.3,2286.5,1255.82,345.35,1035.26,,1193.12,578.35,1619.13,2410.69,548.03,110.38,22.77,150.25,129.45,833.88,213.25,140.61,6414.7,9926.84,1426.25,537.0,793.55,4660.31,18970.06,8345.03,2095.77,4731.84,5221.14,19066.34,7697.64,5975.36,6270.99,736.21,574.24,156.27,522.88,37754.62,2001.93,2767.82
2016,172671.7,18492.55,4031.84,2128.58,1045.19,362.64,1165.71,,1459.9,513.85,1407.27,2525.51,555.13,98.41,20.35,139.44,86.15,837.7,213.82,169.02,6231.22,9661.28,1441.57,428.22,623.46,4644.02,19694.06,7298.51,1555.1,4992.49,4739.94,16393.6,7313.69,5471.89,5400.54,657.48,459.13,124.52,829.61,35307.81,1612.0,2537.32
2015,161083.94,17020.87,4259.04,2010.08,1168.16,384.68,1195.1,1.24,1477.49,463.35,1190.91,2258.34,520.33,97.45,24.31,135.7,75.1,1029.14,216.44,130.78,5946.86,9215.5,1305.74,313.31,620.84,4238.23,19855.19,7560.06,1719.82,4749.45,4819.18,13586.05,7301.25,4930.41,5006.22,626.65,477.77,88.54,426.55,31092.56,1337.29,2207.96
2014,151557.21,15176.03,4006.47,1682.57,991.77,378.12,1201.34,1.14,1553.77,605.83,1079.81,1765.2,513.0,117.81,18.1,109.99,55.89,779.57,214.26,139.16,6568.99,8907.83,1274.8,312.07,710.58,4290.19,19126.12,6943.7,1624.88,4613.98,4511.89,12303.48,6595.69,4525.93,4404.54,613.5,426.53,80.62,322.5,29727.12,1275.4,2007.05
2013,140376.51,13652.79,4104.32,1462.22,852.64,375.09,1320.65,1.16,1453.51,553.71,1143.77,1953.16,523.88,119.93,18.64,103.82,48.09,753.85,220.84,118.96,6328.88,7811.88,1167.09,324.12,680.49,3572.14,18403.39,6426.08,1500.94,4424.6,4582.53,10946.42,6450.35,4190.44,3904.29,563.51,438.6,72.59,377.15,26635.91,1058.34,1735.72
2012,126177.99788,12007.925,3910.84319,1163.70397,739.59973,267.9665,1107.5874,1.31226,1281.97373,494.6155,1186.47973,1701.89396,508.45904,111.33794,18.79873,100.24222,43.37787,767.94647,208.5678,109.04923,5869.31091,6873.53993,1038.94123,320.53082,636.98702,3224.15456,16341.43119,5597.1094,1342.94045,4021.75699,4196.87406,8849.73111,5997.70706,3652.46929,3635.48261,523.65934,320.11331,56.01474,355.31376,25189.85367,971.34558,1431.05058
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
