年份,住宿业企业主营业务利润,内资住宿业企业主营业务利润,国有住宿业企业主营业务利润,集体住宿业企业主营业务利润,股份合作住宿业企业主营业务利润,联营住宿业企业主营业务利润,国有联营住宿业企业主营业务利润,集体联营住宿业企业主营业务利润,国有与集体联营住宿业企业主营业务利润,其他联营住宿业企业主营业务利润,有限责任公司住宿业企业主营业务利润,国有独资公司住宿业企业主营业务利润,其他有限责任公司住宿业企业主营业务利润,股份有限公司住宿业企业主营业务利润,私营住宿业企业主营业务利润,私营独资住宿业企业主营业务利润,私营合伙住宿业企业主营业务利润,私营有限责任公司住宿业企业主营业务利润,私营股份有限公司住宿业企业主营业务利润,其他住宿业企业主营业务利润,港、澳、台商投资住宿业企业主营业务利润,港、澳、台商合资经营住宿业企业主营业务利润,港、澳、台商合作经营住宿业企业主营业务利润,港、澳、台商独资经营住宿业企业主营业务利润,港、澳、台商投资股份有限公司住宿业企业主营业务利润,其他港澳台商投资住宿业企业主营业务利润,外商投资住宿业企业主营业务利润,中外合资经营住宿业企业主营业务利润,中外合作经营住宿业企业主营业务利润,外资住宿业企业主营业务利润,外商投资股份有限公司住宿业企业主营业务利润,其他外商投资住宿业企业主营业务利润,旅游饭店主营业务利润,一般旅馆主营业务利润,民宿服务主营业务利润,露营地服务主营业务利润,其他住宿业主营业务利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2329.5,1985.1,190.4,21.8,4.3,2.9,2.0,0.2,,,935.2,94.6,840.5,76.3,753.2,28.4,8.1,698.6,18.1,1.0,225.5,93.1,24.2,102.1,5.1,1.0,118.9,59.7,13.6,38.9,2.9,3.9,1843.9,439.7,4.0,0.1,41.7
2017,2161.0488,1827.0804,209.189,22.993,4.294,2.452,1.42,0.266,0.506,0.259,896.831,84.283,812.549,61.345,623.6124,29.213,8.85,560.905,24.6453,6.3641,216.143,93.43,20.693,94.386,6.03,1.604,117.823,57.095,15.458,38.534,2.349,4.387,1725.467,391.004,,,44.577
2016,2108.5668,1761.4555,229.4745,25.094,5.3038,2.8659,1.8177,0.2896,0.5778,0.1804,873.7607,79.8084,793.9516,63.5369,552.1896,33.4431,9.6366,483.4912,25.6181,9.229,221.2321,100.3576,25.2154,87.528,6.2322,1.8987,125.8788,62.2312,16.3251,40.3504,3.7393,3.2324,1716.9032,348.4975,,,43.1667
2015,2006.6057,1662.8312,230.7692,26.4368,5.6382,3.2659,2.1213,0.2818,0.5509,0.312,804.5141,65.2326,739.2821,58.2229,521.5778,37.1989,9.5671,449.6187,25.1914,12.4058,212.5349,100.1869,24.4818,80.7778,5.0675,2.0204,131.2393,68.1984,13.5468,42.4176,3.9333,3.1433,1647.9513,316.1445,,,42.5107
2014,1952.2,1611.8,232.54282,28.58527,5.53201,3.39823,1.99541,0.40641,0.71442,0.28199,758.3,63.09196,695.2,61.30001,508.47448,40.56684,9.60083,432.40817,25.89864,13.60084,210.4334,98.66689,30.33753,75.27413,5.88567,0.26918,130.0579,68.19929,13.85946,41.76004,3.84693,2.39218,1613.27045,302.45787,,,36.4
2013,1927.15243,1574.86496,250.18988,30.19457,6.22397,3.85655,1.87807,0.84157,0.86591,0.271,714.82674,56.53346,658.29328,64.25527,489.72888,42.21326,10.39601,410.99232,26.12729,15.5891,211.12675,104.15969,25.66165,74.84362,5.56025,0.90154,141.16072,75.29359,15.00272,47.61494,2.5904,0.65907,1605.08842,283.10956,,,38.95445
2012,2040.32566,1674.40685,364.67074,41.17766,12.75371,7.30688,3.52018,1.12109,1.21237,1.45324,638.91241,26.3832,612.52921,66.21859,483.0361,69.59112,16.31111,372.02282,25.11105,60.33076,216.6877,112.4785,28.24232,69.47555,6.26597,0.22536,149.23111,81.36294,19.99067,44.60715,2.53457,0.73578,1735.50531,269.56754,,,35.25281
2011,1911.525,1535.0063,351.0647,38.0269,12.644,7.6301,3.5285,1.1205,1.5189,1.4622,571.8678,23.9958,547.872,63.3863,439.3293,64.1201,14.9967,332.4829,27.7297,51.0571,219.8531,119.93,29.5534,64.585,5.2989,0.4858,156.6656,78.9544,23.2749,49.3749,4.4022,0.6592,1644.2065,235.9922,,,31.3262
2010,1603.1,1268.0,319.1,37.9,10.2,7.6,3.5,1.0,2.0,1.1,429.2,19.8,409.4,51.7,393.1,64.9,13.8,293.2,21.2,19.1,192.3,105.1,28.1,55.6,3.6,,142.8,74.1,19.3,46.7,2.8,,1371.9,205.1,,,26.2
2009,1313.89347,1027.82433,287.96292,33.16547,9.38997,6.87954,3.68761,0.5888,1.95816,0.64497,330.73219,17.25301,313.47918,43.26734,300.76095,49.14153,12.7564,222.40242,16.4606,15.66595,163.33269,91.9118,25.95883,41.70571,3.75635,,122.73645,66.81145,16.43886,35.94242,3.54372,,1142.02118,151.75374,,,20.11855
2008,1355.9104,1034.2106,302.7843,36.6781,13.1799,7.7218,4.1404,0.3732,1.6976,1.5106,320.9413,19.7427,301.1986,47.9446,293.8662,50.8102,13.3985,214.0681,15.5894,11.0944,179.0303,109.7601,28.4084,37.8167,3.0451,,142.6695,81.2331,23.0899,35.0344,3.3121,,1194.6124,142.9947,,,18.3032
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,650.1333,450.72805,173.21359,25.00928,7.3637,11.49003,6.79497,0.55361,3.44776,0.69369,122.16775,13.96384,108.20391,28.92384,80.44087,12.93358,2.52769,59.30614,5.67346,2.11899,115.3076,76.75402,29.76469,8.0484,0.74049,0.0,84.09765,47.27354,20.86694,15.15783,0.79934,0.0,621.83431,24.91279,,,3.3862
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
