年份,住宿业企业主营业务成本,内资住宿业企业主营业务成本,国有住宿业企业主营业务成本,集体住宿业企业主营业务成本,股份合作住宿业企业主营业务成本,联营住宿业企业主营业务成本,国有联营住宿业企业主营业务成本,集体联营住宿业企业主营业务成本,国有与集体联营住宿业企业主营业务成本,其他联营住宿业企业主营业务成本,有限责任公司住宿业企业主营业务成本,国有独资公司住宿业企业主营业务成本,其他有限责任公司住宿业企业主营业务成本,股份有限公司住宿业企业主营业务成本,私营住宿业企业主营业务成本,私营独资住宿业企业主营业务成本,私营合伙住宿业企业主营业务成本,私营有限责任公司住宿业企业主营业务成本,私营股份有限公司住宿业企业主营业务成本,其他住宿业企业主营业务成本,港、澳、台商投资住宿业企业主营业务成本,港、澳、台商合资经营住宿业企业主营业务成本,港、澳、台商合作经营住宿业企业主营业务成本,港、澳、台商独资经营住宿业企业主营业务成本,港、澳、台商投资股份有限公司住宿业企业主营业务成本,其他港澳台商投资住宿业企业主营业务成本,外商投资住宿业企业主营业务成本,中外合资经营住宿业企业主营业务成本,中外合作经营住宿业企业主营业务成本,外资住宿业企业主营业务成本,外商投资股份有限公司住宿业企业主营业务成本,其他外商投资住宿业企业主营业务成本,旅游饭店主营业务成本,一般旅馆主营业务成本,民宿服务主营业务成本,露营地服务主营业务成本,其他住宿业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1476.1,1306.1,93.9,10.6,2.2,1.2,0.8,0.1,,,563.6,62.1,501.5,64.0,569.9,40.9,10.2,501.7,17.2,0.7,106.9,41.7,14.1,48.2,2.1,0.9,63.1,20.9,13.7,24.3,0.5,3.7,1104.8,336.7,2.7,0.2,31.7
2017,1501.5461,1325.0474,121.566,14.008,2.926,1.072,0.632,0.18,0.108,0.152,593.884,57.378,536.505,51.324,531.8229,49.854,13.101,441.75,27.1176,8.445,115.336,42.849,15.671,51.916,3.714,1.187,61.163,19.153,15.631,21.634,0.812,3.932,1112.735,349.199,,,39.577
2016,1483.3954,1306.9077,139.7577,18.5083,3.4146,1.254,0.6084,0.2824,0.1342,0.2291,570.6768,50.171,520.5059,54.5759,506.6486,59.7066,14.9176,403.4492,28.5761,12.0728,119.2497,43.7671,16.1444,53.1963,3.5231,2.6189,57.2388,19.4112,11.0558,22.3931,1.0443,3.3345,1112.2762,334.0154,,,37.104
2015,1405.5963,1236.7663,153.0263,19.4105,3.9444,2.1633,1.5515,0.2493,0.1145,0.248,517.8025,45.3928,472.41,54.9678,470.6427,59.8984,14.4255,368.0801,28.2394,14.8094,113.6148,41.9736,17.0729,48.6106,2.5494,3.4087,55.2155,23.1733,7.6907,19.9611,0.9544,3.4361,1074.7943,296.1164,,,34.685
2014,1344.0,1175.6,157.37575,21.52838,3.98574,1.79438,0.81313,0.39249,0.39493,0.19383,485.7,39.54313,446.2,53.70894,436.84558,58.5555,13.54504,339.03431,25.71073,14.68786,107.84671,41.11478,17.97637,44.19437,4.50213,0.05906,60.49912,22.91741,8.22544,26.06257,0.78209,2.51161,1030.8013,281.52294,,,31.56941
2013,1343.73033,1180.17772,184.13056,27.44646,4.63123,2.60862,1.06908,0.85842,0.36605,0.31507,458.75455,38.4493,420.30525,53.78332,431.72035,59.21699,14.26419,329.48531,28.75386,17.10263,93.42909,45.6318,9.71861,33.90475,3.86544,0.30849,70.12352,25.06165,14.0569,29.7942,0.85882,0.35195,1048.16646,262.11414,,,33.44973
2012,1226.60375,1072.38524,233.02576,36.28769,8.13033,4.53542,1.9539,0.94425,0.97153,0.66574,344.36478,13.34584,331.01894,46.18748,357.14314,76.08795,18.43611,235.62304,26.99604,42.71064,86.94428,44.35113,11.18165,27.8582,3.49499,0.05831,67.27423,25.35551,15.20544,25.27194,0.79659,0.64475,996.4181,206.27506,,,23.91059
2011,1178.8139,992.0422,220.2165,34.7323,8.2108,4.7311,2.0356,0.9942,0.9304,0.771,313.2811,11.6015,301.6796,52.9385,319.4736,68.5299,16.3611,213.566,21.0166,38.4583,123.7094,80.1853,12.7654,27.4975,3.1393,0.1219,63.0623,24.1815,10.001,27.5218,0.968,0.39,974.7523,182.141,,,21.9207
2010,1000.55023,829.1,196.3,31.2,9.2,4.7,1.8,1.1,1.1,0.6,240.8,10.0,230.8,42.5,289.4,68.8,16.6,186.4,17.6,15.0,107.4,72.0,10.6,22.8,1.9,,64.0,22.6,14.1,25.5,1.7,,834.2,149.0,,,17.3
2009,809.0968,662.63757,173.36178,24.6755,7.13997,3.20096,1.70062,0.27979,0.94421,0.27634,182.13703,8.02635,174.11068,33.64202,227.15465,51.24702,13.80191,150.65678,11.44894,11.32566,89.86298,61.82656,9.63514,16.74784,1.65344,,56.59625,21.27282,11.40577,22.6418,1.27586,,670.2266,114.55383,,,24.31637
2008,768.8288,619.2772,172.2383,26.2837,8.742,3.5503,1.7012,0.3586,0.7767,0.7138,163.0718,9.991,153.0808,32.4281,205.1066,48.595,13.7188,131.5707,11.2221,7.8564,83.1161,56.1383,10.601,15.0566,1.3202,,66.4355,27.298,12.8814,25.2114,1.0447,,650.2201,106.0031,,,12.6057
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,335.87961,261.42873,97.1119,17.06557,5.04641,3.77058,2.21076,0.56886,0.65218,0.33878,65.04575,4.95497,60.09078,14.30469,57.09077,11.84563,2.66046,38.77735,3.80733,1.99306,46.90955,33.43777,9.41468,3.88493,0.17217,0.0,27.54133,13.86721,7.0073,6.23694,0.42988,0.0,315.95677,17.76011,,,2.16273
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
