年份,住宿业企业主营业务税金及附加,内资住宿业企业主营业务税金及附加,国有住宿业企业主营业务税金及附加,集体住宿业企业主营业务税金及附加,股份合作住宿业企业主营业务税金及附加,联营住宿业企业主营业务税金及附加,国有联营住宿业企业主营业务税金及附加,集体联营住宿业企业主营业务税金及附加,国有与集体联营住宿业企业主营业务税金及附加,其他联营住宿业企业主营业务税金及附加,有限责任公司住宿业企业主营业务税金及附加,国有独资公司住宿业企业主营业务税金及附加,其他有限责任公司住宿业企业主营业务税金及附加,股份有限公司住宿业企业主营业务税金及附加,私营住宿业企业主营业务税金及附加,私营独资住宿业企业主营业务税金及附加,私营合伙住宿业企业主营业务税金及附加,私营有限责任公司住宿业企业主营业务税金及附加,私营股份有限公司住宿业企业主营业务税金及附加,其他住宿业企业主营业务税金及附加,港、澳、台商投资住宿业企业主营业务税金及附加,港、澳、台商合资经营住宿业企业主营业务税金及附加,港、澳、台商合作经营住宿业企业主营业务税金及附加,港、澳、台商独资经营住宿业企业主营业务税金及附加,港、澳、台商投资股份有限公司住宿业企业主营业务税金及附加,其他港澳台商投资住宿业企业主营业务税金及附加,外商投资住宿业企业主营业务税金及附加,中外合资经营住宿业企业主营业务税金及附加,中外合作经营住宿业企业主营业务税金及附加,外资住宿业企业主营业务税金及附加,外商投资股份有限公司住宿业企业主营业务税金及附加,其他外商投资住宿业企业主营业务税金及附加,旅游饭店主营业务税金及附加,一般旅馆主营业务税金及附加,民宿服务主营业务税金及附加,露营地服务主营业务税金及附加,其他住宿业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,72.8,60.0,5.1,0.5,0.1,0.1,,,,,27.3,3.9,23.5,10.0,16.8,1.2,0.3,14.5,0.7,0.1,9.2,4.2,1.0,3.9,0.1,,3.6,2.0,0.2,1.1,0.1,0.1,61.9,9.6,0.1,,1.3
2017,68.9399,56.788,6.298,0.613,0.136,,,,,,29.025,3.265,25.76,2.594,17.7945,2.038,0.528,14.233,0.996,0.2889,8.239,3.84,0.813,3.292,0.167,0.127,3.912,2.293,0.259,1.239,,0.073,55.468,11.716,,,1.756
2016,101.7345,86.1867,9.8168,1.2597,0.2363,0.104,0.0655,,,,39.4067,3.1629,36.2442,3.8007,30.939,3.185,0.8173,25.247,1.6899,0.6241,10.7718,4.4598,1.4131,4.4783,0.2621,0.1586,4.776,2.5016,0.4764,1.5718,0.0896,0.137,80.2066,19.2726,,,2.255
2015,190.0117,160.5011,21.402,2.4962,0.493,0.3281,0.229,0.0276,0.0394,0.032,75.8538,6.107,69.7464,6.0644,52.545,4.4316,1.1328,44.3607,2.6207,1.32,18.589,8.3194,2.3876,7.0499,0.4516,0.3807,10.9218,5.3521,1.3037,3.6556,0.2164,0.3943,154.0396,31.8889,,,4.0834
2014,190.0764,156.92951,22.25284,2.8975,0.49288,0.28473,0.16474,0.02727,0.06762,0.0251,72.27569,5.6517,66.62399,6.09624,51.1571,4.79932,1.12922,42.4329,2.79566,1.47253,21.63583,8.34293,3.00855,9.525,0.73761,0.02174,11.51102,5.64947,1.31852,4.02085,0.22273,0.29945,155.16912,31.16138,,,3.8
2013,187.16437,157.23956,24.68092,3.32363,0.62138,0.31985,0.1754,0.05752,0.05559,,68.16794,5.39865,62.76929,6.41413,51.93406,5.54757,1.3217,42.24283,2.82196,1.77765,17.68017,9.05136,1.97347,6.04156,0.54386,0.06992,12.24464,6.00003,1.69977,4.31014,0.17055,0.06415,153.03938,30.03808,,,4.08691
2012,182.83692,153.17963,32.36855,4.20351,1.16712,0.65065,0.33594,0.07681,0.11783,0.12007,57.02228,2.25022,54.77206,5.89093,46.17603,7.45349,1.72911,34.41716,2.57627,5.70056,17.45839,9.26313,2.25918,5.36792,0.55357,,12.1989,5.75929,2.03462,4.11598,0.20008,0.08893,154.14584,25.36464,,,3.32644
2011,175.1466,144.4979,31.4141,4.095,1.178,0.6848,0.3399,0.0799,0.1432,0.1218,52.2001,2.0707,50.1294,6.4585,43.5124,7.0315,1.789,32.1906,2.5013,4.955,17.7233,9.5397,2.3935,5.2614,0.4942,,12.9254,6.1064,1.9552,4.4588,0.3399,0.0651,149.4959,22.7207,,,2.9301
2010,150.0,124.3,28.9,4.0,1.1,0.7,0.4,0.1,0.2,0.1,41.2,1.7,39.5,5.4,41.0,7.7,1.7,29.2,2.3,1.9,14.6,7.8,2.2,4.3,0.3,,11.1,5.2,1.8,3.8,0.3,,127.4,20.1,,,2.5
2009,121.63251,99.64307,25.80081,3.38967,0.98896,0.67699,0.36216,0.05556,0.20809,0.05118,31.16721,1.45713,29.71008,4.36586,31.67272,5.87125,1.62038,22.46541,1.71568,1.58085,12.0031,6.68485,1.87863,3.13812,0.3015,,9.98634,4.77956,1.66075,3.34263,0.2034,,104.24846,15.38373,,,2.00032
2008,120.2026,96.2152,26.1884,3.6039,1.2315,0.7119,0.3609,,0.1417,0.1626,29.2227,1.7259,27.4969,4.4061,29.6643,5.6277,1.6216,20.929,1.486,1.1864,12.6128,7.4143,1.9879,2.971,0.2396,,11.3746,5.8082,1.916,3.4433,0.2071,,103.866,14.6035,,,1.733
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,61.84342,46.44432,16.88747,2.83564,0.83978,0.90873,0.53701,0.06179,0.23099,0.07894,12.27149,1.09778,11.17371,2.67115,9.7498,1.70943,0.32315,7.08023,0.63699,0.28026,8.85047,5.82929,2.29236,0.68467,0.04415,0.0,6.54863,3.63962,1.55616,1.28149,0.07136,0.0,58.73913,2.7423,,,0.36199
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
