年份,住宿业企业主营业务收入,内资住宿业企业主营业务收入,国有住宿业企业主营业务收入,集体住宿业企业主营业务收入,股份合作住宿业企业主营业务收入,联营住宿业企业主营业务收入,国有联营住宿业企业主营业务收入,集体联营住宿业企业主营业务收入,国有与集体联营住宿业企业主营业务收入,其他联营住宿业企业主营业务收入,有限责任公司住宿业企业主营业务收入,国有独资公司住宿业企业主营业务收入,其他有限责任公司住宿业企业主营业务收入,股份有限公司住宿业企业主营业务收入,私营住宿业企业主营业务收入,私营独资住宿业企业主营业务收入,私营合伙住宿业企业主营业务收入,私营有限责任公司住宿业企业主营业务收入,私营股份有限公司住宿业企业主营业务收入,其他住宿业企业主营业务收入,港、澳、台商投资住宿业企业主营业务收入,港、澳、台商合资经营住宿业企业主营业务收入,港、澳、台商合作经营住宿业企业主营业务收入,港、澳、台商独资经营住宿业企业主营业务收入,港、澳、台商投资股份有限公司住宿业企业主营业务收入,其他港澳台商投资住宿业企业主营业务收入,外商投资住宿业企业主营业务收入,中外合资经营住宿业企业主营业务收入,中外合作经营住宿业企业主营业务收入,外资住宿业企业主营业务收入,外商投资股份有限公司住宿业企业主营业务收入,其他外商投资住宿业企业主营业务收入,旅游饭店主营业务收入,一般旅馆主营业务收入,民宿服务主营业务收入,露营地服务主营业务收入,其他住宿业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,3878.4,3351.2,289.4,32.9,6.6,4.2,2.8,0.3,,,1526.1,160.6,1365.5,150.3,1339.9,70.5,18.6,1214.8,36.0,1.8,341.6,139.0,39.3,154.2,7.3,1.9,185.6,82.6,27.5,64.3,3.5,7.7,3010.6,786.0,6.8,0.3,74.7
2017,3731.5323,3208.9158,337.053,37.614,7.356,3.564,2.081,0.45,0.619,0.413,1519.74,144.926,1374.814,115.263,1173.2298,81.105,22.479,1016.888,52.7589,15.098,339.718,140.119,37.177,149.594,9.911,2.918,182.898,78.541,31.348,61.407,3.209,8.392,2893.67,751.919,,,85.91
2016,3693.6967,3154.5499,379.049,44.862,8.9547,4.2239,2.4916,0.583,0.7266,0.4225,1483.8442,133.1423,1350.7017,121.9135,1089.7772,96.3347,25.3715,912.1874,55.8841,21.9259,351.2536,148.5845,42.7729,145.2026,10.0174,4.6762,187.8936,84.144,27.8573,64.3153,4.8732,6.7039,2909.386,701.7855,,,82.5257
2015,3602.2137,3060.0986,405.1975,48.3435,10.0756,5.7573,3.9018,0.5587,0.7048,0.592,1398.1704,116.7324,1281.4385,119.2551,1044.7655,101.5289,25.1254,862.0595,56.0515,28.5352,344.7387,150.4799,43.9423,136.4383,8.0685,5.8098,197.3766,96.7238,22.5412,66.0343,5.1041,6.9737,2876.7852,644.1498,,,81.2791
2014,3486.3,2944.3,412.17141,53.01115,10.01063,5.47734,2.97328,0.82617,1.17697,0.50092,1316.3,108.28679,1208.0,121.10519,996.47716,103.92166,24.27509,813.87538,54.40503,29.76123,339.91594,148.1246,51.32245,128.9935,11.12541,0.34998,202.06804,96.76617,23.40342,71.84346,4.85175,5.20324,2799.3,615.14219,,,71.8
2013,3458.04713,2912.28224,459.00136,60.96466,11.47658,6.78502,3.12255,1.75751,1.28755,0.61741,1241.74923,100.38141,1141.36782,124.45272,973.38329,106.97782,25.9819,782.72046,57.70311,34.46938,322.23601,158.84285,37.35373,114.78993,9.96955,1.27995,223.52888,106.35527,30.75939,81.71928,3.61977,1.07517,2806.29426,575.26178,,,76.49109
2012,3449.76633,2899.97172,630.06505,81.66886,22.05116,12.49295,5.81002,2.14215,2.30173,2.23905,1040.29947,41.97926,998.32021,118.297,886.35527,153.13256,36.47633,642.06302,54.68336,108.74196,321.09037,166.09276,41.68315,102.70167,10.31453,0.29826,228.70424,112.47774,37.23073,73.99507,3.53124,1.46946,2886.06925,501.20724,,,62.48984
2011,3265.4855,2671.5464,602.6953,76.8542,22.0328,13.046,5.904,2.1946,2.5925,2.355,937.349,37.668,899.681,122.7833,802.3153,139.6815,33.1468,578.2395,51.2476,94.4704,361.2858,209.655,44.7123,97.3439,8.9324,0.6422,232.6533,109.2423,35.2311,81.3555,5.7101,1.1143,2768.4547,440.8539,,,56.177
2010,2813.96526,2272.4,555.3,74.6,21.8,13.4,5.8,2.3,3.4,1.9,729.2,31.5,697.6,103.9,737.3,143.2,33.0,518.9,42.2,37.0,320.4,188.0,42.0,85.1,5.3,,221.1,103.8,36.2,76.4,4.8,,2386.9,379.9,,,47.2
2009,2281.64547,1822.41092,496.12421,63.01317,18.00593,10.80969,5.72832,0.96045,3.13728,0.98364,557.03226,26.88097,530.15129,83.62982,564.59665,108.39754,28.61281,396.87709,30.70921,29.19919,267.14393,162.21269,37.53922,61.63499,5.75703,,192.09062,93.51786,30.10294,63.4268,5.04302,,1955.67554,288.30008,,,37.66985
