年份,人民法院审理婚姻家庭、继承一审案件收案数,人民法院审理婚姻家庭一审案件收案数,人民法院审理离婚一审案件收案数,人民法院审理赡养纠纷一审案件收案数,人民法院审理抚养、扶养关系纠纷一审案件收案数,人民法院审理抚育费纠纷一审案件收案数,人民法院审理其他婚姻家庭一审案件收案数,人民法院审理继承一审案件收案数,人民法院审理法定继承一审案件收案数,人民法院审理遗嘱继承一审案件收案数,人民法院审理其他继承一审案件收案数
2019,1836638,1691808,1378126,26184,,,148566,143580,67384,6872,69324
2018,1808787,1666172,1377073,25560,,,143454,141134,68242,6521,66371
2017,1802151,1681658,1409563,25394,5914.0,97707.0,137545,117937,58846,6006,53085
2016,1735516,1633376,1381673,25144,58944.0,34514.0,133101,102140,56450,5915,39775
2015,1758926,1662102,1408483,26277,56042.0,32442.0,138858,96824,54391,6450,35983
2014,1635244,1548493,1318744,24794,50539.0,27963.0,126453,86751,50705,6612,29434
2013,1651666,1526279,1304841,25128,48229.0,27394.0,120687,125387,45785,6203,73399
2012,1686694,1518535,1251234,23923,45980.0,25857.0,171541,168159,37044,5254,125861
2011,1593743,1471843,1206476,24840,48042.0,25494.0,166991,121900,33876,4834,83190
2010,1423180,1374136,1164521,26648,50499.0,24020.0,108448,49044,28439,4054,16551
2009,1379692,1341029,1142586,28885,49193.0,25626.0,94739,38663,22670,3340,12653
2008,1320364,1286437,1099997,29597,49092.0,27021.0,80730,33927,20020,2434,11473
2007,1220772,1195718,1029837,29321,45013.0,24446.0,67101,25054,12750,1719,10585
2006,1159826,1139174,984167,31593,40574.0,22839.0,60001,20652,10824,1371,8457
2005,1133333,1114879,956313,35857,37280.0,24556.0,60873,18454,9961,1182,7311
2004,1161370,,,,,,,,,,
2003,1264037,,,,,,,,,,
2002,1284415,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
