年份,人民法院审理婚姻家庭、继承一审案件结案数,人民法院审理婚姻家庭一审案件结案数,人民法院审理离婚一审案件结案数,人民法院审理赡养纠纷一审案件结案数,人民法院审理抚养、扶养关系纠纷一审案件结案数,人民法院审理抚育费纠纷一审案件结案数,人民法院审理其他婚姻家庭一审案件结案数,人民法院审理继承一审案件结案数,人民法院审理法定继承一审案件结案数,人民法院审理遗嘱继承一审案件结案数,人民法院审理其他继承一审案件结案数
2019,1850377,1704228,1389595,26394,,,149034,144826,67737,7042,70047
2018,1814441,1672841,1384426,25579,,,143230,140012,68191,6471,65350
2017,1830023,1708629,1432578,25942,6087.0,98773.0,139618,118716,59449,6119,53148
2016,1752052,1650444,1396834,25426,59356.0,34803.0,134025,101608,56118,6005,39485
2015,1733299,1639659,1390873,25921,55583.0,31678.0,135604,93640,52851,6157,34632
2014,1618904,1534452,1307242,24573,50076.0,27674.0,124887,84452,50185,6482,27785
2013,1611903,1500618,1283427,24434,47657.0,26829.0,118271,111285,44207,5879,61199
2012,1647464,1500815,1243877,23834,45828.0,25664.0,161612,146649,36835,5106,104708
2011,1609801,1477961,1202007,24710,47832.0,25295.0,178117,131840,33229,4703,93908
2010,1428340,1379463,1168810,26704,50547.0,24269.0,109133,48877,28285,4076,16516
2009,1380762,1342726,1143267,29031,49567.0,25668.0,95193,38036,22302,3289,12445
2008,1320636,1287253,1100871,29634,48916.0,27030.0,80802,33383,19534,2374,11475
2007,1215776,1191390,1026535,29226,44763.0,24149.0,66717,24386,12314,1651,10421
2006,1159437,1139108,983272,31682,40429.0,23014.0,60711,20329,10773,1349,8207
2005,1132458,1114469,955643,35894,37056.0,24509.0,61367,17989,9694,1193,7102
2004,1160346,,,,,,,,,,
2003,1266593,,,,,,,,,,
2002,1277516,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
