年份,人民法院审理婚姻家庭、继承一审案件结案中其他案件数,人民法院审理婚姻家庭一审案件结案中其他案件数,人民法院审理离婚一审案件结案中其他案件数,人民法院审理赡养纠纷一审案件结案中其他案件数,人民法院审理抚养、扶养关系纠纷一审案件结案中其他案件数,人民法院审理抚育费纠纷一审案件结案中其他案件数,人民法院审理其他婚姻家庭一审案件结案中其他案件数,人民法院审理继承一审案件结案中其他案件数,人民法院审理法定继承一审案件结案中其他案件数,人民法院审理遗嘱继承一审案件结案中其他案件数,人民法院审理其他继承一审案件结案中其他案件数
2019,13911,13095,9517,495,,,1864,804,260,55,489
2018,12234,11620,8833,453,,,1417,601,164,31,406
2017,17065,16276,12957,477,79.0,1024.0,1644,766,282,58,426
2016,18298,17456,13816,495,479.0,468.0,2198,842,316,52,474
2015,14802,13871,11059,463,413.0,344.0,1592,931,394,51,486
2014,12666,11809,9431,351,335.0,288.0,1404,857,384,55,418
2013,12083,11100,8752,347,292.0,263.0,1446,983,272,51,660
2012,11539,10226,7818,406,289.0,267.0,1446,1313,202,51,1060
2011,11161,9683,7040,344,306.0,288.0,1705,1478,229,48,1201
2010,10186,9627,7299,325,318.0,250.0,1435,559,273,50,236
2009,10029,9548,7503,347,343.0,269.0,1086,481,232,42,207
2008,9185,8750,7032,340,304.0,237.0,837,435,191,29,215
2007,8244,7923,6396,350,254.0,243.0,680,321,152,16,153
2006,7951,7636,6015,360,252.0,293.0,716,315,154,18,143
2005,8211,7959,6441,410,230.0,231.0,647,252,121,16,115
2004,10282,,,,,,,,,,
2003,11169,,,,,,,,,,
2002,11993,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
