年份,人民法院审理婚姻家庭、继承一审案件结案中撤诉件数,人民法院审理婚姻家庭一审案件结案中撤诉件数,人民法院审理离婚一审案件结案中撤诉件数,人民法院审理赡养纠纷一审案件结案中撤诉件数,人民法院审理抚养、扶养关系纠纷一审案件结案中撤诉件数,人民法院审理抚育费纠纷一审案件结案中撤诉件数,人民法院审理其他婚姻家庭一审案件结案中撤诉件数,人民法院审理继承一审案件结案中撤诉件数,人民法院审理法定继承一审案件结案中撤诉件数,人民法院审理遗嘱继承一审案件结案中撤诉件数,人民法院审理其他继承一审案件结案中撤诉件数
2019,438754,417917,345507,7680,,,35560,20607,8027,1374,11206
2018,432280,412575,345576,7744,,,34873,19407,8076,1187,10144
2017,433185,416540,353373,8134,1437.0,19658.0,32661,16101,7137,1049,7915
2016,420332,406621,348752,7896,11225.0,8289.0,30459,13711,6388,1001,6322
2015,413451,400899,344447,8042,10178.0,7504.0,30728,12552,5977,992,5583
2014,379034,366893,314967,7670,8826.0,6451.0,28979,12141,6149,1046,4946
2013,381538,360550,309066,7769,8501.0,6230.0,28984,20988,6012,1033,13943
2012,413132,373912,305692,7478,8760.0,6252.0,45730,39220,5792,981,32447
2011,407248,365791,289946,7693,8845.0,5783.0,53524,41457,5548,887,35022
2010,326353,316979,268793,8200,9346.0,5499.0,25141,9374,4998,754,3622
2009,306697,299330,253269,8861,9299.0,5623.0,22278,7367,3965,613,2789
2008,276511,270355,229124,8860,8930.0,5357.0,18084,6156,3126,423,2607
2007,236087,231179,196581,8526,7637.0,4660.0,13775,4908,2500,306,2102
2006,214788,210576,178754,9131,6373.0,4322.0,11996,4212,2238,244,1730
2005,208513,204742,172674,10135,5979.0,4397.0,11557,3771,2039,223,1509
2004,211599,,,,,,,,,,
2003,222118,,,,,,,,,,
2002,224530,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
