年份,人民法院审理婚姻家庭、继承一审案件结案中调解件数,人民法院审理婚姻家庭一审案件结案中调解件数,人民法院审理离婚一审案件结案中调解件数,人民法院审理赡养纠纷一审案件结案中调解件数,人民法院审理抚养、扶养关系纠纷一审案件结案中调解件数,人民法院审理抚育费纠纷一审案件结案中调解件数,人民法院审理其他婚姻家庭一审案件结案中调解件数,人民法院审理继承一审案件结案中调解件数,人民法院审理法定继承一审案件结案中调解件数,人民法院审理遗嘱继承一审案件结案中调解件数,人民法院审理其他继承一审案件结案中调解件数
2019,701338,610525,480926,7904,,,57588,90190,50110,2711,37369
2018,692657,601003,479184,7470,,,57757,90909,51392,2650,36867
2017,676606,601476,489559,7267,2374.0,44874.0,55345,73949,42483,2406,29060
2016,674866,611516,506812,7137,32715.0,12223.0,52629,63350,40249,2432,20669
2015,706628,648773,540919,7660,32245.0,11753.0,56196,57855,37443,2654,17758
2014,724776,672592,565857,8525,31242.0,11425.0,55543,52184,34839,3084,14261
2013,770437,713186,605491,9596,30280.0,12297.0,55522,57251,30478,2840,23933
2012,803919,739240,612304,10417,29014.0,12120.0,75385,64679,23794,2286,38599
2011,768238,715698,588035,10697,30246.0,12152.0,74568,52540,20253,2030,30257
2010,698900,673749,567374,11237,31082.0,11502.0,52554,25151,15935,1790,7426
2009,659065,641026,545700,11721,28965.0,11792.0,42848,18039,11635,1358,5046
2008,613379,598138,512222,11672,27744.0,12395.0,34105,15241,10116,854,4271
2007,560830,551734,477132,11359,25146.0,10959.0,27138,9096,4844,592,3660
2006,533819,526883,458688,12146,22871.0,10010.0,23168,6936,3875,437,2624
2005,512923,507193,440360,13542,20173.0,10659.0,22459,5730,3237,341,2152
2004,506602,,,,,,,,,,
2003,552005,,,,,,,,,,
2002,550466,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
