年份,人民法院审理婚姻家庭、继承一审案件结案中驳回件数,人民法院审理婚姻家庭一审案件结案中驳回件数,人民法院审理离婚一审案件结案中驳回件数,人民法院审理赡养纠纷一审案件结案中驳回件数,人民法院审理抚养、扶养关系纠纷一审案件结案中驳回件数,人民法院审理抚育费纠纷一审案件结案中驳回件数,人民法院审理其他婚姻家庭一审案件结案中驳回件数,人民法院审理继承一审案件结案中驳回件数,人民法院审理法定继承一审案件结案中驳回件数,人民法院审理遗嘱继承一审案件结案中驳回件数,人民法院审理其他继承一审案件结案中驳回件数
2019,21013,18255,13132,382,,,2815,2740,723,152,1865
2018,20199,17761,13359,325,,,2544,2405,612,121,1672
2017,28279,26192,21238,366,112.0,1669.0,2710,2043,563,112,1368
2016,15424,13962,11046,272,503.0,458.0,1683,1462,550,97,815
2015,10987,9797,7704,172,309.0,338.0,1274,1190,466,74,650
2014,7644,6903,5493,126,192.0,173.0,919,741,315,67,359
2013,6761,5388,4321,87,145.0,151.0,684,1373,252,47,1074
2012,6624,4926,3595,75,136.0,124.0,996,1698,239,45,1414
2011,7018,5671,3867,99,164.0,114.0,1427,1347,210,38,1099
2010,5716,5225,4028,104,217.0,116.0,760,491,218,43,230
2009,5510,5112,4016,93,229.0,146.0,628,398,210,20,168
2008,5484,5192,4156,73,226.0,148.0,589,292,156,22,114
2007,4436,4221,3387,84,155.0,120.0,475,215,101,17,97
2006,4395,4177,3385,96,151.0,93.0,452,218,115,10,93
2005,4570,4333,3438,109,173.0,120.0,493,237,118,12,107
2004,5391,,,,,,,,,,
2003,5291,,,,,,,,,,
2002,5498,,,,,,,,,,
2001,,,,,,,,,,,
2000,,,,,,,,,,,
