省份编码,省份,年份,录像制品出版种数(种),录像制品出版数量(万盒),新版录像制品出版种数(种),新版录像制品出版数量(万盒),录像制品发行数量(万盒),数码激光视盘出版出版种数(种),数码激光视盘出版数量(万盒),新版数码激光视盘出版种数(种),新版数码激光视盘出版数量(万盒),高密度激光视盘出版出版种数(种),高密度激光视盘出版数量(万盒),新版高密度激光视盘出版种数(种),新版高密度激光视盘出版数量(万盒),录像带及其他出版出版种数(种),录像带及其他出版数量(万盒),新版录像带及其他出版种数(种),新版录像带及其他出版数量(万盒)
110000,北京市,2019,108,15.72,,,,,,,,,,,,,,,
110000,北京市,2018,185,50.35,,,,,,,,,,,,,,,
110000,北京市,2017,128,28.186,,,,,,,,,,,,,,,
110000,北京市,2016,65,21.16,,,,,,,,,,,,,,,
110000,北京市,2015,53,25.2,,,,,,,,,,,,,,,
110000,北京市,2014,54,286.96,,,29.9,,,,,,,,,,,,
110000,北京市,2013,,,,,,,,,,,,,,,,,
110000,北京市,2012,,,,,,,,,,,,,,,,,
110000,北京市,2011,4044,7036.86,2457,4094.85,6749.96,1439,4009.26,442,1901.72,2530,2990.44,1940,2155.98,75,37.16,75,37.16
110000,北京市,2010,167,357.09,167,357.09,108.88,14,34.72,14,34.72,153,322.37,153,322.37,,,,
110000,北京市,2009,308,453.6,308,453.6,90.07,116,233.6,116,233.6,192,220.0,192,220.0,,,,
110000,北京市,2008,229,484.63,224,483.99,282.43,91,136.89,86,136.25,136,346.54,136,346.54,2,1.2,2,1.2
110000,北京市,2007,,,,,,149,252.05,,,113,139.59,,,,,,
110000,北京市,2006,,,,,,202,217.5,,,80,58.7,,,,,,
110000,北京市,2005,,,,,,145,527.37,,,23,21.04,,,,,,
110000,北京市,2004,,,,,,157,372.26,,,46,49.64,,,3,2.5,,
110000,北京市,2003,,,,,,176,1423.265,,,50,211.76,,,2,0.1,,
110000,北京市,2002,,,,,,361,1476.0,,,32,54.4,,,1,0.5,,
110000,北京市,2001,,,,,,221,1679.1386,,,13,83.3,,,2,0.92,,
110000,北京市,2000,,,,,,161,662.7505,,,4,3.5,,,6,0.212,,
120000,天津市,2019,5,1.5,,,,,,,,,,,,,,,
120000,天津市,2018,17,12.08,,,,,,,,,,,,,,,
120000,天津市,2017,12,5.9,,,,,,,,,,,,,,,
120000,天津市,2016,3,1.1,,,,,,,,,,,,,,,
120000,天津市,2015,5,1.9,,,,,,,,,,,,,,,
120000,天津市,2014,2,0.4,,,0.6,,,,,,,,,,,,
120000,天津市,2013,,,,,,,,,,,,,,,,,
120000,天津市,2012,,,,,,,,,,,,,,,,,
120000,天津市,2011,33,8.3,33,8.3,7.45,1,1.5,1,1.5,32,6.8,32,6.8,,,,
120000,天津市,2010,150,30.21,149,29.91,6.5,12,3.6,11,3.3,137,26.51,137,26.51,1,0.1,1,0.1
120000,天津市,2009,186,41.64,184,39.64,24.53,23,11.5,21,9.5,163,30.14,163,30.14,,,,
120000,天津市,2008,54,14.0,54,14.0,10.85,13,3.8,13,3.8,41,10.2,41,10.2,,,,
120000,天津市,2007,,,,,,13,20.3,,,101,23.7,,,,,,
120000,天津市,2006,,,,,,73,120.1,,,28,67.2,,,,,,
120000,天津市,2005,,,,,,59,158.37,,,47,145.0,,,,,,
120000,天津市,2004,,,,,,132,91.48,,,12,18.7,,,,,,
120000,天津市,2003,,,,,,50,52.3711,,,36,61.5,,,,,,
120000,天津市,2002,,,,,,184,284.8,,,6,24.0,,,,,,
120000,天津市,2001,,,,,,368,549.2,,,29,8.2,,,,,,
120000,天津市,2000,,,,,,144,113.2,,,47,4.335,,,18,1.5524,,
130000,河北省,2019,24,1.402,,,,,,,,,,,,,,,
130000,河北省,2018,11,4.17,,,,,,,,,,,,,,,
130000,河北省,2017,13,2.4044,,,,,,,,,,,,,,,
130000,河北省,2016,17,8.7,,,,,,,,,,,,,,,
130000,河北省,2015,18,11.215,,,,,,,,,,,,,,,
130000,河北省,2014,61,34.98,,,7.62,,,,,,,,,,,,
130000,河北省,2013,,,,,,,,,,,,,,,,,
130000,河北省,2012,,,,,,,,,,,,,,,,,
130000,河北省,2011,35,24.7,35,24.7,64.93,,,,,35,24.7,35,24.7,,,,
130000,河北省,2010,22,14.63,22,14.63,31.51,12,12.1,12,12.1,10,2.53,10,2.53,,,,
130000,河北省,2009,46,15.93,46,15.93,18.13,45,15.53,45,15.53,1,0.4,1,0.4,,,,
130000,河北省,2008,81,77.66,81,77.66,72.05,54,54.8,54,54.8,27,22.86,27,22.86,,,,
130000,河北省,2007,,,,,,135,338.25,,,34,111.15,,,,,,
130000,河北省,2006,,,,,,126,195.86,,,21,74.85,,,,,,
130000,河北省,2005,,,,,,269,359.24,,,7,30.5,,,,,,
130000,河北省,2004,,,,,,240,1066.65,,,3,14.5,,,,,,
130000,河北省,2003,,,,,,148,476.0,,,3,27.6,,,8,1.6,,
130000,河北省,2002,,,,,,154,178.3,,,,,,,,,,
130000,河北省,2001,,,,,,78,40.01,,,,,,,3,1.5,,
130000,河北省,2000,,,,,,145,59.2,,,,,,,,,,
140000,山西省,2019,45,7.88,,,,,,,,,,,,,,,
140000,山西省,2018,28,1.67,,,,,,,,,,,,,,,
140000,山西省,2017,68,5.152,,,,,,,,,,,,,,,
