省份编码,省份,年份,博物馆机构数(个),博物馆从业人员(人),博物馆文物藏品(件/套),本年博物馆从有关部门接收文物数(件/套),本年博物馆修复文物数(件/套),博物馆考古发掘项目(个),博物馆基本陈列(个),博物馆举办展览(个),博物馆参观人次(万人次)
650000,新疆维吾尔自治区,2017,90,1328,210930,,,,,,701.288
650000,新疆维吾尔自治区,2016,90,1162,192562,,,,,,686.32
650000,新疆维吾尔自治区,2015,86,1098,204454,,,,,,755.973
650000,新疆维吾尔自治区,2014,82,1144,188833,,,,,,652.336
650000,新疆维吾尔自治区,2013,76,1112,154764,933,2222,,138,118,636.0
650000,新疆维吾尔自治区,2012,72,852,123061,,879,,128,182,607.275
650000,新疆维吾尔自治区,2011,73,759,121588,134,2204,1,142,180,509.78
650000,新疆维吾尔自治区,2010,71,599,119370,82,160,,124,191,366.4
650000,新疆维吾尔自治区,2009,63,,,,,,,,
650000,新疆维吾尔自治区,2008,47,,,,,,,,
650000,新疆维吾尔自治区,2007,32,,,,,,,,
650000,新疆维吾尔自治区,2006,28,,,,,,,,
650000,新疆维吾尔自治区,2005,28,,,,,,,,
650000,新疆维吾尔自治区,2004,25,,,,,,,,
650000,新疆维吾尔自治区,2003,23,,,,,,,,
650000,新疆维吾尔自治区,2002,24,,,,,,,,
650000,新疆维吾尔自治区,2001,23,,,,,,,,
650000,新疆维吾尔自治区,2000,23,,,,,,,,
