省份编码,省份,年份,出版物发行机构数(处),国有书店及国有发行点数(处),供销社数(处),出版社数(处),网上书店数(处),文化教育广电邮政系统数(处),新华书店系统外批发网点数(处),集体个体零售数(处),新华书店系统出版社自办发行从业人数(人),国有书店及国有发行点从业人数(人)
460000,海南省,2014,723,27,,4,,373,41,278,1287,1229
460000,海南省,2013,724,28,,4,,373,41,278,985,930
460000,海南省,2012,723,28,,4,,371,45,275,24,957
460000,海南省,2011,696,28,,4,,362,42,260,974,950
460000,海南省,2010,594,38,,4,,367,18,167,946,922
460000,海南省,2009,,,,,,,,,,
460000,海南省,2008,,,,,,,,,,
460000,海南省,2007,,,,,,,,,,
460000,海南省,2006,,,,,,,,,,
460000,海南省,2005,,,,,,,,,,
460000,海南省,2004,,,,,,,,,,
460000,海南省,2003,,,,,,,,,,
460000,海南省,2002,,,,,,,,,,
460000,海南省,2001,,,,,,,,,,
460000,海南省,2000,,,,,,,,,,
500000,重庆市,2019,,,,,,,,,,
500000,重庆市,2018,4681,52,,8,,1643,88,2890,1683,1562
500000,重庆市,2017,4209,267,,3,,601,102,3236,2890,2890
500000,重庆市,2016,4436,267,,3,,607,109,3450,2978,2978
500000,重庆市,2015,4888,267,,3,,612,178,3828,3150,3150
500000,重庆市,2014,5036,267,,3,,852,208,3706,2554,2554
500000,重庆市,2013,5230,267,,3,,897,208,3855,2619,2569
500000,重庆市,2012,3486,267,,3,,601,127,2488,45,2658
500000,重庆市,2011,3321,267,,4,,620,134,2296,2577,2562
500000,重庆市,2010,3787,267,,4,,620,215,2681,2439,271
500000,重庆市,2009,,,,,,,,,,
500000,重庆市,2008,,,,,,,,,,
500000,重庆市,2007,,,,,,,,,,
500000,重庆市,2006,,,,,,,,,,
500000,重庆市,2005,,,,,,,,,,
500000,重庆市,2004,,,,,,,,,,
500000,重庆市,2003,,,,,,,,,,
500000,重庆市,2002,,,,,,,,,,
500000,重庆市,2001,,,,,,,,,,
500000,重庆市,2000,,,,,,,,,,
