省份编码,省份,年份,艺术表演团体机构数(个),艺术表演团体演出场次(万场次),艺术表演团体国内演出场次(万场次),艺术表演团体农村演出场次(万场次),艺术表演团体国内演出观众人次(千人次),艺术表演团体农村演出观众人次(千人次),艺术表演场馆机构数(个),艺术表演场馆演(映)出场次(千场次),艺术表演场馆艺术演出场次(千场次),艺术表演场馆观众人次(千人次),艺术表演场馆艺术演出观众人次(千人次)
110000,北京市,2019,370,2.43,23.6,,8030,,52,206.8,9.4,11400,3170
110000,北京市,2018,414,2.55,24.8,,9150,,61,77.2,15.8,10070,6010
110000,北京市,2017,451,6.082,60.22,,11007.3,,66,43.7,15.2,10608,1571.9
110000,北京市,2016,485,2.689,26.15,,8770.08,,69,67.46,16.54,11734.03,1888.5
110000,北京市,2015,395,2.803,27.04,,10851.76,,54,41.95,15.41,8073.7,1768.5
110000,北京市,2014,344,2.483,22.3,,10260.83,,17,11.32,2.54,2163.02,1710.48
110000,北京市,2013,292,2.244,21.7,0.618,9830,2695.92,17,12.02,2.92,2100.26,1682.18
110000,北京市,2012,324,2.343,20.84,0.558,10081.28,2027.04,96,53.98,17.1,10669.61,8402.75
110000,北京市,2011,118,1.45,12.12,0.165,7232.22,1332.99,68,54.9,16.62,9315.2,7820.6
110000,北京市,2010,18,,6.84,0.148,4296,1230.0,73,54.34,16.91,10350,8142
110000,北京市,2009,18,,6.64,,4497,,72,41.47,13.95,7846,6375
110000,北京市,2008,18,,8.0,,3900,,54,45.0,11.0,7497,5572
110000,北京市,2007,93,,,,,,43,,,,
110000,北京市,2006,18,,,,,,42,,,,
110000,北京市,2005,20,,,,,,39,,,,
110000,北京市,2004,20,,,,,,36,,,,
110000,北京市,2003,20,,,,,,24,,,,
110000,北京市,2002,20,,,,,,24,,,,
110000,北京市,2001,20,,,,,,24,,,,
110000,北京市,2000,20,,,,,,25,,,,
120000,天津市,2019,151,0.92,9.2,,3960,,74,36.3,7.9,3700,1190
120000,天津市,2018,121,1.11,11.0,,3640,,68,64.3,5.5,4000,2200
120000,天津市,2017,103,0.914,9.02,,4650.76,,57,58.0,3.7,4459.7,1058
120000,天津市,2016,84,0.793,7.75,,3975.17,,51,25.75,5.59,2648.29,1100.52
120000,天津市,2015,86,1.758,17.23,,6726.26,,50,24.25,4.54,2897.82,917.27
120000,天津市,2014,66,1.101,10.88,,4183.82,,28,15.99,1.9,1531.72,820.8
120000,天津市,2013,58,0.69,6.86,0.209,2849.42,1010.58,26,13.71,1.51,1389.95,628.59
120000,天津市,2012,48,0.518,4.69,0.078,2314.63,725.96,35,16.06,2.59,1482.61,887.69
120000,天津市,2011,53,0.43,4.08,0.085,2866.42,1052.84,57,17.09,3.76,1452.7,867
120000,天津市,2010,36,,3.79,0.106,3183,1044.0,37,20.4,8.32,2344,1677
120000,天津市,2009,29,,3.49,,3651,,39,19.79,1.66,2218,647
120000,天津市,2008,15,,3.0,,1558,,29,23.0,2.0,1679,1011
120000,天津市,2007,31,,,,,,29,,,,
120000,天津市,2006,16,,,,,,28,,,,
120000,天津市,2005,16,,,,,,28,,,,
120000,天津市,2004,16,,,,,,29,,,,
120000,天津市,2003,15,,,,,,32,,,,
120000,天津市,2002,15,,,,,,32,,,,
120000,天津市,2001,15,,,,,,32,,,,
120000,天津市,2000,16,,,,,,32,,,,
130000,河北省,2019,749,9.27,91.9,,68540,,112,75.6,3.7,2690,1210
130000,河北省,2018,450,9.92,98.4,,33160,,81,39.9,1.6,1590,640
130000,河北省,2017,735,9.583,94.87,,55014.1,,96,61.0,4.4,1994.9,656.7
130000,河北省,2016,712,9.185,90.09,,54185.62,,112,61.66,9.27,2238.26,532.7
130000,河北省,2015,596,8.257,81.22,,45590.22,,108,28.64,3.24,2569.4,533.47
130000,河北省,2014,458,7.753,76.31,,53697.2,,77,18.16,1.27,1443.71,469.68
130000,河北省,2013,500,7.526,69.68,4.734,51828.32,37445.52,77,17.91,1.43,2042.19,603.56
130000,河北省,2012,448,6.951,56.9,3.365,57334.98,41305.21,138,32.29,6.79,4738.55,2265.34
130000,河北省,2011,312,5.21,43.9,3.128,33793.54,24719.34,113,17.97,4.11,3043.3,966.8
