省份编码,省份,年份,儿童读物出版种数(种),课本出版种数(种),儿童读物出版总印数(万册),课本出版总印数(万册),儿童读物出版总印张(千印张),课本出版总印张(千印张)
620000,甘肃省,2005,74,173,130,5799,2356,364547
620000,甘肃省,2004,106,19,67,4902,1646,273158
620000,甘肃省,2003,54,9,101,3450,1615,205487
620000,甘肃省,2002,59,2,134,427,2158,45482
620000,甘肃省,2001,63,24,210,1821,3437,129467
620000,甘肃省,2000,24,36,47,5884,3117,276784
630000,青海省,2019,10,136,6,948,471,73219
630000,青海省,2018,,148,,917,,70426
630000,青海省,2017,23,157,9,905,399,70764
630000,青海省,2016,6,148,2,837,37,66408
630000,青海省,2015,25,215,6,910,325,69986
630000,青海省,2014,4,221,1,930,15,66929
630000,青海省,2013,2,195,5,999,185,68183
630000,青海省,2012,17,235,7,923,293,67074
630000,青海省,2011,14,211,5,824,285,64802
630000,青海省,2010,3,194,13,835,301,63048
630000,青海省,2009,5,174,2,816,105,64374
630000,青海省,2008,2,173,2,745,87,62293
630000,青海省,2007,1,165,,897,5,60440
630000,青海省,2006,,394,,938,,64833
630000,青海省,2005,5,127,3,756,133,51393
630000,青海省,2004,5,138,25,406,4982,28416
630000,青海省,2003,2,162,1,755,42,49276
630000,青海省,2002,1,185,1,320,40,16841
630000,青海省,2001,2,75,3,482,71,29647
630000,青海省,2000,1,62,1,438,98,24806
640000,宁夏回族自治区,2019,40,13,128,946,4954,70918
640000,宁夏回族自治区,2018,74,9,257,841,7480,63857
640000,宁夏回族自治区,2017,73,4,89,841,4393,63390
640000,宁夏回族自治区,2016,221,10,140,810,11932,61029
640000,宁夏回族自治区,2015,45,21,30,1834,1573,132473
640000,宁夏回族自治区,2014,23,,18,906,1516,65621
640000,宁夏回族自治区,2013,135,,50,890,2626,63656
640000,宁夏回族自治区,2012,38,,44,868,1097,62640
640000,宁夏回族自治区,2011,24,,52,844,1149,60909
640000,宁夏回族自治区,2010,16,14,23,843,991,61056
640000,宁夏回族自治区,2009,76,109,94,1154,13787,79179
640000,宁夏回族自治区,2008,8,162,3,950,259,59160
640000,宁夏回族自治区,2007,24,17,8,357,289,19757
640000,宁夏回族自治区,2006,66,13,73,802,2832,48388
640000,宁夏回族自治区,2005,13,41,7,1009,585,65770
640000,宁夏回族自治区,2004,37,10,49,864,905,52143
640000,宁夏回族自治区,2003,23,7,54,789,1947,52356
640000,宁夏回族自治区,2002,28,3,68,996,2454,64607
640000,宁夏回族自治区,2001,20,5,14,792,517,51133
640000,宁夏回族自治区,2000,24,12,21,1244,427,71322
650000,新疆维吾尔自治区,2019,158,142,140,7004,6341,468893
650000,新疆维吾尔自治区,2018,243,600,170,7087,13635,498299
650000,新疆维吾尔自治区,2017,457,1204,265,5480,17327,403871
650000,新疆维吾尔自治区,2016,553,1781,195,7334,13096,548267
650000,新疆维吾尔自治区,2015,506,1940,199,5391,10627,384491
650000,新疆维吾尔自治区,2014,294,1732,120,4200,7210,244373
650000,新疆维吾尔自治区,2013,1112,2175,1718,5633,107556,385474
650000,新疆维吾尔自治区,2012,453,2196,229,6266,22488,417110
650000,新疆维吾尔自治区,2011,293,2494,254,6344,11720,374429
650000,新疆维吾尔自治区,2010,494,1188,337,1746,18286,130254
650000,新疆维吾尔自治区,2009,727,3286,495,6952,22977,451411
650000,新疆维吾尔自治区,2008,210,960,148,1510,5177,85609
650000,新疆维吾尔自治区,2007,202,294,304,687,19599,21449
650000,新疆维吾尔自治区,2006,152,1728,504,6866,18463,459102
650000,新疆维吾尔自治区,2005,182,1738,575,6691,22156,428000
650000,新疆维吾尔自治区,2004,84,1403,233,6133,7453,357511
650000,新疆维吾尔自治区,2003,135,940,328,3999,12055,251460
650000,新疆维吾尔自治区,2002,125,1357,160,5745,9738,321883
650000,新疆维吾尔自治区,2001,159,1272,102,5408,6962,294164
650000,新疆维吾尔自治区,2000,218,1364,185,5458,8952,285807
