省份编码,省份,年份,公共图书馆业机构数(个),公共图书馆总藏量(万册),人均拥有公共图书馆藏量(册/人),公共图书馆累计发放有效借书证数(万个),公共图书馆总流通人次(万人次),公共图书馆书刊文献外借人次(万人次),公共图书馆书刊文献外借册次(万册次),公共图书馆阅览室座席数(万个),每万人拥有公共图书馆建筑面积(平方米),公共图书馆组织各类讲座次数(次),公共图书馆参加讲座人次(万人次),公共图书馆举办展览数(个),公共图书馆参观展览人次(万人次),公共图书馆举办培训班数(个),公共图书馆参加培训人次(万人次),公共图书馆计算机台数(台),公共图书馆电子阅览室终端数(台)
110000,北京市,2019,23,3012.306,1.4,183.301,1968.677,445.064,1266.135,1.551,138.4,3009,20.753,585,251.562,1624,6.009,4461,2052
110000,北京市,2018,23,2876.431,1.34,170.0638,1903.342,466.337,1202.84,1.6433,138.6,2790,17.524,610,241.65,1308,4.383,4496,2210
110000,北京市,2017,23,2759.148,1.27,139.0,1555.334,390.753,1047.173,1.7637,138.3,2226,17.533,489,166.506,1313,4.718,4544,2179
110000,北京市,2016,24,2594.377,1.19,105.2788,1401.895,510.526,1025.655,1.7316,126.4,1634,15.266,356,162.589,972,5.564,4394,1967
110000,北京市,2015,24,2424.502,1.1170246487,103.655,1263.939,394.271,940.405,1.5469,113.600552868,1863,14.149,311,116.965,585,2.907,4229,1748
110000,北京市,2014,24,2223.342,1.03,98.102,1145.828,394.927,953.061,1.5908,115.7,1785,16.055,320,115.115,871,4.205,4094,1920
110000,北京市,2013,24,2071.985,0.98,79.0,1033.394,325.318,893.297,1.6002,113.8,1731,19.469,296,152.368,717,4.526,3601,1725
110000,北京市,2012,24,2083.249,1.00674092688349,72.0301,864.774,317.118,819.154,1.3525,107.243995554052,1573,17.935,240,54.321,812,4.922,3575,1489
110000,北京市,2011,24,1911.691,0.95,62.1989,726.248,302.316,748.78,1.251,82.8,1505,16.169,323,32.501,541,3.257,3261,1314
110000,北京市,2010,24,1715.449,,92.3216,775.473,360.251,804.361,1.2852,,,,,,,,,
110000,北京市,2009,24,1588.776,,,823.453,388.589,890.021,1.2938,,,,,,,,,
110000,北京市,2008,24,1403.1,,,801.2,391.4,904.5,1.3011,,,,,,,,,
110000,北京市,2007,24,,,,,,,,,,,,,,,,
110000,北京市,2006,24,,,,,,,,,,,,,,,,
110000,北京市,2005,25,,,,,,,,,,,,,,,,
110000,北京市,2004,25,3450.6,2.97,,,,,,,,,,,,,,
110000,北京市,2003,25,3355.2,2.9206,,,,,,,,,,,,,,
110000,北京市,2002,25,3248.2,2.86,,,,,,,,,,,,,,
110000,北京市,2001,25,3133.1,2.79,,,,,,,,,,,,,,
110000,北京市,2000,25,2934.0,2.66,,,,,,,,,,,,,,
120000,天津市,2019,29,2099.21,1.34,102.2686,1621.156,359.865,1066.714,2.0317,278.7,1570,14.806,670,168.448,1636,6.756,4550,2963
120000,天津市,2018,29,1867.291,1.2,90.3501,1226.492,388.5,1136.606,1.9038,259.7,1869,17.789,646,198.735,574,3.667,4341,2824
120000,天津市,2017,32,1662.14,1.07,77.0,1403.091,420.893,1057.876,1.7242,209.1,1453,20.534,583,75.411,395,3.019,4387,2834
120000,天津市,2016,31,1806.092,1.16,80.6567,851.483,311.484,875.769,1.4805,168.8,1433,17.029,480,114.6,585,2.972,3639,2010
120000,天津市,2015,31,1696.927,1.0969501277,73.599,788.697,305.678,859.286,1.45,167.4326901322,794,10.134,214,108.181,295,1.759,3714,1972
