年份,住户部门金融交易资金来源_净金融投资,住户部门金融交易资金来源_资金运用,住户部门金融交易资金来源_资金来源,住户部门金融交易资金来源_通货,住户部门金融交易资金来源_存款,住户部门金融交易资金来源_贷款,住户部门金融交易资金来源_证券,住户部门金融交易资金来源_证券投资基金份额,住户部门金融交易资金来源_证券公司客户保证金,住户部门金融交易资金来源_保险准备金,住户部门金融交易资金来源_未贴现的银行承兑汇票,住户部门金融交易资金来源_金融机构往来,住户部门金融交易资金来源_准备金,住户部门金融交易资金来源_库存现金,住户部门金融交易资金来源_中央银行贷款,住户部门金融交易资金来源_其他(净),住户部门金融交易资金来源_直接投资,住户部门金融交易资金来源_其他对外债权债务,住户部门金融交易资金来源_国际储备资产,住户部门金融交易资金来源_国际收支错误与遗漏
2019,,,,,,,,,,,,,,,,,,,,
2018,,,80353.3853211556,,,78513.6365785913,,,,,,,,,,1839.74874256427,,,,
2017,,,79488.0,,,77863.0,,,,,,,,,,1625.0,,,,
2016,,,70828.1490194043,,,70790.9459755783,,,,,,,,,,37.2030438259701,,,,
2015,,,41497.0469268054,,,41497.0469268054,,,,,,,,,,,,,,
2014,,,38079.0,,,38079.0,,,,,,,,,,,,,,
2013,,,41850.2862512041,,,41850.2862512041,,,,,,,,,,,,,,
2012,,,27724.0,,,27724.0,,,,,,,,,,,,,,
2011,,,25496.0,,,25496.0,,,,,,,,,,,,,,
2010,,,30547.75867,,,30547.75867,,,,,,,,,,,,,,
2009,,,24889.0,,,24889.0,,,,,,,,,,,,,,
2008,,,7012.0,,,7012.0,,,,,,,,,,,,,,
2007,,,11979.0,,,11979.0,,,,,,,,,,,,,,
2006,,,6664.0,,,6664.0,,,,,,,,,,,,,,
2005,,,3540.8381927996,,,3540.8381927996,,,,,,,,,,,,,,
2004,,,5802.4928419351,,,5802.4928419351,,,,,,,,,,,,,,
2003,,,6987.622753591,,,6987.622753591,,,,,,,,,,,,,,
2002,,,5074.3171371227,,,5074.3171371227,,,,,,,,,,,,,,
2001,,,3506.78,,,3506.78,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,
