年份,城镇较高收入户(10%)居民家庭人均消费现金支出,城镇较高收入户(10%)居民家庭人均食品消费现金支出,城镇较高收入户(10%)居民家庭人均粮食消费现金支出,城镇较高收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇较高收入户(10%)居民家庭人均蛋类消费现金支出,城镇较高收入户(10%)居民家庭人均水产品消费现金支出,城镇较高收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇较高收入户(10%)居民家庭人均衣着消费现金支出,城镇较高收入户(10%)居民家庭人均服装消费现金支出,城镇较高收入户(10%)居民家庭人均居住消费现金支出,城镇较高收入户(10%)居民家庭人均住房消费现金支出,城镇较高收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇较高收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇较高收入户(10%)居民家庭人均交通通信消费现金支出,城镇较高收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇较高收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇较高收入户(10%)居民家庭人均医疗保健消费现金支出,城镇较高收入户(10%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,25796.93,8560.96,542.74,1480.4,142.42,630.61,365.39,2767.5,2067.91,2154.27,798.49,1827.88,738.16,4304.11,3432.77,793.42,1580.04,1169.41
2011,23906.21,7789.91,515.52,1376.02,139.47,548.16,340.33,2598.3,1954.14,2116.75,852.4,1736.37,758.97,3963.01,3155.73,779.08,1512.35,1033.8
2010,21000.42,6756.0,453.87,1142.37,117.74,497.25,296.69,2226.7,1657.1,1999.99,772.93,1500.24,683.54,3630.63,2739.7,728.75,1313.6,833.53
2009,19263.88,6360.33,380.85,1095.79,109.96,472.06,283.4,1986.16,1465.42,1775.08,659.61,1325.54,632.98,3181.88,2461.1,682.5,1322.4,851.39
2008,17888.18,6087.25,384.74,1160.64,108.37,444.47,278.16,1857.49,1363.95,1795.45,687.74,1209.95,564.73,2632.91,2297.17,669.93,1257.64,750.33
2007,15297.73,5062.13,319.37,883.03,97.76,376.47,225.78,1579.06,1150.88,1436.69,532.09,967.68,484.27,2467.69,2092.01,614.94,1108.59,583.88
2006,13169.82,4392.35,270.04,685.74,78.66,327.12,217.92,1350.76,981.22,1341.89,506.43,842.34,414.56,1801.04,1901.68,558.64,1020.2,519.56
2005,12102.51,4151.09,264.8,716.12,84.39,314.58,206.79,1255.95,929.82,1195.48,451.25,754.85,377.85,1590.28,1700.23,493.01,997.59,457.03
2004,10749.35,3740.68,255.1,658.06,77.74,282.6,194.65,1071.52,786.41,1100.61,455.99,685.43,361.01,1274.18,1673.76,463.03,821.16,382.0
2003,9627.58,3337.82,213.74,597.8,70.05,268.9,189.32,945.33,688.59,965.22,389.0,687.17,389.11,1106.03,1482.57,493.44,757.57,345.91
2002,8919.94,3171.36,211.77,582.02,68.68,278.42,163.67,866.38,623.9,906.67,407.38,645.72,354.84,991.17,1373.85,437.43,657.33,307.46
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
