年份,城镇中等偏下收入户(20%)居民家庭人均消费现金支出,城镇中等偏下收入户(20%)居民家庭人均食品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均粮食消费现金支出,城镇中等偏下收入户(20%)居民家庭人均肉禽及其制品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均蛋类消费现金支出,城镇中等偏下收入户(20%)居民家庭人均水产品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均奶及奶制品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均衣着消费现金支出,城镇中等偏下收入户(20%)居民家庭人均服装消费现金支出,城镇中等偏下收入户(20%)居民家庭人均居住消费现金支出,城镇中等偏下收入户(20%)居民家庭人均住房消费现金支出,城镇中等偏下收入户(20%)居民家庭人均家庭设备及用品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均耐用消费品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均交通通信消费现金支出,城镇中等偏下收入户(20%)居民家庭人均文教娱乐消费现金支出,城镇中等偏下收入户(20%)居民家庭人均文化娱乐用品消费现金支出,城镇中等偏下收入户(20%)居民家庭人均医疗保健消费现金支出,城镇中等偏下收入户(20%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,12280.83,5028.58,426.03,1088.3,112.02,308.75,208.34,1408.21,1018.94,1160.43,279.33,760.0,272.85,1392.97,1326.62,284.93,832.93,371.1
2011,10872.83,4535.81,410.1,1023.0,110.22,269.9,195.4,1250.92,903.62,1023.01,212.86,666.47,255.94,1150.15,1163.09,273.16,759.82,323.56
2010,9649.21,3946.0,357.68,835.87,91.21,253.14,158.92,1076.03,768.52,1009.97,226.96,600.94,239.7,1051.75,1037.97,238.35,637.75,288.8
2009,8738.79,3640.22,316.34,787.04,86.34,231.55,158.45,962.45,675.04,880.76,178.48,521.47,217.97,861.44,953.75,225.5,632.03,286.68
2008,7993.67,3428.85,305.37,806.49,85.96,211.68,155.21,843.2,588.68,841.3,164.72,437.18,174.82,764.13,851.83,198.22,587.61,239.59
2007,7123.69,2942.78,263.13,637.47,78.65,179.95,130.73,776.85,544.86,718.26,135.63,385.04,166.76,710.05,877.36,192.63,501.69,211.66
2006,6108.33,2484.28,239.38,496.82,65.58,143.78,121.64,665.74,466.79,655.61,135.84,301.42,125.4,610.03,781.97,168.27,425.48,183.79
2005,5574.32,2336.3,232.78,514.28,68.85,133.18,110.8,565.13,397.24,580.01,112.9,268.81,117.18,536.22,720.4,152.45,408.12,159.32
2004,5096.15,2201.88,232.81,477.7,67.63,124.74,106.77,489.78,338.56,514.62,112.4,235.95,104.23,479.48,675.28,132.82,355.53,143.61
2003,4557.82,1926.06,188.56,419.32,60.31,114.88,95.63,456.14,314.44,459.56,98.85,228.41,104.45,427.79,605.57,132.59,325.14,129.17
2002,4205.99,1772.88,178.38,398.03,56.94,106.74,75.42,438.38,297.76,421.9,110.53,226.42,104.24,367.72,576.71,120.16,286.56,115.38
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
