年份,城镇较低收入户(10%)居民家庭人均消费现金支出,城镇较低收入户(10%)居民家庭人均食品消费现金支出,城镇较低收入户(10%)居民家庭人均粮食消费现金支出,城镇较低收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇较低收入户(10%)居民家庭人均蛋类消费现金支出,城镇较低收入户(10%)居民家庭人均水产品消费现金支出,城镇较低收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇较低收入户(10%)居民家庭人均衣着消费现金支出,城镇较低收入户(10%)居民家庭人均服装消费现金支出,城镇较低收入户(10%)居民家庭人均居住消费现金支出,城镇较低收入户(10%)居民家庭人均住房消费现金支出,城镇较低收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇较低收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇较低收入户(10%)居民家庭人均交通通信消费现金支出,城镇较低收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇较低收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇较低收入户(10%)居民家庭人均医疗保健消费现金支出,城镇较低收入户(10%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,9610.41,4147.35,385.75,946.71,96.64,235.6,169.02,1045.5,746.36,924.49,168.83,569.25,185.89,954.38,1034.87,209.6,669.58,264.99
2011,8509.32,3715.91,370.27,879.06,94.22,203.97,150.87,913.39,648.99,874.84,185.78,489.65,170.42,841.38,876.73,180.82,579.16,218.25
2010,7360.17,3246.69,326.37,728.82,80.53,192.22,127.59,804.73,568.18,775.1,114.18,427.16,153.47,669.08,746.67,166.42,478.3,212.45
2009,6743.09,3009.48,292.15,691.17,79.22,182.38,128.1,684.18,466.34,735.23,123.92,366.43,138.72,582.28,665.96,151.82,504.09,195.43
2008,6195.32,2846.26,286.61,699.03,78.0,164.78,120.75,598.65,409.92,688.39,107.93,309.58,110.23,532.52,594.68,122.2,457.21,168.04
2007,5634.15,2451.15,246.86,552.68,70.24,137.56,108.93,565.19,389.1,605.01,114.99,282.51,113.01,548.82,646.99,124.33,378.69,155.79
2006,4765.55,2073.45,229.81,439.2,57.94,111.16,95.12,470.0,319.78,530.06,83.74,212.02,75.78,431.13,572.38,99.41,350.01,126.5
2005,4295.35,1926.01,226.76,433.51,63.79,101.05,82.73,408.63,279.48,472.21,77.75,171.6,60.73,375.86,518.77,84.41,308.13,114.14
2004,3942.23,1827.42,229.99,408.15,60.61,93.37,78.05,352.04,237.8,413.37,68.88,154.45,52.95,329.77,488.77,77.25,271.56,104.84
2003,3549.28,1594.67,178.47,364.71,53.72,85.57,66.24,329.15,219.17,387.88,77.48,156.26,57.49,300.65,454.53,75.28,236.76,89.41
2002,3259.59,1457.87,174.11,340.29,52.16,78.13,51.94,309.49,204.17,355.12,87.08,144.67,54.57,257.63,425.33,78.54,225.67,83.81
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
