年份,城镇居民家庭人均消费现金支出,城镇居民家庭人均食品消费现金支出,城镇居民家庭人均粮食消费现金支出,城镇居民家庭人均肉禽及其制品消费现金支出,城镇居民家庭人均蛋类消费现金支出,城镇居民家庭人均水产品消费现金支出,城镇居民家庭人均奶及奶制品消费现金支出,城镇居民家庭人均衣着消费现金支出,城镇居民家庭人均服装消费现金支出,城镇居民家庭人均居住消费现金支出,城镇居民家庭人均住房消费现金支出,城镇居民家庭人均家庭设备及用品消费现金支出,城镇居民家庭人均耐用消费品消费现金支出,城镇居民家庭人均交通通信消费现金支出,城镇居民家庭人均文教娱乐消费现金支出,城镇居民家庭人均文化娱乐用品消费现金支出,城镇居民家庭人均医疗保健消费现金支出,城镇居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,16674.32,6040.85,458.53,1183.59,119.0,408.92,253.57,1823.39,1344.87,1484.26,463.64,1116.06,431.52,2455.47,2033.5,451.88,1063.68,657.1
2011,15160.89,5506.33,437.58,1105.93,116.65,353.99,234.01,1674.7,1237.03,1405.01,451.25,1023.17,423.81,2149.69,1851.74,449.55,968.98,581.26
2010,13471.45,4804.71,385.51,914.22,98.02,326.86,198.47,1444.34,1057.11,1332.14,421.19,908.01,394.56,1983.7,1627.64,406.96,871.77,499.15
2009,12264.55,4478.54,334.29,867.49,92.78,301.42,196.14,1284.2,923.99,1228.91,396.95,786.94,358.98,1682.57,1472.76,381.32,856.41,474.21
2008,11242.85,4259.81,328.26,896.87,91.68,280.28,189.84,1165.91,839.07,1145.41,345.06,691.83,309.31,1417.12,1358.26,354.82,786.2,418.31
2007,9997.47,3628.03,278.3,703.27,83.83,243.78,160.72,1042.0,747.93,982.28,302.19,601.8,285.54,1357.41,1329.16,343.17,699.09,357.7
2006,8696.55,3111.92,246.46,545.64,67.6,202.87,150.23,901.78,646.69,904.19,285.07,498.48,233.88,1147.12,1203.03,310.26,620.54,309.49
2005,7942.88,2914.39,242.16,564.91,71.48,188.8,138.62,800.51,577.0,808.66,249.25,446.52,213.21,996.72,1097.46,280.21,600.85,277.75
2004,7182.1,2709.6,238.76,526.8,68.19,178.06,132.37,686.79,493.81,733.53,247.89,407.37,198.84,843.62,1032.8,256.65,528.15,240.24
2003,6510.94,2416.92,194.15,473.19,60.97,170.31,124.7,637.72,455.32,699.38,256.45,410.34,213.57,721.12,934.38,264.47,475.98,215.1
2002,6029.88,2271.84,190.44,455.12,59.16,169.68,104.76,590.88,590.88,624.36,242.64,388.68,205.08,626.04,902.28,245.16,430.08,195.84
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
