年份,城镇最低收入户(10%)居民家庭人均消费现金支出,城镇最低收入户(10%)居民家庭人均食品消费现金支出,城镇最低收入户(10%)居民家庭人均粮食消费现金支出,城镇最低收入户(10%)居民家庭人均肉禽及其制品消费现金支出,城镇最低收入户(10%)居民家庭人均蛋类消费现金支出,城镇最低收入户(10%)居民家庭人均水产品消费现金支出,城镇最低收入户(10%)居民家庭人均奶及奶制品消费现金支出,城镇最低收入户(10%)居民家庭人均衣着消费现金支出,城镇最低收入户(10%)居民家庭人均服装消费现金支出,城镇最低收入户(10%)居民家庭人均居住消费现金支出,城镇最低收入户(10%)居民家庭人均住房消费现金支出,城镇最低收入户(10%)居民家庭人均家庭设备及用品消费现金支出,城镇最低收入户(10%)居民家庭人均耐用消费品消费现金支出,城镇最低收入户(10%)居民家庭人均交通通信消费现金支出,城镇最低收入户(10%)居民家庭人均文教娱乐消费现金支出,城镇最低收入户(10%)居民家庭人均文化娱乐用品消费现金支出,城镇最低收入户(10%)居民家庭人均医疗保健消费现金支出,城镇最低收入户(10%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,7301.37,3310.41,364.97,767.51,84.3,173.39,125.75,706.8,494.8,832.6,177.46,405.35,119.37,602.83,722.96,144.68,548.33,172.09
2011,6431.85,2948.88,351.56,704.29,80.98,148.48,115.66,607.95,426.67,749.0,161.02,335.33,98.49,501.12,642.7,123.81,483.62,163.24
2010,5471.84,2525.32,295.63,563.93,68.04,137.5,91.57,513.56,351.78,656.28,115.2,288.55,90.81,448.25,502.61,97.07,405.29,131.98
2009,4900.56,2293.82,265.32,520.85,66.06,121.94,89.09,458.48,306.87,578.93,84.73,226.04,70.1,394.8,457.22,82.96,362.6,128.67
2008,4532.88,2182.29,259.95,534.63,64.63,115.24,86.68,398.03,268.67,556.19,74.7,190.78,57.06,345.31,424.2,69.36,323.93,112.16
2007,4036.32,1904.09,223.65,437.69,58.53,97.68,75.97,360.89,243.08,469.05,64.44,163.91,49.44,314.24,445.71,63.16,281.13,97.29
2006,3422.98,1586.02,219.11,346.32,49.46,79.01,60.87,286.12,191.51,427.16,59.19,139.99,42.66,257.72,406.05,59.28,234.5,85.42
2005,3111.47,1475.67,219.24,343.43,51.69,70.33,50.75,243.66,162.17,384.08,58.28,109.21,31.15,228.37,363.61,43.28,232.5,74.36
2004,2855.15,1417.76,219.1,325.49,50.92,67.25,46.32,213.5,141.13,323.05,43.71,97.78,29.4,197.8,353.76,43.91,185.05,66.46
2003,2562.36,1222.76,170.66,283.09,45.44,60.57,38.31,198.71,127.93,309.01,56.79,91.99,24.79,174.17,327.71,39.58,175.77,62.25
2002,3453.59,1127.41,166.46,260.75,43.36,54.44,31.5,193.09,123.31,282.74,63.42,86.69,25.5,157.64,317.57,38.7,164.63,58.15
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
