年份,城镇中等偏上收入户(20%)居民家庭人均消费现金支出,城镇中等偏上收入户(20%)居民家庭人均食品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均粮食消费现金支出,城镇中等偏上收入户(20%)居民家庭人均肉禽及其制品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均蛋类消费现金支出,城镇中等偏上收入户(20%)居民家庭人均水产品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均奶及奶制品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均衣着消费现金支出,城镇中等偏上收入户(20%)居民家庭人均服装消费现金支出,城镇中等偏上收入户(20%)居民家庭人均居住消费现金支出,城镇中等偏上收入户(20%)居民家庭人均住房消费现金支出,城镇中等偏上收入户(20%)居民家庭人均家庭设备及用品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均耐用消费品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均交通通信消费现金支出,城镇中等偏上收入户(20%)居民家庭人均文教娱乐消费现金支出,城镇中等偏上收入户(20%)居民家庭人均文化娱乐用品消费现金支出,城镇中等偏上收入户(20%)居民家庭人均医疗保健消费现金支出,城镇中等偏上收入户(20%)居民家庭人均其他消费现金支出
2019,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2012,19830.17,7102.41,501.69,1341.13,133.33,522.7,308.8,2213.83,1637.68,1708.68,543.48,1346.21,532.17,2960.62,2449.14,565.38,1248.92,800.35
2011,18160.91,6515.04,477.78,1269.45,133.54,452.69,284.63,2045.84,1513.44,1627.62,518.2,1277.09,559.66,2647.88,2238.14,558.27,1136.88,672.43
2010,16140.36,5710.14,425.51,1051.41,111.87,416.3,245.85,1786.57,1311.87,1504.21,457.41,1110.95,496.57,2357.96,2001.47,521.74,1060.13,608.93
2009,14964.37,5367.01,366.04,1010.77,103.87,383.04,241.65,1601.19,1156.29,1493.31,526.36,977.07,453.89,2047.83,1807.73,483.42,1072.01,598.21
2008,13316.63,5043.63,355.87,1039.71,102.51,349.18,234.0,1432.93,1031.23,1265.94,350.82,837.63,379.07,1633.57,1630.13,438.25,977.89,494.91
2007,11570.39,4229.78,302.84,806.75,94.75,302.69,192.23,1278.22,917.87,1095.36,315.54,716.89,339.4,1420.31,1544.2,408.02,861.43,424.19
2006,10218.25,3647.94,257.74,623.58,74.19,257.57,183.65,1120.4,810.85,1009.55,310.91,583.94,280.73,1264.52,1469.14,397.74,762.37,360.39
2005,9410.77,3425.91,254.36,655.83,78.21,234.15,173.23,1010.63,731.97,921.67,284.8,546.06,270.35,1074.9,1336.77,364.93,764.91,329.92
2004,8345.7,3130.75,248.35,605.95,74.29,216.7,162.9,849.19,617.3,813.24,262.69,480.6,242.49,938.65,1182.09,301.66,665.82,285.36
2003,7547.31,2762.75,202.68,538.63,65.72,201.02,153.33,791.36,566.91,779.81,286.49,472.55,249.21,826.32,1102.89,334.04,560.89,250.79
2002,6939.95,2596.95,199.13,514.38,63.41,203.41,128.31,737.2,525.61,643.15,220.3,460.99,252.53,718.92,1046.46,305.17,510.15,226.13
2001,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
