省份编码,省份,年份,居民消费价格指数(上年=100),城市居民消费价格指数(上年=100),农村居民消费价格指数(上年=100),商品零售价格指数(上年=100),城市商品零售价格指数(上年=100),农村商品零售价格指数(上年=100)
110000,北京市,2019,102.29231526,102.29231526,,100.46890737,100.46890737,
110000,北京市,2018,102.48845771,102.5,,101.12947613,101.1,
110000,北京市,2017,101.90972949,101.9,,99.21713149,99.2,
110000,北京市,2016,101.39911534,101.4,,98.07962964,98.1,
110000,北京市,2015,101.84572798,101.84572798,,98.51496,,
110000,北京市,2014,101.61908737,101.61908737,,99.09721211,99.09721211,
110000,北京市,2013,103.29551855,103.29551855,,99.78519446,99.8,
110000,北京市,2012,103.25817332,103.25817332,,100.56487992,100.56487992,
110000,北京市,2011,105.63590378,105.63590378,,103.24592333,103.24592333,
110000,北京市,2010,102.4001,102.4,,100.4,100.4,
110000,北京市,2009,98.4583,98.4583,,97.83331,97.8333,
110000,北京市,2008,105.06181,105.06181,,104.41686,104.41686,
110000,北京市,2007,102.40543,102.4054,,100.79847077,100.7985,
110000,北京市,2006,100.88647,100.8865,,100.20301,100.203,
110000,北京市,2005,101.4506,101.4506,,99.7242,99.7242,
110000,北京市,2004,100.9521,100.9521,,99.2492,99.2492,
110000,北京市,2003,100.2295,100.2295,,98.2251,98.2251,
110000,北京市,2002,98.2,98.2,,98.4,98.4,
110000,北京市,2001,103.1,103.1,,98.8,98.8,
110000,北京市,2000,103.5,,,98.9,,
120000,天津市,2019,102.67593769,102.67593769,,101.71548168,101.71548168,
120000,天津市,2018,101.9507447,102.0,,101.58196259,101.6,
120000,天津市,2017,102.11163179,102.1,,100.77065968,100.8,
120000,天津市,2016,102.08851256,102.1,,100.54831016,100.5,
120000,天津市,2015,101.66042207,101.66042207,,100.2881,,
120000,天津市,2014,101.85045056,101.85045056,,100.8691229,100.8691229,
120000,天津市,2013,103.08007921,103.08007921,,101.70546158,101.7,
120000,天津市,2012,102.72628595,102.72628595,,102.95634014,102.95634014,
120000,天津市,2011,104.85150941,104.85150941,,104.67974784,104.67974784,
120000,天津市,2010,103.5496,103.5,,103.4,103.4,
120000,天津市,2009,99.0252,99.0252,,98.94436,98.9444,
120000,天津市,2008,105.40358,105.40358,,105.09981,105.09981,
120000,天津市,2007,104.21524,104.2152,,103.21541934,103.2154,
120000,天津市,2006,101.51199,101.512,,100.38605,100.3861,
120000,天津市,2005,101.5492,101.5492,,99.8907,99.8907,
120000,天津市,2004,102.2548,102.2548,,100.8318,100.8318,
120000,天津市,2003,101.0269,101.0269,,97.3546,97.3546,
120000,天津市,2002,99.6,99.6,,97.4,97.4,
120000,天津市,2001,101.2,101.2,,98.6,98.6,
120000,天津市,2000,99.6,,,98.6,,
130000,河北省,2019,102.95235089,102.80306276,103.2392104,101.80962054,101.68476592,102.21470537
130000,河北省,2018,102.44894177,102.45772732,102.43206445,102.18313444,102.06701138,102.56171627
130000,河北省,2017,101.72917597,101.88002442,101.44064067,101.41145183,101.16507696,102.22307795
130000,河北省,2016,101.51072484,101.51409935,101.50427089,101.15917955,101.11308668,101.31131976
130000,河北省,2015,100.8744612,101.05927499,100.50952156,100.21739,100.28585,100.00566
130000,河北省,2014,101.72300657,101.70748635,101.75366725,101.01598433,100.97543846,101.14159081
130000,河北省,2013,102.96390788,102.71273829,103.46372915,102.18747201,102.08004513,102.52170785
130000,河北省,2012,102.59654985,102.66368468,102.46321404,102.15855703,102.11475455,102.29507976
130000,河北省,2011,105.69610126,105.29993929,106.49182032,105.01184334,104.71416368,105.95060113
130000,河北省,2010,103.074,102.8,103.6,103.1,102.7,103.5
