年份,综合零售年末从业人数,食品、饮料及烟草制品专门零售年末从业人数,纺织、服装及日用品专门零售年末从业人数,文化、体育用品及器材专门零售年末从业人数,医药及医疗器材专门零售年末从业人数,汽车、摩托车、燃料及零配件专门零售年末从业人数,家用电器及电子产品专门零售年末从业人数,五金、家具及室内装修材料专门零售年末从业人数,无店铺及其他零售年末从业人数
2019,120.0636,8.2175,14.023,4.4787,37.8788,11.8389,8.5741,0.7396,0.4531
2018,122.9644,9.2667,14.0532,3.5727,35.0264,12.7611,17.3799,0.7346,0.5014
2017,130.1599,8.3868,8.1447,3.4788,30.9484,13.3407,16.6162,0.792,0.3871
2016,134.3825,8.2809,7.9902,3.5187,27.2692,12.9463,21.6531,0.6398,0.3437
2015,138.4988,5.8722,6.8071,3.486,24.6122,13.0185,24.9774,0.7041,0.297
2014,138.1418,5.7573,7.3421,3.6648,23.35,12.924,26.3421,0.6333,0.0881
2013,141.544,5.6951,7.1258,3.8843,22.8,13.5184,26.287,0.6044,0.1403
2012,138.2943,4.9213,6.7407,3.6135,25.5201,13.6871,27.2687,0.6515,0.0859
2011,135.0762,4.0794,8.0749,3.2913,18.6825,14.5904,31.8761,1.1356,0.2891
2010,137.7,4.5,6.3,4.5,17.6,15.6,13.2,0.9,0.4
2009,125.4596,5.322,8.9311,4.2885,17.0139,16.5621,11.9307,1.253,0.546
2008,105.2291,3.2538,7.8326,3.1628,16.7665,6.9539,21.5988,1.4936,0.1087
2007,93.0344,2.8664,6.3477,2.8869,14.3811,6.3922,19.087,1.3446,0.1133
2006,90.9034,3.1386,4.7565,2.6305,12.2381,7.8236,19.3263,1.1182,0.1387
2005,85.6093,2.4577,4.7846,2.2168,10.692,11.1793,18.6047,1.286,0.1122
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
