年份,连锁零售企业零售营业面积,内资连锁零售企业零售营业面积,国有连锁零售企业零售营业面积,集体连锁零售企业零售营业面积,股份合作连锁零售企业零售营业面积,联营连锁零售企业零售营业面积,国有联营连锁零售企业零售营业面积,集体联营连锁零售企业零售营业面积,国有与集体联营连锁零售企业零售营业面积,其他联营连锁零售企业零售营业面积,有限责任公司连锁零售企业零售营业面积,国有独资公司连锁零售企业零售营业面积,其他有限责任公司连锁零售企业零售营业面积,股份有限公司连锁零售企业零售营业面积,私营连锁零售企业零售营业面积,私营独资连锁零售企业零售营业面积,私营合伙连锁零售企业零售营业面积,私营有限责任公司连锁零售企业零售营业面积,私营股份有限公司连锁零售企业零售营业面积,其他连锁零售企业零售营业面积,港澳台商投资连锁零售企业零售营业面积,港澳台商合资经营连锁零售企业零售营业面积,港澳台商合作经营连锁零售企业零售营业面积,港澳台商独资经营连锁零售企业零售营业面积,港澳台商投资股份有限公司连锁零售企业零售营业面积,其他港澳台商投资连锁零售企业零售营业面积,外商投资连锁零售企业零售营业面积,中外合资经营连锁零售企业零售营业面积,中外合作经营连锁零售企业零售营业面积,外资连锁零售企业零售营业面积,外商投资股份有限公司连锁零售企业零售营业面积,其他外商投资连锁零售企业零售营业面积
2019,18384.9011,13847.2941,951.5288,47.18,43.4114,3.1695,2.4028,,0.0928,0.6739,3485.9276,144.7972,3341.1304,7187.1737,2105.4453,13.8174,6.118,1953.1355,132.3744,23.4578,1435.6257,490.9941,327.5982,606.5569,9.8692,0.6073,3101.9813,1523.7295,86.4001,688.2219,703.6876,99.9422
2018,17924.6788,14376.1911,946.2416,40.3984,43.9764,2.7597,1.923,,0.0928,0.7439,3984.8179,310.3128,3674.5051,7572.1096,1760.7766,11.3141,6.7125,1547.2086,195.5414,25.1109,1833.3558,178.4214,345.4618,596.5013,12.1279,700.8434,1715.1319,854.1937,149.6706,597.6355,108.4321,5.2
2017,17329.619,13492.7513,1030.1,51.0501,47.7012,3.0873,2.1706,,0.0928,0.8239,3874.0259,243.8123,3630.2136,6794.0802,1643.6283,12.8785,13.7785,1379.9559,237.0154,49.0783,2251.848,223.8011,309.3037,1037.2349,11.8215,669.6868,1585.0197,953.8553,88.5105,497.9257,44.3083,0.4199
2016,17960.0921,14232.6546,1020.4135,52.0871,55.7918,3.0357,2.1563,,0.0928,0.7866,3628.8994,219.3085,3409.5909,7960.1853,1461.3349,14.9444,26.9647,1207.3099,212.1159,50.9069,2073.114,204.0945,294.4413,961.5107,4.4753,608.5922,1654.3235,996.9481,96.0359,515.7647,45.5748,
2015,16862.4004,13785.8904,1211.4085,56.0983,5.3527,3.0513,2.1563,,0.0928,0.8022,3371.0156,9.6715,3361.3441,7685.5055,1403.9971,18.0549,28.0956,1160.7317,197.1149,49.4614,1475.8504,203.3472,267.8037,471.4541,4.6126,528.6328,1600.6596,987.6527,98.9996,475.3035,38.6436,0.0602
2014,16221.284,13497.8067,1154.3402,52.0278,5.927,9.463,8.5836,,0.0928,0.7866,3163.9073,9.5343,3154.373,7717.2077,1351.257,19.5163,27.9756,1102.707,201.0581,43.6767,1127.4588,191.8397,250.6948,404.4003,5.1944,275.3296,1596.0185,1053.2957,90.9699,448.6166,3.0761,0.0602
2013,15640.3484,13028.5917,1146.5462,59.6497,5.302,9.6793,8.7075,,0.0928,0.879,3048.4886,14.9367,3033.5519,7433.6381,1281.3057,21.9525,28.5699,1042.5636,188.2197,43.9821,1154.8308,182.0319,242.8355,382.8205,7.6147,339.5282,1456.9259,989.4878,77.5873,386.9651,2.7949,0.0908
2012,14765.8548,12341.3954,1270.7881,40.6507,13.4188,10.6765,9.7961,,0.0928,0.7876,2819.91,9.6438,2810.2662,7042.3719,1094.8459,37.6697,24.9148,922.0758,110.1856,48.7335,1074.8353,164.0407,202.7505,360.4092,3.704,343.9309,1349.6241,963.0309,54.045,328.1106,4.4376,
2011,13670.6596,11475.7526,1136.2972,42.485,19.9744,4.9202,4.276,,0.0928,0.5514,2687.2165,32.4031,2654.8134,6462.7168,1070.774,14.9856,23.9081,904.3254,127.5549,51.3685,857.6552,151.212,191.0202,263.8103,,251.6127,1337.2518,892.3833,66.3672,373.1495,5.3518,
2010,12756.7952,10726.4452,1086.717,57.1329,40.4842,4.0819,3.3256,,0.0928,0.6635,2259.7841,22.59,2237.1941,6165.1189,1083.8501,26.8768,21.6367,878.2104,157.1262,29.2761,689.6718,146.9668,331.9885,208.7805,1.936,,1340.6782,813.864,89.6417,431.8987,5.2738,
