年份,连锁零售企业商品销售额,内资连锁零售企业商品销售额,国有连锁零售企业商品销售额,集体连锁零售企业商品销售额,股份合作连锁零售企业商品销售额,联营连锁零售企业商品销售额,国有联营连锁零售企业商品销售额,集体联营连锁零售企业商品销售额,国有与集体联营连锁零售企业商品销售额,其他联营连锁零售企业商品销售额,有限责任公司连锁零售企业商品销售额,国有独资公司连锁零售企业商品销售额,其他有限责任公司连锁零售企业商品销售额,股份有限公司连锁零售企业商品销售额,私营连锁零售企业商品销售额,私营独资连锁零售企业商品销售额,私营合伙连锁零售企业商品销售额,私营有限责任公司连锁零售企业商品销售额,私营股份有限公司连锁零售企业商品销售额,其他连锁零售企业商品销售额,港澳台商投资连锁零售企业商品销售额,港澳台商合资经营连锁零售企业商品销售额,港澳台商合作经营连锁零售企业商品销售额,港澳台商独资经营连锁零售企业商品销售额,港澳台商投资股份有限公司连锁零售企业商品销售额,其他港澳台商投资连锁零售企业商品销售额,外商投资连锁零售企业商品销售额,中外合资经营连锁零售企业商品销售额,中外合作经营连锁零售企业商品销售额,外资连锁零售企业商品销售额,外商投资股份有限公司连锁零售企业商品销售额,其他外商投资连锁零售企业商品销售额
2019,37256.927,27652.4328,3568.5325,54.6145,111.4784,12.5614,9.7861,,0.0776,2.6977,8081.7593,422.0988,7659.6605,13030.6796,2761.4455,29.0915,6.1418,2550.4787,175.7335,31.3616,2528.6612,309.2615,547.5396,1649.1161,21.2414,1.5026,7075.8331,3309.1159,157.236,2302.5079,1051.2311,255.7421
2018,38012.6751,30614.7168,3645.5276,56.2981,129.8813,11.1295,8.1533,,0.1019,2.8743,9205.4109,794.1824,8411.2286,14511.1777,3024.3714,26.5986,7.1367,2610.0328,380.6033,30.9203,3101.0269,314.5982,470.2325,1597.2898,22.1965,696.71,4296.9314,1907.555,156.5224,1971.4338,210.8907,50.5295
2017,36630.6826,29323.8244,3835.9086,85.0733,123.5035,10.4998,7.3674,,0.0973,3.035,8302.9041,749.1019,7553.8022,13786.0279,3122.5696,24.6365,9.1348,2655.8271,432.9712,57.3375,2606.6245,357.8023,444.8063,1250.4398,19.0479,534.5283,3698.6137,1879.7431,115.2938,1618.1627,75.7243,9.6898
2016,35922.8936,29514.6257,3902.7514,98.3494,113.5253,9.5039,6.6565,,0.0932,2.7542,7256.8255,690.305,6566.5205,15520.7489,2558.673,37.6447,21.5338,2079.1077,420.3869,54.2483,2664.8679,451.3475,417.4723,1281.2144,22.6138,492.2199,3743.4,1813.1951,173.1971,1684.267,72.7408,
2015,35400.4014,29195.9922,4174.9642,97.5855,112.1631,8.9415,5.4556,,0.0836,3.4023,6251.6534,68.3554,6183.2981,16073.2639,2410.7975,42.691,22.7498,1944.68,400.6767,66.6232,2597.2331,446.7733,444.1895,1260.946,23.8763,421.448,3607.1761,1879.7547,177.7493,1493.9651,53.9304,1.7766
2014,37340.6078,31775.6055,4630.299,93.3986,123.7698,9.3114,6.0226,,0.0814,3.2074,5811.0883,80.8386,5730.2497,18513.2129,2540.0714,36.3769,23.1376,2079.7962,400.7607,54.4541,2320.6987,449.9363,420.3,1091.235,20.7072,338.5201,3244.3037,2109.3929,275.5756,856.6376,2.3856,0.312
2013,38006.871,32368.031,5110.2501,105.7352,114.9908,12.4724,8.6525,,0.0918,3.7282,5881.1352,90.8451,5790.2901,18985.4245,2102.429,26.2511,22.5791,1679.6867,373.9121,55.5938,2520.012,423.5732,802.2433,1033.3602,21.6927,239.1427,3118.828,2113.1897,255.8747,747.4598,2.0587,0.2451
2012,35462.07663,30107.72716,4849.80428,65.78489,122.96027,13.00917,8.46052,,0.08326,4.46539,5113.91249,57.49097,5056.42152,18232.36823,1645.97482,26.87416,21.36068,1461.13062,136.60936,63.91301,2376.48913,377.47298,691.61086,919.69168,7.77719,379.93642,2977.86034,2038.71598,225.22971,708.54201,5.37264,
2011,34510.69268,29530.13827,4600.52395,50.86308,28.09643,6.96132,3.79963,,0.07964,3.08205,4822.40017,44.88997,4777.5102,18261.0276,1616.41339,15.23469,25.96282,1338.04413,237.17175,143.85233,2077.95058,371.63175,636.84772,725.28745,,344.18366,2902.60383,1914.85592,241.62765,739.50707,6.61319,
2010,27385.4261,23324.631,3643.5355,50.9605,36.1022,20.2693,17.4342,,0.0869,2.7481,3905.3343,71.4168,3833.9176,14207.5065,1432.5877,19.8032,14.2521,1123.1049,275.4275,28.335,1580.177,320.284,655.925,590.138,13.83,,2480.6181,1572.6916,221.8186,680.0272,6.0807,
2009,22240.0012,18602.7179,2400.4449,509.3239,56.5084,31.4157,5.629,,0.0867,25.7,3189.3368,60.7133,3128.6235,11033.8955,1368.4413,69.5923,18.9429,1056.5541,223.352,13.3513,1317.3359,421.2312,488.9557,405.8297,1.3192,,2319.9474,1359.8697,211.5711,735.6658,12.8408,
2008,20466.52745,17242.5975,2511.25781,83.08544,30.03599,14.4366,11.88469,0.22843,0.06231,2.26117,3395.78285,136.00948,3259.77337,9979.64923,1209.56351,29.41456,16.21566,1075.2739,88.65939,18.78607,727.22686,351.22607,30.31248,344.03819,1.65012,,2496.70309,1495.5952,496.9149,495.93389,8.2591,
2007,17754.3447,14314.93967,2024.69997,75.76195,20.26312,13.2343,10.83433,0.42963,0.04582,1.92452,2842.19455,124.78448,2717.41007,8337.51567,984.31883,24.85157,13.02355,889.42393,57.01978,16.95128,608.13069,306.16003,24.66041,274.56793,2.74232,,2008.40298,1179.74014,406.76366,420.98203,0.91715,
2006,14952.2,12924.7276,1313.4581,33.3725,15.2137,134.9746,10.073,1.1754,123.7262,1.0701,2195.8222,233.4397,1962.3825,7983.5142,1227.6829,34.8139,25.3389,1073.755,93.7751,20.6894,439.0565,310.4336,17.451,109.4139,1.758,,1588.3967,877.8555,511.6805,198.1879,0.6729,
2005,12587.8,10864.7114,1900.4132,25.6938,81.3342,146.0767,7.8661,3.3181,133.058,1.8345,1948.5719,70.8811,1877.6908,5780.653,974.142,32.879,19.5382,869.0701,52.6547,7.8266,602.9704,466.044,19.4373,83.9701,33.519,,1120.0972,550.449,508.4885,61.1596,0.0,
2004,8393.6,4636.5634,504.4732,48.7216,26.8053,132.7829,2.4983,0.0,128.2658,2.0188,1305.668,73.3743,1202.8422,1752.6977,858.9672,14.6876,0.6528,772.4855,45.4374,6.4475,339.5424,284.6011,44.7801,2.3973,3.3563,,600.3559,267.8955,323.5355,8.9249,,
2003,4258.6343,3527.4892,375.0154,37.7867,26.8863,90.4314,2.2192,0.0,85.7778,2.4343,1017.0171,58.0956,939.3175,1306.7449,667.4166,12.2162,0.5535,601.1892,35.24,6.1909,265.0428,225.7989,30.1948,2.1607,1.4368,,462.442,199.9318,256.5876,5.9226,,
2002,2658.2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
