年份,综合零售商品销售额,食品、饮料及烟草制品专门零售商品销售额,纺织、服装及日用品专门零售商品销售额,文化、体育用品及器材专门零售商品销售额,医药及医疗器材专门零售商品销售额,汽车、摩托车、燃料及零配件专门零售商品销售额,家用电器及电子产品专门零售商品销售额,五金、家具及室内装修材料专门零售商品销售额,无店铺及其他零售商品销售额
2019,12901.1727,500.9352,1448.0225,915.0156,2077.3941,6621.4482,3149.0463,82.7402,20.2945
2018,13180.5108,470.3116,1314.3686,891.3185,1677.2075,6787.7853,3723.333,83.2797,39.5297
2017,13070.3768,488.3937,692.5465,615.5659,1588.5965,6095.5431,3569.6506,85.7425,12.3737
2016,13173.7116,448.6815,520.5025,556.2211,1142.5646,5267.9845,3968.0497,75.7228,9.9703
2015,13027.4365,351.3088,463.3253,516.4701,988.8622,5575.2487,3650.9619,67.6618,7.587
2014,12471.7225,307.4802,433.2248,484.4575,1208.4638,6736.2736,2191.8586,62.918,10.6176
2013,12569.1284,294.3522,376.6699,453.3887,782.5316,6568.2434,3352.6046,67.906,15.2518
2012,11446.75756,255.62483,369.48267,266.87546,638.38567,6231.23482,3407.70729,63.97934,12.76018
2011,10733.72263,222.64213,339.52435,273.91009,501.73109,7542.73634,3891.11428,86.95626,68.37936
2010,10789.9,214.4,255.5,376.8,437.3,6228.6,1768.8,67.4,14.9
2009,9111.8731,253.5114,222.8314,351.276,417.9016,5879.6173,1517.6914,82.9346,75.561
2008,6715.60794,138.34389,267.25876,180.70828,375.08918,2542.42583,2553.28119,113.25091,3.76509
2007,5660.64833,110.20033,205.71775,139.54611,309.06111,1934.20039,2178.094,98.08627,3.11212
2006,5162.3823,97.2404,232.6049,65.8811,252.2954,2105.2907,1848.4302,97.7501,11.1059
2005,4546.7231,76.8507,73.6241,67.5357,221.5883,2664.7966,1377.1484,68.8358,17.5595
2004,,,,,,,,,
2003,,,,,,,,,
2002,,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
