年份,便利店门店总数,折扣店门店总数,超市门店总数,大型超市门店总数,仓储会员店门店总数,百货店门店总数,专业店门店总数,加油站门店总数,专卖店门店总数,家居建材商店门店总数,厂家直销中心门店总数,其他业态连锁零售企业门店总数
2019,31064,285,26927,5341,101,4148,139139,36236,37511,53,630,7457
2018,28895,72,28164,4760,100,5942,137136,35551,34054,78,686,9824
2017,24060,448,29881,6155,98,6148,125362,33321,31238,61,711,11941
2016,18588,540,33372,8452,97,4987,118601,35970,32413,57,612,14725
2015,17675,410,33301,8584,128,4867,112959,35710,21093,64,306,10425
2014,16832,377,33202,9481,108,4689,108809,34985,22854,69,309,9685
2013,14680,408,33835,9380,107,4514,104054,31073,26113,62,232,10705
2012,13277,432,31016,11947,351,4377,89227,25300,28939,49,14,13241
2011,13609,948,38554,2542,265,4826,95680,31845,31768,116,74,7397
2010,14202,701,32818,6322,272,4239,84678,31040,27641,108,66,5745
2009,15779,859,33224,2493,179,5304,82704,29345,24075,102,410,10548
2008,16196,784,30240,8072,331,3805,93656,27361,14651,116,50,601
2007,13912,628,27145,7332,324,3674,84943,26390,13047,93,46,550
2006,13817,,21066,,48,5353,63992,20551,18005,82,,
2005,10043,,18924,,78,3853,67471,30957,5195,120,,
2004,,,14073,,,2637,25867,,4493,,,66
2003,,,11717,,,2129,22132,,3648,,,92
2002,,,10281,,,1550,12177,,2901,,,513
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
